Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
PHO,Phoenix Suns,82,240.9,41.1,81.6,.504,6.7,17.6,.383,34.4,64.0,.537,20.4,27.5,.744,11.0,30.7,41.7,23.2,7.2,5.1,15.7,20.6,109.4,Phoenix Suns,82,19755,3373,6695,.504,553,1445,.383,2820,5250,.537,1675,2251,.744,900,2520,3420,1905,589,420,1288,1691,8974,Phoenix Suns,82,19755,42.7,84.7,.504,7.0,18.3,.383,35.7,66.5,.537,21.2,28.5,.744,11.4,31.9,43.3,24.1,7.5,5.3,16.3,21.4,113.6,Phoenix Suns,29.5,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,+2.0,96.0,.336,.216,.584,,,,.545,14.4,27.7,.250,,,,.511,12.8,71.7,.233,,,,US Airways Center,"755,302","18,422",Phoenix Suns,82,19755,.504,10.9,,,,,,,,.784,.363,.164,.100,.158,.216,,,,,,,,.537,.665,.442,.387,.437,.383,,,,,,,,.520,.796,,,,,,,,.078,471,,,,,,,,.271,1105,,,,,,,,.297,.394,,,,,,,,18,0
GSW,Golden State Warriors,82,242.4,39.4,86.0,.458,6.7,18.0,.373,32.7,68.0,.480,23.1,29.2,.791,11.6,30.4,42.0,20.9,7.8,6.4,14.6,22.5,108.6,Golden State Warriors,82,19880,3231,7055,.458,550,1475,.373,2681,5580,.480,1893,2392,.791,953,2492,3445,1711,638,527,1201,1842,8905,Golden State Warriors,82,19880,39.7,86.8,.458,6.8,18.1,.373,33.0,68.6,.480,23.3,29.4,.791,11.7,30.6,42.4,21.0,7.8,6.5,14.8,22.7,109.5,Golden State Warriors,25.0,29,53,31,51,-3.74,-0.06,-3.80,109.5,113.3,-3.8,98.2,.339,.209,.549,,,,.497,12.9,26.1,.268,,,,.508,12.9,68.1,.251,,,,Oracle Arena,"776,660","18,943",Golden State Warriors,82,19880,.458,12.6,,,,,,,,.791,.308,.138,.092,.252,.209,,,,,,,,.480,.632,.362,.366,.402,.373,,,,,,,,.468,.827,,,,,,,,.044,290,,,,,,,,.247,1036,,,,,,,,.224,.461,,,,,,,,18,1
LAL,Los Angeles Lakers*,82,241.2,40.3,85.1,.474,6.7,18.5,.361,33.7,66.6,.505,19.6,25.5,.770,12.4,31.5,43.9,23.3,8.8,5.1,13.5,20.7,106.9,Los Angeles Lakers*,82,19780,3307,6981,.474,547,1516,.361,2760,5465,.505,1607,2087,.770,1015,2587,3602,1908,718,420,1103,1698,8768,Los Angeles Lakers*,82,19780,42.6,89.8,.474,7.0,19.5,.361,35.5,70.3,.505,20.7,26.9,.770,13.1,33.3,46.3,24.5,9.2,5.4,14.2,21.8,112.8,Los Angeles Lakers*,27.4,65,17,61,21,7.66,-0.55,7.11,112.8,104.7,+8.1,94.3,.299,.217,.555,,,,.513,12.3,29.4,.230,,,,.490,14.2,73.0,.213,,,,STAPLES Center,"778,877","18,997",Los Angeles Lakers*,82,19780,.474,11.9,,,,,,,,.783,.320,.148,.119,.196,.217,,,,,,,,.505,.616,.440,.443,.410,.361,,,,,,,,.522,.854,,,,,,,,.068,442,,,,,,,,.231,872,,,,,,,,.274,.366,,,,,,,,14,0
NYK,New York Knicks,82,241.5,38.5,86.5,.445,10.0,27.9,.360,28.5,58.6,.486,18.2,23.2,.784,11.1,31.0,42.1,21.2,7.4,2.5,14.3,20.4,105.2,New York Knicks,82,19805,3157,7091,.445,823,2284,.360,2334,4807,.486,1490,1900,.784,911,2545,3456,1738,610,204,1174,1672,8627,New York Knicks,82,19805,39.6,88.9,.445,10.3,28.6,.360,29.3,60.2,.486,18.7,23.8,.784,11.4,31.9,43.3,21.8,7.6,2.6,14.7,21.0,108.1,New York Knicks,25.7,32,50,34,48,-2.61,0.28,-2.33,108.1,110.8,-2.7,96.7,.268,.322,.544,,,,.503,12.9,24.4,.210,,,,.520,13.0,72.7,.215,,,,Madison Square Garden (IV),"790,801","19,288",New York Knicks,82,19805,.445,12.8,,,,,,,,.678,.349,.091,.084,.154,.322,,,,,,,,.486,.576,.412,.364,.391,.360,,,,,,,,.447,.843,,,,,,,,.037,235,,,,,,,,.299,1150,,,,,,,,.239,.382,,,,,,,,19,0
IND,Indiana Pacers,82,241.8,39.3,86.3,.455,8.0,21.0,.378,31.3,65.3,.480,18.6,23.0,.807,11.3,32.5,43.7,21.6,7.0,5.3,14.5,23.1,105.1,Indiana Pacers,82,19830,3220,7080,.455,652,1725,.378,2568,5355,.480,1525,1890,.807,924,2661,3585,1775,573,434,1189,1895,8617,Indiana Pacers,82,19830,40.4,88.8,.455,8.2,21.6,.378,32.2,67.2,.480,19.1,23.7,.807,11.6,33.4,45.0,22.3,7.2,5.4,14.9,23.8,108.1,Indiana Pacers,26.5,36,46,38,44,-1.11,0.35,-0.76,108.1,109.2,-1.1,96.5,.267,.244,.545,,,,.501,13.1,25.4,.215,,,,.499,12.7,74.5,.271,,,,Conseco Fieldhouse,"581,472","14,182",Indiana Pacers,82,19830,.455,12.9,,,,,,,,.756,.295,.135,.103,.223,.244,,,,,,,,.480,.592,.413,.410,.403,.378,,,,,,,,.454,.933,,,,,,,,.026,167,,,,,,,,.261,1051,,,,,,,,.174,.370,,,,,,,,9,0
DEN,Denver Nuggets*,82,240.6,37.3,79.4,.470,6.7,18.0,.371,30.6,61.4,.499,23.1,30.3,.760,11.0,30.6,41.6,22.2,8.7,6.0,15.3,22.9,104.3,Denver Nuggets*,82,19730,3058,6510,.470,548,1477,.371,2510,5033,.499,1891,2487,.760,905,2507,3412,1820,710,492,1257,1874,8555,Denver Nuggets*,82,19730,39.5,84.0,.470,7.1,19.1,.371,32.4,64.9,.499,24.4,32.1,.760,11.7,32.4,44.0,23.5,9.2,6.3,16.2,24.2,110.4,Denver Nuggets*,27.7,54,28,50,32,3.41,-0.29,3.13,110.4,106.8,+3.6,94.3,.382,.227,.563,,,,.512,14.2,27.5,.290,,,,.485,14.1,71.7,.259,,,,Pepsi Center,"706,165","17,224",Denver Nuggets*,82,19730,.470,11.8,,,,,,,,.773,.376,.100,.081,.216,.227,,,,,,,,.499,.616,.407,.327,.401,.371,,,,,,,,.555,.777,,,,,,,,.088,523,,,,,,,,.266,924,,,,,,,,.193,.389,,,,,,,,18,1
UTA,Utah Jazz*,82,242.4,38.3,80.8,.475,4.8,13.7,.349,33.5,67.1,.500,22.1,28.7,.771,11.5,29.5,41.0,24.7,8.8,4.6,14.8,22.3,103.6,Utah Jazz*,82,19880,3143,6623,.475,392,1122,.349,2751,5501,.500,1814,2352,.771,940,2423,3363,2024,719,374,1210,1830,8492,Utah Jazz*,82,19880,40.7,85.8,.475,5.1,14.5,.349,35.7,71.3,.500,23.5,30.5,.771,12.2,31.4,43.6,26.2,9.3,4.8,15.7,23.7,110.1,Utah Jazz*,25.5,48,34,48,34,2.65,-0.34,2.31,110.1,107.3,+2.8,93.1,.355,.169,.554,,,,.504,13.6,28.2,.274,,,,.505,15.0,72.7,.262,,,,EnergySolutions Arena,"816,042","19,903",Utah Jazz*,82,19880,.475,11.2,,,,,,,,.831,.379,.101,.091,.259,.169,,,,,,,,.500,.614,.371,.422,.412,.349,,,,,,,,.609,.893,,,,,,,,.068,412,,,,,,,,.289,1057,,,,,,,,.205,.400,,,,,,,,9,0
CHI,Chicago Bulls*,82,243.0,38.1,83.5,.457,6.0,15.8,.381,32.1,67.7,.474,19.9,25.0,.796,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,102.2,Chicago Bulls*,82,19930,3126,6846,.457,493,1293,.381,2633,5553,.474,1633,2052,.796,970,2481,3451,1732,615,453,1192,1709,8378,Chicago Bulls*,82,19930,40.4,88.6,.457,6.4,16.7,.381,34.1,71.9,.474,21.1,26.6,.796,12.6,32.1,44.7,22.4,8.0,5.9,15.4,22.1,108.4,Chicago Bulls*,24.9,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,-0.3,93.1,.300,.189,.541,,,,.493,13.3,28.0,.239,,,,.493,13.1,70.9,.238,,,,United Center,"868,667","21,187",Chicago Bulls*,82,19930,.457,12.4,,,,,,,,.811,.330,.084,.104,.293,.189,,,,,,,,.474,.574,.386,.387,.418,.381,,,,,,,,.505,.817,,,,,,,,.048,300,,,,,,,,.265,951,,,,,,,,.246,.374,,,,,,,,13,0
DAL,Dallas Mavericks*,82,241.5,38.1,82.6,.462,7.0,19.9,.350,31.2,62.7,.498,18.5,22.6,.819,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,101.7,Dallas Mavericks*,82,19805,3128,6770,.462,571,1632,.350,2557,5138,.498,1516,1852,.819,909,2595,3504,1779,591,429,1043,1600,8343,Dallas Mavericks*,82,19805,41.4,89.7,.462,7.6,21.6,.350,33.9,68.1,.498,20.1,24.5,.819,12.0,34.4,46.4,23.6,7.8,5.7,13.8,21.2,110.5,Dallas Mavericks*,29.0,50,32,47,35,1.98,-0.30,1.68,110.5,108.4,+2.1,91.5,.274,.241,.550,,,,.504,12.1,26.6,.224,,,,.493,12.3,74.6,.225,,,,American Airlines Center,"821,723","20,042",Dallas Mavericks*,82,19805,.462,13.4,,,,,,,,.759,.266,.089,.162,.242,.241,,,,,,,,.498,.601,.402,.443,.456,.350,,,,,,,,.506,.851,,,,,,,,.042,262,,,,,,,,.211,774,,,,,,,,.282,.335,,,,,,,,17,1
ORL,Orlando Magic*,82,240.6,35.7,78.2,.457,10.0,26.2,.381,25.8,52.1,.495,19.6,27.5,.715,10.0,33.3,43.3,19.4,7.0,5.4,13.9,20.3,101.0,Orlando Magic*,82,19730,2929,6416,.457,817,2147,.381,2112,4269,.495,1611,2253,.715,819,2728,3547,1593,570,439,1142,1664,8286,Orlando Magic*,82,19730,38.6,84.5,.457,10.8,28.3,.381,27.8,56.2,.495,21.2,29.7,.715,10.8,35.9,46.7,21.0,7.5,5.8,15.0,21.9,109.2,Orlando Magic*,27.3,59,23,59,23,6.70,-0.21,6.48,109.2,101.9,+7.3,92.3,.351,.335,.559,,,,.520,13.4,24.0,.251,,,,.465,12.3,75.9,.209,,,,Amway Arena,"698,768","17,043",Orlando Magic*,82,19730,.457,13.6,,,,,,,,.665,.282,.127,.101,.155,.335,,,,,,,,.495,.623,.405,.424,.381,.381,,,,,,,,.417,.871,,,,,,,,.054,327,,,,,,,,.215,761,,,,,,,,.303,.395,,,,,,,,11,0
