playerId,"Player Per Game, Player","Player Per Game, Age","Player Per Game, Team","Player Per Game, Pos","Player Per Game, G","Player Per Game, GS","Player Per Game, MP","Player Per Game, FG","Player Per Game, FGA","Player Per Game, FG%","Player Per Game, 3P","Player Per Game, 3PA","Player Per Game, 3P%","Player Per Game, 2P","Player Per Game, 2PA","Player Per Game, 2P%","Player Per Game, eFG%","Player Per Game, FT","Player Per Game, FTA","Player Per Game, FT%","Player Per Game, ORB","Player Per Game, DRB","Player Per Game, TRB","Player Per Game, AST","Player Per Game, STL","Player Per Game, BLK","Player Per Game, TOV","Player Per Game, PF","Player Per Game, PTS","Player Per Game, Awards","Player Totals, Player","Player Totals, Age","Player Totals, Team","Player Totals, Pos","Player Totals, G","Player Totals, GS","Player Totals, MP","Player Totals, FG","Player Totals, FGA","Player Totals, FG%","Player Totals, 3P","Player Totals, 3PA","Player Totals, 3P%","Player Totals, 2P","Player Totals, 2PA","Player Totals, 2P%","Player Totals, eFG%","Player Totals, FT","Player Totals, FTA","Player Totals, FT%","Player Totals, ORB","Player Totals, DRB","Player Totals, TRB","Player Totals, AST","Player Totals, STL","Player Totals, BLK","Player Totals, TOV","Player Totals, PF","Player Totals, PTS","Player Totals, Trp-Dbl","Player Totals, Awards","Player Per 100 Poss, Player","Player Per 100 Poss, Age","Player Per 100 Poss, Team","Player Per 100 Poss, Pos","Player Per 100 Poss, G","Player Per 100 Poss, GS","Player Per 100 Poss, MP","Player Per 100 Poss, FG","Player Per 100 Poss, FGA","Player Per 100 Poss, FG%","Player Per 100 Poss, 3P","Player Per 100 Poss, 3PA","Player Per 100 Poss, 3P%","Player Per 100 Poss, 2P","Player Per 100 Poss, 2PA","Player Per 100 Poss, 2P%","Player Per 100 Poss, eFG%","Player Per 100 Poss, FT","Player Per 100 Poss, FTA","Player Per 100 Poss, FT%","Player Per 100 Poss, ORB","Player Per 100 Poss, DRB","Player Per 100 Poss, TRB","Player Per 100 Poss, AST","Player Per 100 Poss, STL","Player Per 100 Poss, BLK","Player Per 100 Poss, TOV","Player Per 100 Poss, PF","Player Per 100 Poss, PTS","Player Per 100 Poss, ORtg","Player Per 100 Poss, DRtg","Player Per 100 Poss, Awards","Player Advanced, Player","Player Advanced, Pos","Player Advanced, Age","Player Advanced, Team","Player Advanced, G","Player Advanced, MP","Player Advanced, PER","Player Advanced, TS%","Player Advanced, 3PAr","Player Advanced, FTr","Player Advanced, ORB%","Player Advanced, DRB%","Player Advanced, TRB%","Player Advanced, AST%","Player Advanced, STL%","Player Advanced, BLK%","Player Advanced, TOV%","Player Advanced, USG%","Player Advanced, ","Player Advanced, ","Player Advanced, OWS","Player Advanced, DWS","Player Advanced, WS","Player Advanced, WS/48","Player Advanced, ","Player Advanced, ","Player Advanced, OBPM","Player Advanced, DBPM","Player Advanced, BPM","Player Advanced, VORP","Player Adjusted Shooting, Player","Player Adjusted Shooting, Pos","Player Adjusted Shooting, Age","Player Adjusted Shooting, Team","Player Adjusted Shooting, G","Player Adjusted Shooting, MP","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, Player Shooting %, FG","Player Adjusted Shooting, Player Shooting %, 2P","Player Adjusted Shooting, Player Shooting %, 3P","Player Adjusted Shooting, Player Shooting %, eFG","Player Adjusted Shooting, Player Shooting %, FT","Player Adjusted Shooting, Player Shooting %, TS","Player Adjusted Shooting, Player Shooting %, FTr","Player Adjusted Shooting, Player Shooting %, 3PAr","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, League-Adjusted, FG+","Player Adjusted Shooting, League-Adjusted, 2P+","Player Adjusted Shooting, League-Adjusted, 3P+","Player Adjusted Shooting, League-Adjusted, eFG+","Player Adjusted Shooting, League-Adjusted, FT+","Player Adjusted Shooting, League-Adjusted, TS+","Player Adjusted Shooting, League-Adjusted, FTr+","Player Adjusted Shooting, League-Adjusted, 3PAr+","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, FG Add","Player Adjusted Shooting, TS Add","MVP, Player","MVP, Age","MVP, Tm","MVP, Voting, First","MVP, Voting, Pts Won","MVP, Voting, Pts Max","MVP, Voting, Share","MVP, G","MVP, Per Game, MP","MVP, Per Game, PTS","MVP, Per Game, TRB","MVP, Per Game, AST","MVP, Per Game, STL","MVP, Per Game, BLK","MVP, Shooting, FG%","MVP, Shooting, 3P%","MVP, Shooting, FT%","MVP, Advanced, WS","MVP, Advanced, WS/48"
gervige01,George Gervin,29,SAS,SG,79,79,35.7,12.6,25.2,.500,0.1,0.5,.278,12.4,24.7,.504,.502,7.0,8.1,.864,1.7,3.2,5.0,2.4,1.0,0.6,2.7,2.7,32.3,"MVP-6,AS,NBA1",George Gervin,29,SAS,SG,79,79,2817,993,1987,.500,10,36,.278,983,1951,.504,.502,555,642,.864,138,254,392,187,77,45,210,215,2551,0,"MVP-6,AS,NBA1",George Gervin,29,SAS,SG,79,79,2817,16.5,33.0,.500,0.2,0.6,.278,16.3,32.4,.504,.502,9.2,10.7,.864,2.3,4.2,6.5,3.1,1.3,0.7,3.5,3.6,42.4,114,110,"MVP-6,AS,NBA1",George Gervin*,SG,29,CHI,79,2817,24.2,.562,.018,.323,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35.0,,,8.7,2.0,10.7,.182,,,5.4,-1.5,3.9,4.2,George Gervin,SG,29,NJN,79,2817,,,,.500,.504,.278,.502,.864,.562,.323,.018,,,,102,101,106,102,116,104,100,70,,,,30.8,106.7,George Gervin,29,SAS,1,110,690,0.159,79,35.7,32.3,5.0,2.4,1.0,0.6,.500,.278,.864,10.7,.182
malonmo01,Moses Malone,26,HOU,C,81,81,42.0,11.7,22.5,.519,0.0,0.1,.000,11.7,22.4,.520,.519,7.8,10.2,.762,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,31.1,"MVP-1,AS,NBA1",Moses Malone,26,HOU,C,81,81,3398,945,1822,.519,0,6,.000,945,1816,.520,.519,630,827,.762,558,630,1188,142,76,125,294,208,2520,0,"MVP-1,AS,NBA1",Moses Malone,26,HOU,C,81,81,3398,13.7,26.5,.519,0.0,0.1,.000,13.7,26.4,.520,.519,9.2,12.0,.762,8.1,9.2,17.3,2.1,1.1,1.8,4.3,3.0,36.6,118,106,"MVP-1,AS,NBA1",Moses Malone*,C,26,ATL,81,3398,26.8,.576,.003,.454,17.5,21.2,19.3,6.9,1.1,2.1,11.9,29.9,,,11.7,3.7,15.4,.218,,,6.2,-1.8,4.5,5.5,Moses Malone,C,26,MIL,81,3398,,,,.519,.520,.000,.519,.762,.576,.454,.003,,,,106,105,,105,102,107,140,13,,,,88.0,165.7,Moses Malone,26,HOU,40,507,690,0.735,81,42.0,31.1,14.7,1.8,0.9,1.5,.519,.000,.762,15.4,.218
dantlad01,Adrian Dantley,26,UTA,SF,81,81,39.8,11.2,19.6,.570,0.0,0.0,.333,11.1,19.5,.570,.570,8.0,10.1,.792,2.9,3.5,6.3,4.0,1.2,0.2,3.7,3.1,30.3,"MVP-15,AS",Adrian Dantley,26,UTA,SF,81,81,3222,904,1586,.570,1,3,.333,903,1583,.570,.570,648,818,.792,231,283,514,324,95,14,299,252,2457,1,"MVP-15,AS",Adrian Dantley,26,UTA,SF,81,81,3222,13.0,22.8,.570,0.0,0.0,.333,13.0,22.7,.570,.570,9.3,11.7,.792,3.3,4.1,7.4,4.6,1.4,0.2,4.3,3.6,35.2,121,114,"MVP-15,AS",Adrian Dantley*,SF,26,DAL,81,3222,24.2,.631,.002,.516,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,,,11.9,0.7,12.6,.187,,,5.8,-1.7,4.1,5.0,Adrian Dantley,SF,26,IND,81,3222,,,,.570,.570,.333,.570,.792,.631,.516,.002,,,,116,115,127,115,106,117,159,7,,,,240.4,361.2,Adrian Dantley,26,UTA,0,7,690,0.010,81,39.8,30.3,6.3,4.0,1.2,0.2,.570,.333,.792,12.6,.187
englial01,Alex English,28,DEN,SF,82,82,36.8,10.4,18.9,.551,0.0,0.1,.000,10.4,18.8,.553,.551,4.5,5.4,.840,2.6,4.2,6.8,5.3,1.1,1.5,3.2,3.2,25.4,"MVP-13,AS,NBA2",Alex English,28,DEN,SF,82,82,3015,855,1553,.551,0,8,.000,855,1545,.553,.551,372,443,.840,210,348,558,433,87,120,261,261,2082,3,"MVP-13,AS,NBA2",Alex English,28,DEN,SF,82,82,3015,12.4,22.5,.551,0.0,0.1,.000,12.4,22.4,.553,.551,5.4,6.4,.840,3.0,5.0,8.1,6.3,1.3,1.7,3.8,3.8,30.2,118,114,"MVP-13,AS,NBA2",Alex English*,SF,28,PHI,82,3015,22.2,.596,.005,.285,7.7,12.0,9.9,19.9,1.3,2.0,13.0,25.3,,,8.9,0.6,9.5,.152,,,4.9,-1.1,3.8,4.4,Alex English,SF,28,BOS,82,3015,,,,.551,.553,.000,.551,.840,.596,.285,.005,,,,112,111,,111,113,111,88,20,,,,174.0,199.4,Alex English,28,DEN,0,12,690,0.017,82,36.8,25.4,6.8,5.3,1.1,1.5,.551,.000,.840,9.5,.152
ervinju01,Julius Erving,31,PHI,SF,81,81,34.4,9.6,17.6,.546,0.0,0.1,.273,9.6,17.5,.548,.547,5.1,6.7,.763,2.7,4.2,6.9,3.9,2.0,1.7,2.6,2.8,24.4,"MVP-3,AS,NBA1",Julius Erving,31,PHI,SF,81,81,2789,780,1428,.546,3,11,.273,777,1417,.548,.547,411,539,.763,220,337,557,319,161,141,214,229,1974,0,"MVP-3,AS,NBA1",Julius Erving,31,PHI,SF,81,81,2789,13.3,24.4,.546,0.1,0.2,.273,13.3,24.2,.548,.547,7.0,9.2,.763,3.8,5.8,9.5,5.5,2.8,2.4,3.7,3.9,33.8,117,102,"MVP-3,AS,NBA1",Julius Erving*,SF,31,CLE,81,2789,25.9,.593,.008,.377,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,,,8.7,4.6,13.3,.229,,,6.0,1.7,7.7,6.8,Julius Erving,SF,31,BOS,81,2789,,,,.546,.548,.273,.547,.763,.593,.377,.008,,,,111,110,104,111,102,110,117,30,,,,150.7,180.6,Julius Erving,31,PHI,1,203,690,0.294,81,34.4,24.4,6.9,3.9,2.0,1.7,.546,.273,.763,13.3,.229
abdulka01,Kareem Abdul-Jabbar,34,LAL,C,76,76,35.2,9.9,17.1,.579,0.0,0.0,.000,9.9,17.1,.580,.579,4.1,5.8,.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,"MVP-10,AS",Kareem Abdul-Jabbar,34,LAL,C,76,76,2677,753,1301,.579,0,3,.000,753,1298,.580,.579,312,442,.706,172,487,659,225,63,207,230,224,1818,1,"MVP-10,AS",Kareem Abdul-Jabbar,34,LAL,C,76,76,2677,13.1,22.6,.579,0.0,0.1,.000,13.1,22.6,.580,.579,5.4,7.7,.706,3.0,8.5,11.5,3.9,1.1,3.6,4.0,3.9,31.6,116,104,"MVP-10,AS",Kareem Abdul-Jabbar*,C,34,LAL,76,2677,23.4,.608,.002,.340,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,,,6.9,3.9,10.7,.192,,,3.8,1.2,5.0,4.7,Kareem Abdul-Jabbar,C,34,LAL,76,2677,,,,.579,.580,.000,.579,.706,.608,.340,.002,,,,118,117,,117,95,113,105,9,,,,219.3,207.3,Kareem Abdul-Jabbar,34,LAL,0,31,690,0.045,76,35.2,23.9,8.7,3.0,0.8,2.7,.579,.000,.706,10.7,.192
willigu01,Gus Williams,28,SEA,PG,80,80,36.0,9.7,19.9,.486,0.1,0.5,.225,9.6,19.4,.492,.488,4.0,5.5,.734,1.2,1.9,3.1,6.9,2.2,0.5,2.5,2.0,23.4,"MVP-5,AS,NBA1",Gus Williams,28,SEA,PG,80,80,2876,773,1592,.486,9,40,.225,764,1552,.492,.488,320,436,.734,92,152,244,549,172,36,197,163,1875,1,"MVP-5,AS,NBA1",Gus Williams,28,SEA,PG,80,80,2876,12.9,26.6,.486,0.2,0.7,.225,12.7,25.9,.492,.488,5.3,7.3,.734,1.5,2.5,4.1,9.2,2.9,0.6,3.3,2.7,31.3,111,103,"MVP-5,AS,NBA1",Gus Williams,PG,28,SEA,80,2876,21.8,.526,.025,.274,3.6,5.5,4.6,31.0,2.9,0.7,9.9,28.5,,,5.9,4.3,10.2,.171,,,4.1,1.0,5.1,5.2,Gus Williams,PG,28,GSW,80,2876,,,,.486,.492,.225,.488,.734,.526,.274,.025,,,,99,99,86,99,98,98,85,97,,,,-19.5,-46.3,Gus Williams,28,SEA,2,115,690,0.167,80,36.0,23.4,3.1,6.9,2.2,0.5,.486,.225,.734,10.2,.171
kingbe01,Bernard King,25,GSW,SF,79,77,36.2,9.4,16.5,.566,0.0,0.1,.200,9.4,16.5,.568,.567,4.5,6.3,.705,1.8,4.2,5.9,3.6,1.0,0.3,3.4,3.6,23.2,"MVP-14,AS,NBA2",Bernard King,25,GSW,SF,79,77,2861,740,1307,.566,1,5,.200,739,1302,.568,.567,352,499,.705,140,329,469,282,78,23,267,285,1833,0,"MVP-14,AS,NBA2",Bernard King,25,GSW,SF,79,77,2861,12.2,21.6,.566,0.0,0.1,.200,12.2,21.5,.568,.567,5.8,8.3,.705,2.3,5.4,7.8,4.7,1.3,0.4,4.4,4.7,30.3,114,109,"MVP-14,AS,NBA2",Bernard King*,SF,25,KCK,79,2861,19.8,.600,.004,.382,5.2,12.8,8.9,14.9,1.3,0.4,14.9,25.3,,,6.6,2.2,8.7,.147,,,2.9,-0.6,2.2,3.1,Bernard King,SF,25,NYK,79,2861,,,,.566,.568,.200,.567,.705,.600,.382,.004,,,,115,114,76,115,95,111,118,15,,,,188.3,188.8,Bernard King,25,GSW,0,10,690,0.014,79,36.2,23.2,5.9,3.6,1.0,0.3,.566,.200,.705,8.7,.147
birdla01,Larry Bird,25,BOS,PF,77,58,38.0,9.2,18.4,.503,0.1,0.7,.212,9.1,17.7,.514,.507,4.3,4.9,.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,"MVP-2,AS,NBA1",Larry Bird,25,BOS,PF,77,58,2923,711,1414,.503,11,52,.212,700,1362,.514,.507,328,380,.863,200,637,837,447,143,66,254,244,1761,3,"MVP-2,AS,NBA1",Larry Bird,25,BOS,PF,77,58,2923,11.5,22.9,.503,0.2,0.8,.212,11.3,22.0,.514,.507,5.3,6.2,.863,3.2,10.3,13.5,7.2,2.3,1.1,4.1,3.9,28.5,114,99,"MVP-2,AS,NBA1",Larry Bird*,PF,25,BOS,77,2923,22.6,.557,.037,.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,,,6.8,5.7,12.5,.205,,,4.4,2.3,6.6,6.4,Larry Bird,PF,25,BOS,77,2923,,,,.503,.514,.212,.507,.863,.557,.269,.037,,,,102,103,81,102,116,103,83,142,,,,34.5,58.0,Larry Bird,25,BOS,20,406,690,0.588,77,38.0,22.9,10.9,5.8,1.9,0.9,.503,.212,.863,12.5,.205
freewo01,World B. Free,28,GSW,SG,78,78,35.8,8.3,18.6,.448,0.1,0.7,.179,8.2,17.9,.458,.451,6.1,8.3,.740,1.5,1.7,3.2,5.4,0.9,0.1,2.7,2.8,22.9,,World B. Free,28,GSW,SG,78,78,2796,650,1452,.448,10,56,.179,640,1396,.458,.451,479,647,.740,118,130,248,419,71,8,208,222,1789,0,,World B. Free,28,GSW,SG,78,78,2796,11.0,24.6,.448,0.2,0.9,.179,10.8,23.6,.458,.451,8.1,11.0,.740,2.0,2.2,4.2,7.1,1.2,0.1,3.5,3.8,30.3,111,112,,World B. Free,SG,28,GSW,78,2796,18.2,.515,.039,.446,4.5,5.2,4.8,21.7,1.2,0.2,10.7,28.0,,,5.6,1.3,6.9,.118,,,2.4,-1.9,0.5,1.8,World B. Free,SG,28,SAS,78,2796,,,,.448,.458,.179,.451,.740,.515,.446,.039,,,,91,92,68,91,99,96,138,149,,,,-126.1,-81.5,,,,,,,,,,,,,,,,,,,
