Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
DEN,Denver Nuggets*,66,243.0,39.0,81.9,.476,6.6,19.9,.332,32.4,62.0,.522,19.6,26.7,.735,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7,104.1,Denver Nuggets*,66,16040,2572,5404,.476,435,1311,.332,2137,4093,.522,1293,1760,.735,738,2105,2843,1581,540,330,1015,1297,6872,Denver Nuggets*,66,16040,40.9,85.9,.476,6.9,20.8,.332,33.9,65.0,.522,20.5,28.0,.735,11.7,33.4,45.2,25.1,8.6,5.2,16.1,20.6,109.2,Denver Nuggets*,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,+3.0,94.2,.326,.243,.556,,,,.516,14.1,27.7,.239,,,,.508,14.3,74.3,.185,,,,Pepsi Center,"561,966","17,029",Denver Nuggets*,66,16040,.476,11.0,,,,,,,,.757,.404,.151,.077,.125,.243,,,,,,,,.522,.645,.372,.392,.386,.332,,,,,,,,.553,.920,,,,,,,,.078,386,,,,,,,,.315,993,,,,,,,,.313,.361,,,,,,,,22,1
SAS,San Antonio Spurs*,66,241.5,39.6,82.8,.478,8.4,21.3,.393,31.2,61.5,.507,16.2,21.6,.748,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3,103.7,San Antonio Spurs*,66,15940,2611,5463,.478,552,1405,.393,2059,4058,.507,1067,1427,.748,683,2153,2836,1528,490,293,895,1143,6841,San Antonio Spurs*,66,15940,42.3,88.5,.478,8.9,22.8,.393,33.4,65.8,.507,17.3,23.1,.748,11.1,34.9,46.0,24.8,7.9,4.7,14.5,18.5,110.9,San Antonio Spurs*,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,+7.7,92.9,.261,.257,.562,,,,.528,12.8,25.1,.195,,,,.489,12.9,76.0,.168,,,,AT&T Center,"607,095","18,397",San Antonio Spurs*,66,15940,.478,12.4,,,,,,,,.743,.278,.203,.099,.164,.257,,,,,,,,.507,.677,.395,.429,.407,.393,,,,,,,,.508,.873,,,,,,,,.027,129,,,,,,,,.252,890,,,,,,,,.315,.415,,,,,,,,6,0
OKC,Oklahoma City Thunder*,66,242.3,37.3,79.2,.471,7.2,20.0,.358,30.2,59.3,.509,21.3,26.4,.806,11.0,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1,Oklahoma City Thunder*,66,15990,2462,5229,.471,472,1317,.358,1990,3912,.509,1406,1744,.806,726,2157,2883,1224,498,539,1079,1352,6802,Oklahoma City Thunder*,66,15990,39.7,84.4,.471,7.6,21.3,.358,32.1,63.1,.509,22.7,28.1,.806,11.7,34.8,46.5,19.8,8.0,8.7,17.4,21.8,109.8,Oklahoma City Thunder*,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,+6.6,93.0,.334,.252,.567,,,,.516,15.3,27.8,.269,,,,.465,13.0,72.1,.207,,,,Chesapeake Energy Arena,"600,699","18,203",Oklahoma City Thunder*,66,15990,.471,12.6,,,,,,,,.748,.294,.148,.130,.175,.252,,,,,,,,.509,.671,.378,.389,.436,.358,,,,,,,,.419,.828,,,,,,,,.078,377,,,,,,,,.204,620,,,,,,,,.183,.411,,,,,,,,9,0
UTA,Utah Jazz*,66,244.9,38.2,83.8,.456,4.1,12.8,.323,34.1,71.0,.480,19.1,25.3,.754,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7,Utah Jazz*,66,16165,2523,5531,.456,273,845,.323,2250,4686,.480,1258,1668,.754,861,2055,2916,1439,545,385,936,1441,6577,Utah Jazz*,66,16165,41.0,89.8,.456,4.4,13.7,.323,36.5,76.1,.480,20.4,27.1,.754,14.0,33.4,47.4,23.4,8.8,6.3,15.2,23.4,106.8,Utah Jazz*,25.6,36,30,34,32,0.62,0.30,0.92,106.8,106.1,+0.7,91.4,.302,.153,.525,,,,.481,13.0,30.2,.227,,,,.493,13.8,73.8,.245,,,,EnergySolutions Arena,"637,124","19,307",Utah Jazz*,66,16165,.456,11.2,,,,,,,,.847,.287,.238,.118,.204,.153,,,,,,,,.480,.672,.420,.333,.365,.323,,,,,,,,.529,.908,,,,,,,,.064,319,,,,,,,,.219,743,,,,,,,,.198,.329,,,,,,,,12,0
MIL,Milwaukee Bucks,66,240.4,37.9,85.6,.443,6.6,19.2,.345,31.3,66.5,.471,16.6,21.4,.774,12.4,30.0,42.5,23.5,8.3,5.1,14.1,19.3,99.0,Milwaukee Bucks,66,15865,2502,5652,.443,436,1265,.345,2066,4387,.471,1095,1415,.774,820,1983,2803,1550,548,335,929,1273,6535,Milwaukee Bucks,66,15865,40.4,91.2,.443,7.0,20.4,.345,33.3,70.8,.471,17.7,22.8,.774,13.2,32.0,45.2,25.0,8.8,5.4,15.0,20.5,105.5,Milwaukee Bucks,26.2,31,35,34,32,0.27,-0.50,-0.23,105.5,105.2,+0.3,93.7,.250,.224,.521,,,,.481,12.9,27.7,.194,,,,.489,14.6,70.9,.217,,,,Bradley Center,"485,717","14,719",Milwaukee Bucks,66,15865,.443,12.4,,,,,,,,.776,.308,.146,.120,.202,.224,,,,,,,,.471,.610,.354,.393,.390,.345,,,,,,,,.578,.817,,,,,,,,.030,154,,,,,,,,.256,857,,,,,,,,.242,.366,,,,,,,,8,0
SAC,Sacramento Kings,66,241.1,37.7,86.5,.436,6.2,19.7,.316,31.5,66.8,.471,17.1,23.2,.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8,Sacramento Kings,66,15915,2490,5712,.436,411,1301,.316,2079,4411,.471,1127,1532,.736,882,1947,2829,1271,561,323,952,1287,6518,Sacramento Kings,66,15915,39.7,91.0,.436,6.5,20.7,.316,33.1,70.3,.471,18.0,24.4,.736,14.0,31.0,45.1,20.2,8.9,5.1,15.2,20.5,103.8,Sacramento Kings,24.3,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,.268,.228,.510,,,,.472,13.0,29.1,.197,,,,.515,13.9,70.5,.199,,,,Power Balance Pavilion,"478,764","14,508",Sacramento Kings,66,15915,.436,11.8,,,,,,,,.772,.306,.219,.076,.172,.228,,,,,,,,.471,.640,.362,.353,.362,.316,,,,,,,,.456,.783,,,,,,,,.043,219,,,,,,,,.266,923,,,,,,,,.268,.341,,,,,,,,12,1
MIA,Miami Heat*,66,243.0,37.1,79.0,.469,5.6,15.6,.359,31.5,63.4,.496,18.8,24.2,.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,Miami Heat*,66,16040,2446,5212,.469,370,1030,.359,2076,4182,.496,1238,1598,.775,686,2060,2746,1317,585,355,1002,1282,6500,Miami Heat*,66,16040,40.1,85.5,.469,6.1,16.9,.359,34.1,68.6,.496,20.3,26.2,.775,11.3,33.8,45.0,21.6,9.6,5.8,16.4,21.0,106.6,Miami Heat*,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,+6.4,91.2,.307,.198,.549,,,,.505,14.5,26.6,.238,,,,.479,15.8,73.9,.200,,,,AmericanAirlines Arena,"657,855","19,935",Miami Heat*,66,16040,.469,12.1,,,,,,,,.802,.309,.157,.119,.218,.198,,,,,,,,.496,.650,.397,.442,.381,.359,,,,,,,,.485,.841,,,,,,,,.066,310,,,,,,,,.234,714,,,,,,,,.330,.365,,,,,,,,5,1
PHO,Phoenix Suns,66,240.0,37.8,82.5,.458,6.7,19.6,.343,31.1,62.9,.494,16.0,21.2,.757,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4,Phoenix Suns,66,15840,2495,5445,.458,444,1295,.343,2051,4150,.494,1058,1397,.757,717,2035,2752,1486,431,366,928,1233,6492,Phoenix Suns,66,15840,40.8,89.1,.458,7.3,21.2,.343,33.6,67.9,.494,17.3,22.9,.757,11.7,33.3,45.0,24.3,7.1,6.0,15.2,20.2,106.2,Phoenix Suns,28.9,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,.257,.238,.536,,,,.499,13.3,25.8,.194,,,,.491,13.1,71.7,.200,,,,US Airways Center,"514,718","15,598",Phoenix Suns,66,15840,.458,13.3,,,,,,,,.762,.253,.165,.118,.226,.238,,,,,,,,.494,.678,.388,.384,.424,.343,,,,,,,,.549,.811,,,,,,,,.037,191,,,,,,,,.204,731,,,,,,,,.238,.354,,,,,,,,11,0
HOU,Houston Rockets,66,243.4,37.7,84.0,.449,7.2,20.2,.359,30.5,63.8,.477,15.4,19.7,.782,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,98.1,Houston Rockets,66,16065,2489,5543,.449,478,1330,.359,2011,4213,.477,1018,1301,.782,769,2014,2783,1404,496,319,955,1347,6474,Houston Rockets,66,16065,40.6,90.3,.449,7.8,21.7,.359,32.8,68.6,.477,16.6,21.2,.782,12.5,32.8,45.3,22.9,8.1,5.2,15.6,21.9,105.5,Houston Rockets,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,+0.3,91.7,.235,.240,.529,,,,.492,13.5,27.5,.184,,,,.490,13.8,73.4,.210,,,,Toyota Center,"506,994","15,363",Houston Rockets,66,16065,.449,12.7,,,,,,,,.760,.250,.202,.120,.189,.240,,,,,,,,.477,.655,.374,.398,.403,.359,,,,,,,,.504,.816,,,,,,,,.036,173,,,,,,,,.221,762,,,,,,,,.287,.435,,,,,,,,9,0
MIN,Minnesota Timberwolves,66,241.5,35.7,82.3,.433,7.2,21.6,.332,28.5,60.8,.469,19.4,25.2,.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9,Minnesota Timberwolves,66,15940,2355,5434,.433,473,1423,.332,1882,4011,.469,1281,1662,.771,797,2089,2886,1290,436,293,1001,1212,6464,Minnesota Timberwolves,66,15940,38.0,87.7,.433,7.6,23.0,.332,30.4,64.7,.469,20.7,26.8,.771,12.9,33.7,46.6,20.8,7.0,4.7,16.2,19.6,104.3,Minnesota Timberwolves,24.4,26,40,28,38,-2.20,0.37,-1.83,104.3,106.6,-2.3,93.3,.306,.262,.524,,,,.477,14.0,27.5,.236,,,,.491,12.2,73.0,.187,,,,Target Center,"577,197","17,491",Minnesota Timberwolves,66,15940,.433,12.7,,,,,,,,.738,.310,.157,.086,.186,.262,,,,,,,,.469,.620,.342,.335,.388,.332,,,,,,,,.474,.841,,,,,,,,.041,206,,,,,,,,.244,765,,,,,,,,.256,.360,,,,,,,,9,0
