Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
LAC,Los Angeles Clippers*,82,240.9,39.1,82.5,.474,8.5,24.0,.352,30.7,58.5,.525,21.2,29.1,.730,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,Los Angeles Clippers*,82,19755,3208,6761,.474,693,1966,.352,2515,4795,.525,1741,2384,.730,858,2668,3526,2016,703,397,1136,1767,8850,Los Angeles Clippers*,82,19755,40.6,85.6,.474,8.8,24.9,.352,31.8,60.7,.525,22.0,30.2,.730,10.9,33.8,44.6,25.5,8.9,5.0,14.4,22.4,112.1,Los Angeles Clippers*,28.1,57,25,59,23,6.98,0.30,7.27,112.1,104.8,+7.3,95.9,.353,.291,.567,,,,.526,12.7,25.0,.258,,,,.484,13.8,72.5,.222,,,,STAPLES Center,"787,692","19,212",Los Angeles Clippers*,82,19755,.474,13.8,,,,,,,,.709,.267,.137,.097,.208,.291,,,,,,,,.525,.707,.408,.422,.415,.352,,,,,,,,.568,.847,,,,,,,,.081,496,,,,,,,,.188,817,,,,,,,,.286,.401,,,,,,,,11,1
HOU,Houston Rockets*,82,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,Houston Rockets*,82,19830,3118,6603,.472,779,2179,.358,2339,4424,.529,1814,2549,.712,920,2797,3717,1755,621,461,1323,1676,8829,Houston Rockets*,82,19830,39.2,83.0,.472,9.8,27.4,.358,29.4,55.6,.529,22.8,32.0,.712,11.6,35.1,46.7,22.1,7.8,5.8,16.6,21.1,111.0,Houston Rockets*,25.4,54,28,53,29,4.56,0.50,5.06,111.0,106.3,+4.7,96.3,.386,.330,.571,,,,.531,14.6,27.4,.275,,,,.489,12.5,74.1,.193,,,,Toyota Center,"743,082","18,124",Houston Rockets*,82,19830,.472,11.9,,,,,,,,.670,.341,.214,.049,.065,.330,,,,,,,,.529,.663,.405,.391,.343,.358,,,,,,,,.472,.834,,,,,,,,.078,481,,,,,,,,.276,1046,,,,,,,,.230,.389,,,,,,,,11,1
MIN,Minnesota Timberwolves,82,242.1,38.9,87.5,.444,7.3,21.4,.341,31.6,66.1,.478,21.8,28.1,.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,Minnesota Timberwolves,82,19855,3189,7175,.444,600,1757,.341,2589,5418,.478,1790,2301,.778,1024,2644,3668,1963,718,297,1142,1504,8768,Minnesota Timberwolves,82,19855,39.6,89.1,.444,7.5,21.8,.341,32.2,67.3,.478,22.2,28.6,.778,12.7,32.8,45.6,24.4,8.9,3.7,14.2,18.7,108.9,Minnesota Timberwolves,26.3,40,42,48,34,2.67,0.43,3.10,108.9,106.2,+2.7,97.3,.321,.245,.535,,,,.486,12.2,27.4,.249,,,,.518,14.8,74.4,.177,,,,Target Center,"597,157","14,565",Minnesota Timberwolves,82,19855,.444,12.1,,,,,,,,.755,.334,.157,.091,.174,.245,,,,,,,,.478,.619,.386,.348,.358,.341,,,,,,,,.564,.838,,,,,,,,.042,278,,,,,,,,.277,1140,,,,,,,,.224,.332,,,,,,,,14,1
POR,Portland Trail Blazers*,82,242.1,39.1,87.0,.450,9.4,25.3,.372,29.7,61.7,.481,19.1,23.5,.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,Portland Trail Blazers*,82,19855,3207,7134,.450,770,2071,.372,2437,5063,.481,1569,1926,.815,1022,2786,3808,1904,454,387,1125,1576,8753,Portland Trail Blazers*,82,19855,40.9,90.9,.450,9.8,26.4,.372,31.1,64.5,.481,20.0,24.5,.815,13.0,35.5,48.5,24.3,5.8,4.9,14.3,20.1,111.5,Portland Trail Blazers*,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,+4.1,94.9,.270,.290,.548,,,,.504,12.4,28.0,.220,,,,.488,10.9,74.7,.194,,,,Moda Center,"809,612","19,747",Portland Trail Blazers*,82,19855,.450,13.9,,,,,,,,.710,.258,.133,.110,.208,.290,,,,,,,,.481,.628,.368,.387,.422,.372,,,,,,,,.523,.816,,,,,,,,.041,269,,,,,,,,.199,825,,,,,,,,.252,.390,,,,,,,,10,0
OKC,Oklahoma City Thunder*,82,241.5,39.0,82.7,.471,8.1,22.4,.361,30.9,60.3,.512,20.2,25.0,.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,Oklahoma City Thunder*,82,19805,3194,6782,.471,664,1839,.361,2530,4943,.512,1653,2052,.806,887,2781,3668,1794,678,501,1256,1858,8705,Oklahoma City Thunder*,82,19805,40.6,86.1,.471,8.4,23.3,.361,32.1,62.8,.512,21.0,26.1,.806,11.3,35.3,46.6,22.8,8.6,6.4,15.9,23.6,110.5,Oklahoma City Thunder*,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,+6.6,95.4,.303,.271,.566,,,,.520,14.0,26.5,.244,,,,.488,13.9,75.6,.221,,,,Chesapeake Energy Arena,"746,323","18,203",Oklahoma City Thunder*,82,19805,.471,13.0,,,,,,,,.729,.282,.149,.131,.167,.271,,,,,,,,.512,.668,.391,.434,.418,.361,,,,,,,,.521,.715,,,,,,,,.071,445,,,,,,,,.193,767,,,,,,,,.239,.353,,,,,,,,17,0
SAS,San Antonio Spurs*,82,240.9,40.6,83.5,.486,8.5,21.4,.397,32.0,62.0,.517,15.7,20.0,.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,San Antonio Spurs*,82,19755,3326,6844,.486,698,1757,.397,2628,5087,.517,1289,1642,.785,762,2786,3548,2064,604,420,1180,1495,8639,San Antonio Spurs*,82,19755,42.5,87.5,.486,8.9,22.5,.397,33.6,65.1,.517,16.5,21.0,.785,9.7,35.6,45.4,26.4,7.7,5.4,15.1,19.1,110.5,San Antonio Spurs*,28.9,62,20,61,21,7.72,0.28,8.00,110.5,102.4,+8.1,95.0,.240,.257,.571,,,,.537,13.5,22.7,.188,,,,.482,12.8,76.4,.184,,,,AT&T Center,"755,031","18,415",San Antonio Spurs*,82,19755,.486,12.6,,,,,,,,.743,.287,.185,.090,.181,.257,,,,,,,,.517,.673,.437,.389,.413,.397,,,,,,,,.554,.872,,,,,,,,.033,204,,,,,,,,.252,1114,,,,,,,,.299,.410,,,,,,,,11,0
PHO,Phoenix Suns,82,240.9,38.7,83.5,.463,9.3,25.1,.372,29.4,58.4,.503,18.5,24.4,.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2,Phoenix Suns,82,19755,3172,6845,.463,765,2055,.372,2407,4790,.503,1520,2004,.758,928,2601,3529,1563,688,374,1258,1798,8629,Phoenix Suns,82,19755,40.2,86.8,.463,9.7,26.1,.372,30.5,60.8,.503,19.3,25.4,.758,11.8,33.0,44.8,19.8,8.7,4.7,16.0,22.8,109.5,Phoenix Suns,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,+2.8,95.8,.293,.300,.558,,,,.519,14.0,26.4,.222,,,,.496,13.9,73.7,.237,,,,US Airways Center,"650,739","15,872",Phoenix Suns,82,19755,.463,13.1,,,,,,,,.700,.290,.149,.118,.143,.300,,,,,,,,.503,.648,.374,.430,.403,.372,,,,,,,,.388,.824,,,,,,,,.050,305,,,,,,,,.226,935,,,,,,,,.273,.404,,,,,,,,16,0
DAL,Dallas Mavericks*,82,241.8,39.6,83.6,.474,8.8,22.9,.384,30.8,60.7,.508,16.8,21.1,.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,Dallas Mavericks*,82,19830,3249,6858,.474,721,1877,.384,2528,4981,.508,1378,1733,.795,840,2514,3354,1935,704,356,1110,1636,8597,Dallas Mavericks*,82,19830,42.0,88.7,.474,9.3,24.3,.384,32.7,64.4,.508,17.8,22.4,.795,10.9,32.5,43.4,25.0,9.1,4.6,14.4,21.2,111.2,Dallas Mavericks*,30.6,49,33,48,34,2.40,0.50,2.91,111.2,108.7,+2.5,93.5,.253,.274,.564,,,,.526,12.7,24.6,.201,,,,.515,14.8,72.7,.229,,,,American Airlines Center,"817,982","19,951",Dallas Mavericks*,82,19830,.474,13.2,,,,,,,,.726,.262,.156,.135,.173,.274,,,,,,,,.508,.655,.418,.426,.428,.384,,,,,,,,.520,.861,,,,,,,,.047,308,,,,,,,,.206,856,,,,,,,,.199,.412,,,,,,,,15,0
DEN,Denver Nuggets,82,240.9,38.4,85.9,.447,8.6,23.9,.358,29.8,62.0,.481,19.1,26.3,.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4,Denver Nuggets,82,19755,3147,7042,.447,702,1959,.358,2445,5083,.481,1563,2154,.726,1009,2717,3726,1838,615,459,1305,1890,8559,Denver Nuggets,82,19755,39.0,87.2,.447,8.7,24.3,.358,30.3,63.0,.481,19.4,26.7,.726,12.5,33.7,46.2,22.8,7.6,5.7,16.2,23.4,106.0,Denver Nuggets,26.0,36,46,35,47,-2.15,0.75,-1.40,106.0,108.2,-2.2,98.1,.306,.278,.536,,,,.497,14.0,27.5,.222,,,,.500,12.8,74.5,.233,,,,Pepsi Center,"692,898","16,900",Denver Nuggets,82,19755,.447,12.5,,,,,,,,.722,.309,.182,.080,.150,.278,,,,,,,,.481,.634,.373,.351,.366,.358,,,,,,,,.518,.813,,,,,,,,.066,425,,,,,,,,.233,933,,,,,,,,.240,.416,,,,,,,,20,0
GSW,Golden State Warriors*,82,241.8,39.5,85.4,.462,9.4,24.8,.380,30.0,60.6,.496,15.9,21.1,.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,Golden State Warriors*,82,19830,3236,7005,.462,774,2037,.380,2462,4968,.496,1303,1731,.753,896,2819,3715,1912,642,407,1247,1784,8549,Golden State Warriors*,82,19830,40.7,88.1,.462,9.7,25.6,.380,31.0,62.5,.496,16.4,21.8,.753,11.3,35.5,46.7,24.0,8.1,5.1,15.7,22.4,107.5,Golden State Warriors*,26.3,51,31,54,28,4.80,0.34,5.15,107.5,102.6,+4.9,96.2,.247,.291,.550,,,,.517,13.8,25.1,.186,,,,.477,13.6,76.3,.224,,,,Oracle Arena,"803,436","19,596",Golden State Warriors*,82,19830,.462,13.4,,,,,,,,.709,.264,.176,.100,.169,.291,,,,,,,,.496,.654,.394,.396,.412,.380,,,,,,,,.540,.753,,,,,,,,.055,363,,,,,,,,.188,777,,,,,,,,.240,.413,,,,,,,,21,0
