Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
GSW,Golden State Warriors,82,240.3,42.5,87.9,.484,3.0,9.1,.324,39.6,78.8,.503,28.2,34.9,.809,11.2,29.1,40.2,24.1,9.2,6.0,17.3,24.5,116.3,Golden State Warriors,82,19705,3489,7208,.484,243,750,.324,3246,6458,.503,2313,2858,.809,915,2385,3300,1978,756,488,1415,2010,9534,Golden State Warriors,82,19705,40.1,82.9,.484,2.8,8.6,.324,37.3,74.3,.503,26.6,32.9,.809,10.5,27.4,38.0,22.7,8.7,5.6,16.3,23.1,109.6,Golden State Warriors,26.0,37,45,33,49,-3.13,0.59,-2.55,109.6,112.6,-3.0,105.9,.397,.104,.563,,,,.501,14.3,26.1,.321,,,,.494,13.6,61.5,.253,,,,Oakland-Alameda County Coliseum Arena,"616,025","15,025"
PHO,Phoenix Suns*,82,242.1,43.2,87.1,.496,2.1,6.6,.324,41.1,80.4,.511,26.3,33.1,.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9,Phoenix Suns*,82,19855,3544,7139,.496,176,543,.324,3368,6596,.511,2159,2716,.795,1053,2651,3704,2109,668,501,1275,1825,9423,Phoenix Suns*,82,19855,42.6,85.7,.496,2.1,6.5,.324,40.4,79.2,.511,25.9,32.6,.795,12.6,31.8,44.5,25.3,8.0,6.0,15.3,21.9,113.1,Phoenix Suns*,26.7,54,28,58,24,7.10,-0.01,7.09,113.1,106.2,+6.9,100.7,.380,.076,.565,,,,.509,13.3,31.1,.302,,,,.478,12.8,68.8,.209,,,,Arizona Veterans Memorial Coliseum,"578,661","14,919"
DEN,Denver Nuggets*,82,241.5,45.3,97.7,.464,2.8,8.3,.337,42.5,89.5,.475,21.2,26.8,.789,14.3,30.9,45.1,27.7,9.9,4.0,13.9,25.0,114.6,Denver Nuggets*,82,19805,3716,8015,.464,228,677,.337,3488,7338,.475,1737,2201,.789,1169,2532,3701,2275,814,329,1136,2047,9397,Denver Nuggets*,82,19805,42.7,92.2,.464,2.6,7.8,.337,40.1,84.4,.475,20.0,25.3,.789,13.4,29.1,42.6,26.2,9.4,3.8,13.1,23.5,108.0,Denver Nuggets*,29.5,43,39,45,37,1.41,0.15,1.56,108.0,106.7,+1.3,105.4,.275,.084,.523,,,,.478,11.2,29.1,.217,,,,.501,15.2,71.3,.264,,,,McNichols Sports Arena,"484,288","12,668"
POR,Portland Trail Blazers*,82,242.4,43.6,92.0,.473,2.3,6.9,.336,41.2,85.1,.484,24.8,33.3,.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2,Portland Trail Blazers*,82,19880,3572,7547,.473,190,565,.336,3382,6982,.484,2031,2734,.743,1355,2552,3907,2085,749,364,1356,2048,9365,Portland Trail Blazers*,82,19880,42.2,89.1,.473,2.2,6.7,.336,39.9,82.4,.484,24.0,32.3,.743,16.0,30.1,46.1,24.6,8.8,4.3,16.0,24.2,110.5,Portland Trail Blazers*,26.7,59,23,57,25,6.32,0.16,6.48,110.5,104.4,+6.1,102.3,.362,.075,.535,,,,.486,13.4,36.5,.269,,,,.479,15.2,70.8,.265,,,,Memorial Coliseum,"528,132","12,881"
ORL,Orlando Magic,82,241.5,42.2,91.8,.459,1.4,4.8,.295,40.7,87.0,.468,25.1,33.2,.756,15.9,30.1,46.0,24.3,7.5,3.6,17.2,24.1,110.9,Orlando Magic,82,19805,3457,7525,.459,116,393,.295,3341,7132,.468,2060,2725,.756,1304,2465,3769,1993,617,294,1407,1975,9090,Orlando Magic,82,19805,40.2,87.6,.459,1.3,4.6,.295,38.9,83.0,.468,24.0,31.7,.756,15.2,28.7,43.9,23.2,7.2,3.4,16.4,23.0,105.8,Orlando Magic,26.5,18,64,21,61,-8.91,0.19,-8.73,105.8,114.3,-8.5,104.1,.362,.052,.521,,,,.467,13.9,33.7,.274,,,,.511,12.1,67.8,.245,,,,Orlando Arena,"617,468","15,060"
LAL,Los Angeles Lakers*,82,242.1,41.9,85.5,.490,3.8,10.3,.367,38.1,75.2,.507,23.2,29.5,.787,13.4,30.0,43.4,27.2,8.0,5.4,15.0,21.2,110.7,Los Angeles Lakers*,82,19855,3434,7010,.490,309,841,.367,3125,6169,.507,1902,2417,.787,1097,2460,3557,2232,655,445,1226,1737,9079,Los Angeles Lakers*,82,19855,43.1,88.0,.490,3.9,10.6,.367,39.2,77.4,.507,23.9,30.3,.787,13.8,30.9,44.6,28.0,8.2,5.6,15.4,21.8,114.0,Los Angeles Lakers*,28.9,63,19,58,24,6.78,-0.04,6.74,114.0,107.0,+7.0,96.3,.345,.120,.562,,,,.512,13.2,32.8,.271,,,,.479,12.8,68.5,.219,,,,Great Western Forum,"712,498","17,378"
PHI,Philadelphia 76ers*,82,241.5,41.9,85.7,.489,2.3,6.6,.348,39.6,79.1,.501,24.1,30.6,.788,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2,Philadelphia 76ers*,82,19805,3437,7028,.489,189,543,.348,3248,6485,.501,1976,2509,.788,1111,2406,3517,1932,687,365,1209,1697,9039,Philadelphia 76ers*,82,19805,43.2,88.2,.489,2.4,6.8,.348,40.8,81.4,.501,24.8,31.5,.788,13.9,30.2,44.2,24.3,8.6,4.6,15.2,21.3,113.5,Philadelphia 76ers*,27.4,53,29,54,28,4.99,-0.75,4.23,113.5,108.4,+5.1,96.5,.357,.077,.556,,,,.502,12.9,32.0,.281,,,,.495,13.3,68.4,.223,,,,The Spectrum,"565,926","14,017"
BOS,Boston Celtics*,82,240.3,43.5,87.2,.498,1.3,4.9,.262,42.2,82.2,.513,21.8,26.3,.832,13.0,33.0,46.0,29.5,6.6,5.5,15.3,20.9,110.0,Boston Celtics*,82,19705,3563,7148,.498,106,404,.262,3457,6744,.513,1791,2153,.832,1066,2707,3773,2423,539,455,1256,1717,9023,Boston Celtics*,82,19705,44.2,88.7,.498,1.3,5.0,.262,42.9,83.7,.513,22.2,26.7,.832,13.2,33.6,46.8,30.1,6.7,5.6,15.6,21.3,112.0,Boston Celtics*,30.2,52,30,51,31,3.99,-0.76,3.23,112.0,107.9,+4.1,98.2,.301,.057,.557,,,,.506,13.4,31.5,.251,,,,.477,10.8,72.1,.223,,,,Boston Garden,"611,537","14,890"
CHI,Chicago Bulls*,82,241.8,43.1,86.5,.498,3.0,8.2,.374,40.0,78.3,.511,20.3,26.1,.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5,Chicago Bulls*,82,19830,3531,7090,.498,250,669,.374,3281,6421,.511,1665,2140,.778,1075,2279,3354,2172,814,388,1247,1906,8977,Chicago Bulls*,82,19830,44.2,88.7,.498,3.1,8.4,.374,41.1,80.3,.511,20.8,26.8,.778,13.5,28.5,42.0,27.2,10.2,4.9,15.6,23.8,112.3,Chicago Bulls*,26.1,55,27,50,32,3.26,-0.51,2.74,112.3,109.0,+3.3,96.7,.302,.094,.559,,,,.516,13.4,31.9,.235,,,,.508,15.2,68.1,.262,,,,Chicago Stadium,"752,564","18,380"
IND,Indiana Pacers*,82,242.4,41.2,83.0,.497,3.6,9.4,.382,37.6,73.6,.511,23.2,28.5,.816,11.5,29.1,40.6,24.7,6.7,4.3,16.4,24.0,109.3,Indiana Pacers*,82,19880,3381,6807,.497,294,770,.382,3087,6037,.511,1906,2335,.816,940,2388,3328,2023,552,350,1342,1972,8962,Indiana Pacers*,82,19880,42.1,84.7,.497,3.7,9.6,.382,38.4,75.1,.511,23.7,29.1,.816,11.7,29.7,41.4,25.2,6.9,4.4,16.7,24.5,111.5,Indiana Pacers*,26.4,42,40,41,41,0.16,-0.34,-0.18,111.5,111.4,+0.1,97.0,.343,.113,.572,,,,.518,14.6,29.0,.280,,,,.494,12.6,67.1,.250,,,,Market Square Arena,"518,923","12,885"
