Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
DEN,Denver Nuggets*,82,242.7,40.7,85.2,.478,6.4,18.5,.343,34.4,66.6,.516,18.4,26.2,.701,13.3,31.7,45.0,24.4,9.3,6.5,15.3,20.5,106.1,Denver Nuggets*,82,19905,3339,6983,.478,521,1518,.343,2818,5465,.516,1505,2148,.701,1092,2601,3693,2002,762,533,1253,1682,8704,Denver Nuggets*,82,19905,42.3,88.6,.478,6.6,19.3,.343,35.7,69.3,.516,19.1,27.2,.701,13.8,33.0,46.8,25.4,9.7,6.8,15.9,21.3,110.4,Denver Nuggets*,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,+5.3,95.1,.308,.217,.549,,,,.515,13.6,31.4,.216,,,,.493,14.3,71.8,.193,,,,Pepsi Center,"730,616","17,820",Denver Nuggets*,82,19905,.478,10.4,,,,,,,,.783,.415,.172,.080,.115,.217,,,,,,,,.516,.655,.368,.347,.352,.343,,,,,,,,.551,.862,,,,,,,,.100,642,,,,,,,,.300,1200,,,,,,,,.345,.351,,,,,,,,21,0
HOU,Houston Rockets*,82,241.2,38.1,82.7,.461,10.6,28.9,.366,27.5,53.8,.511,19.2,25.5,.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106.0,Houston Rockets*,82,19780,3124,6782,.461,867,2369,.366,2257,4413,.511,1573,2087,.754,909,2652,3561,1902,679,359,1348,1662,8688,Houston Rockets*,82,19780,39.4,85.6,.461,10.9,29.9,.366,28.5,55.7,.511,19.9,26.3,.754,11.5,33.5,45.0,24.0,8.6,4.5,17.0,21.0,109.7,Houston Rockets*,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,+3.6,96.1,.308,.349,.564,,,,.525,14.9,26.4,.232,,,,.502,13.5,75.2,.196,,,,Toyota Center,"683,564","16,672",Houston Rockets*,82,19780,.461,12.8,,,,,,,,.651,.341,.156,.048,.106,.349,,,,,,,,.511,.653,.350,.338,.372,.366,,,,,,,,.520,.841,,,,,,,,.066,415,,,,,,,,.280,1091,,,,,,,,.290,.392,,,,,,,,11,2
OKC,Oklahoma City Thunder*,82,241.8,38.1,79.3,.481,7.3,19.4,.377,30.8,60.0,.514,22.2,26.8,.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,Oklahoma City Thunder*,82,19830,3126,6504,.481,598,1588,.377,2528,4916,.514,1819,2196,.828,854,2725,3579,1753,679,624,1253,1654,8669,Oklahoma City Thunder*,82,19830,40.5,84.3,.481,7.8,20.6,.377,32.8,63.7,.514,23.6,28.5,.828,11.1,35.3,46.4,22.7,8.8,8.1,16.2,21.4,112.4,Oklahoma City Thunder*,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,+9.8,93.3,.338,.244,.580,,,,.527,14.4,26.7,.280,,,,.469,13.5,73.4,.197,,,,Chesapeake Energy Arena,"746,323","18,203",Oklahoma City Thunder*,82,19830,.481,12.6,,,,,,,,.756,.294,.146,.130,.186,.244,,,,,,,,.514,.677,.389,.437,.409,.377,,,,,,,,.492,.851,,,,,,,,.071,418,,,,,,,,.207,812,,,,,,,,.252,.440,,,,,,,,13,1
SAS,San Antonio Spurs*,82,242.4,39.1,81.4,.481,8.1,21.5,.376,31.1,59.9,.519,16.6,21.0,.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,San Antonio Spurs*,82,19880,3210,6675,.481,663,1764,.376,2547,4911,.519,1365,1725,.791,666,2721,3387,2058,695,446,1206,1427,8448,San Antonio Spurs*,82,19880,41.1,85.6,.481,8.5,22.6,.376,32.6,62.9,.519,17.5,22.1,.791,8.5,34.9,43.4,26.4,8.9,5.7,15.5,18.3,108.3,San Antonio Spurs*,28.6,58,24,58,24,6.40,0.27,6.67,108.3,101.6,+6.7,94.2,.258,.264,.568,,,,.531,14.0,20.5,.204,,,,.480,13.7,74.9,.179,,,,AT&T Center,"755,700","18,432",San Antonio Spurs*,82,19880,.481,12.5,,,,,,,,.736,.298,.178,.096,.163,.264,,,,,,,,.519,.663,.411,.433,.423,.376,,,,,,,,.572,.905,,,,,,,,.034,207,,,,,,,,.269,1127,,,,,,,,.350,.412,,,,,,,,12,0
MIA,Miami Heat*,82,242.4,38.4,77.4,.496,8.7,22.1,.396,29.6,55.4,.536,17.4,23.0,.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,Miami Heat*,82,19880,3148,6348,.496,717,1809,.396,2431,4539,.536,1423,1887,.754,676,2490,3166,1890,710,441,1143,1533,8436,Miami Heat*,82,19880,41.9,84.5,.496,9.5,24.1,.396,32.4,60.4,.536,18.9,25.1,.754,9.0,33.2,42.2,25.2,9.5,5.9,15.2,20.4,112.3,Miami Heat*,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,+8.6,90.7,.297,.285,.588,,,,.552,13.7,22.2,.224,,,,.487,14.8,73.0,.200,,,,AmericanAirlines Arena,"819,290","19,983",Miami Heat*,82,19880,.496,13.2,,,,,,,,.715,.297,.127,.099,.192,.285,,,,,,,,.536,.704,.401,.387,.441,.396,,,,,,,,.522,.866,,,,,,,,.066,392,,,,,,,,.223,910,,,,,,,,.384,.433,,,,,,,,6,0
LAL,Los Angeles Lakers*,82,240.9,37.1,81.0,.458,8.7,24.6,.355,28.4,56.4,.503,19.3,27.9,.692,11.5,33.3,44.8,22.2,7.0,5.2,15.0,17.9,102.2,Los Angeles Lakers*,82,19755,3041,6640,.458,715,2015,.355,2326,4625,.503,1584,2289,.692,942,2732,3674,1818,576,429,1232,1467,8381,Los Angeles Lakers*,82,19755,39.1,85.4,.458,9.2,25.9,.355,29.9,59.5,.503,20.4,29.4,.692,12.1,35.1,47.3,23.4,7.4,5.5,15.8,18.9,107.8,Los Angeles Lakers*,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,+1.2,94.4,.345,.303,.548,,,,.512,13.9,27.0,.239,,,,.496,11.9,74.3,.163,,,,STAPLES Center,"778,877","18,997",Los Angeles Lakers*,82,19755,.458,13.3,,,,,,,,.697,.281,.170,.089,.158,.303,,,,,,,,.503,.649,.396,.424,.402,.355,,,,,,,,.518,.859,,,,,,,,.057,356,,,,,,,,.217,853,,,,,,,,.257,.375,,,,,,,,19,0
GSW,Golden State Warriors*,82,241.5,38.2,83.4,.458,8.0,19.9,.403,30.1,63.5,.475,16.8,21.3,.790,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,Golden State Warriors*,82,19805,3130,6840,.458,658,1632,.403,2472,5208,.475,1378,1744,.790,885,2801,3686,1845,567,346,1236,1753,8296,Golden State Warriors*,82,19805,40.2,87.7,.458,8.4,20.9,.403,31.7,66.8,.475,17.7,22.4,.790,11.4,35.9,47.3,23.7,7.3,4.4,15.9,22.5,106.4,Golden State Warriors*,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,+0.9,94.5,.255,.239,.545,,,,.506,14.0,25.4,.201,,,,.486,12.4,75.5,.211,,,,Oracle Arena,"794,320","19,374",Golden State Warriors*,82,19805,.458,13.5,,,,,,,,.761,.242,.173,.118,.229,.239,,,,,,,,.475,.650,.361,.391,.418,.403,,,,,,,,.542,.769,,,,,,,,.045,284,,,,,,,,.188,767,,,,,,,,.226,.461,,,,,,,,21,1
LAC,Los Angeles Clippers*,82,240.6,38.5,80.6,.478,7.6,21.4,.358,30.9,59.2,.522,16.4,23.0,.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1,Los Angeles Clippers*,82,19730,3160,6608,.478,627,1752,.358,2533,4856,.522,1342,1888,.711,938,2475,3413,1958,784,461,1197,1716,8289,Los Angeles Clippers*,82,19730,42.2,88.2,.478,8.4,23.4,.358,33.8,64.8,.522,17.9,25.2,.711,12.5,33.0,45.6,26.1,10.5,6.2,16.0,22.9,110.6,Los Angeles Clippers*,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,+7.0,91.1,.286,.265,.557,,,,.526,13.9,28.8,.203,,,,.492,15.4,73.5,.229,,,,STAPLES Center,"788,293","19,227",Los Angeles Clippers*,82,19730,.478,13.0,,,,,,,,.735,.281,.170,.089,.195,.265,,,,,,,,.522,.677,.460,.432,.392,.358,,,,,,,,.556,.877,,,,,,,,.092,557,,,,,,,,.194,760,,,,,,,,.334,.381,,,,,,,,9,0
DAL,Dallas Mavericks,82,243.7,38.8,84.0,.462,7.4,19.9,.372,31.4,64.2,.489,16.1,20.4,.793,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,101.1,Dallas Mavericks,82,19980,3182,6892,.462,606,1628,.372,2576,5264,.489,1323,1669,.793,767,2670,3437,1906,648,454,1144,1698,8293,Dallas Mavericks,82,19980,40.6,88.0,.462,7.7,20.8,.372,32.9,67.2,.489,16.9,21.3,.793,9.8,34.1,43.9,24.3,8.3,5.8,14.6,21.7,105.9,Dallas Mavericks,29.5,41,41,39,43,-0.60,0.36,-0.24,105.9,106.5,-0.6,94.1,.242,.236,.544,,,,.506,13.0,21.8,.192,,,,.492,13.3,73.1,.227,,,,American Airlines Center,"821,490","20,036",Dallas Mavericks,82,19980,.462,13.0,,,,,,,,.764,.242,.179,.160,.182,.236,,,,,,,,.489,.627,.432,.412,.431,.372,,,,,,,,.538,.860,,,,,,,,.031,196,,,,,,,,.198,813,,,,,,,,.232,.363,,,,,,,,18,0
SAC,Sacramento Kings,82,241.8,37.6,84.2,.447,7.4,20.5,.363,30.2,63.7,.474,17.5,22.8,.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,Sacramento Kings,82,19830,3086,6904,.447,610,1681,.363,2476,5223,.474,1437,1869,.769,943,2385,3328,1708,671,342,1199,1717,8219,Sacramento Kings,82,19830,39.9,89.2,.447,7.9,21.7,.363,32.0,67.5,.474,18.6,24.2,.769,12.2,30.8,43.0,22.1,8.7,4.4,15.5,22.2,106.2,Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,.271,.243,.532,,,,.491,13.4,26.6,.208,,,,.517,13.6,71.0,.227,,,,Sleep Train Arena,"563,743","13,750",Sacramento Kings,82,19830,.447,12.2,,,,,,,,.757,.291,.211,.082,.172,.243,,,,,,,,.474,.630,.392,.385,.354,.363,,,,,,,,.491,.807,,,,,,,,.040,247,,,,,,,,.252,1044,,,,,,,,.265,.384,,,,,,,,15,1
