Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
SAC,Sacramento Kings*,82,244.9,38.2,85.0,.449,5.8,16.5,.354,32.4,68.5,.472,19.5,25.3,.771,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5,101.7,Sacramento Kings*,82,20080,3132,6969,.449,479,1353,.354,2653,5616,.472,1600,2075,.771,987,2705,3692,1852,793,432,1221,1596,8343,Sacramento Kings*,82,20080,39.7,88.2,.449,6.1,17.1,.354,33.6,71.1,.472,20.3,26.3,.771,12.5,34.2,46.7,23.4,10.0,5.5,15.5,20.2,105.6,Sacramento Kings*,27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,+6.0,94.4,.298,.194,.529,,,,.484,13.4,27.2,.230,,,,.460,14.5,70.7,.181,,,,ARCO Arena (II),"709,997","17,317",Sacramento Kings*,82,20080,.449,11.8,,,,,,,.806,.295,.185,.097,.230,.194,,,,,,,.472,.644,.363,.384,.377,.354,,,,,,,.554,.797,,,,,,,.035,224,,,,,,,.250,.364,,,,,,,20,2
MIL,Milwaukee Bucks*,82,241.2,38.0,82.9,.458,6.9,18.1,.379,31.1,64.8,.480,18.0,22.9,.787,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5,100.7,Milwaukee Bucks*,82,19780,3112,6798,.458,562,1481,.379,2550,5317,.480,1474,1874,.787,975,2500,3475,1844,672,386,1123,1928,8260,Milwaukee Bucks*,82,19780,41.0,89.5,.458,7.4,19.5,.379,33.6,70.0,.480,19.4,24.7,.787,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8,Milwaukee Bucks*,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,+4.2,92.1,.276,.218,.542,,,,.499,12.8,28.1,.217,,,,.473,14.4,71.1,.253,,,,Bradley Center,"683,125","16,662",Milwaukee Bucks*,82,19780,.458,13.2,,,,,,,.782,.224,.121,.258,.179,.218,,,,,,,.480,.596,.413,.454,.415,.379,,,,,,,.529,.879,,,,,,,.033,200,,,,,,,.274,.411,,,,,,,15,3
LAL,Los Angeles Lakers*,82,242.7,37.9,81.5,.465,5.4,15.5,.344,32.6,66.0,.494,19.4,28.5,.683,13.2,31.5,44.7,23.0,6.9,6.0,14.4,22.8,100.6,Los Angeles Lakers*,82,19905,3109,6685,.465,439,1275,.344,2670,5410,.494,1594,2333,.683,1085,2583,3668,1888,564,490,1184,1872,8251,Los Angeles Lakers*,82,19905,40.9,87.9,.465,5.8,16.8,.344,35.1,71.1,.494,20.9,30.7,.683,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4,Los Angeles Lakers*,29.2,56,26,51,31,3.38,0.37,3.74,108.4,104.8,+3.6,91.7,.349,.191,.535,,,,.498,13.3,31.1,.238,,,,.468,12.2,72.5,.234,,,,STAPLES Center,"776,336","18,935",Los Angeles Lakers*,82,19905,.465,11.9,,,,,,,.809,.285,.186,.137,.201,.191,,,,,,,.494,.671,.382,.402,.407,.344,,,,,,,.565,.866,,,,,,,.055,350,,,,,,,.170,.378,,,,,,,12,0
DAL,Dallas Mavericks*,82,241.5,37.6,81.9,.459,6.3,16.5,.381,31.3,65.4,.479,18.9,23.8,.794,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3,100.5,Dallas Mavericks*,82,19805,3085,6716,.459,517,1357,.381,2568,5359,.479,1552,1954,.794,831,2571,3402,1740,618,492,1141,1907,8239,Dallas Mavericks*,82,19805,40.1,87.3,.459,6.7,17.6,.381,33.4,69.7,.479,20.2,25.4,.794,10.8,33.4,44.2,22.6,8.0,6.4,14.8,24.8,107.1,Dallas Mavericks*,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,+4.5,93.2,.291,.202,.544,,,,.498,13.1,24.1,.231,,,,.467,14.2,70.7,.244,,,,Reunion Arena,"680,238","16,591",Dallas Mavericks*,82,19805,.459,12.3,,,,,,,.798,.257,.165,.166,.210,.202,,,,,,,.479,.656,.347,.413,.419,.381,,,,,,,.513,.816,,,,,,,.031,192,,,,,,,.234,.355,,,,,,,14,0
TOR,Toronto Raptors*,82,243.4,37.2,85.0,.437,5.2,14.2,.369,31.9,70.8,.451,18.1,24.2,.747,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3,97.6,Toronto Raptors*,82,19955,3048,6972,.437,429,1164,.369,2619,5808,.451,1482,1984,.747,1118,2529,3647,2004,599,519,1080,1745,8007,Toronto Raptors*,82,19955,40.3,92.2,.437,5.7,15.4,.369,34.6,76.8,.451,19.6,26.2,.747,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,105.9,Toronto Raptors*,29.9,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,+2.5,90.9,.285,.167,.510,,,,.468,12.1,30.8,.213,,,,.476,13.3,73.2,.212,,,,Air Canada Centre,"793,256","19,348",Toronto Raptors*,82,19955,.437,12.8,,,,,,,.833,.264,.124,.145,.300,.167,,,,,,,.451,.602,.350,.373,.397,.369,,,,,,,.630,.828,,,,,,,.032,202,,,,,,,.223,.396,,,,,,,15,0
ORL,Orlando Magic*,82,243.4,36.7,83.8,.438,6.0,16.4,.364,30.8,67.4,.456,18.0,25.2,.714,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3,97.5,Orlando Magic*,82,19955,3013,6873,.438,490,1346,.364,2523,5527,.456,1476,2068,.714,1069,2450,3519,1803,674,481,1245,2071,7992,Orlando Magic*,82,19955,38.9,88.7,.438,6.3,17.4,.364,32.6,71.4,.456,19.1,26.7,.714,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,103.2,Orlando Magic*,26.0,43,39,44,38,0.99,-0.60,0.39,103.2,102.1,+1.1,93.2,.301,.196,.513,,,,.474,13.8,29.1,.215,,,,.464,15.6,69.8,.290,,,,TD Waterhouse Centre,"605,031","14,757",Orlando Magic*,82,19955,.438,12.6,,,,,,,.804,.290,.117,.137,.260,.196,,,,,,,.456,.584,.368,.361,.404,.364,,,,,,,.548,.859,,,,,,,.033,210,,,,,,,.159,.388,,,,,,,14,0
SEA,Seattle SuperSonics,82,241.5,36.9,81.1,.456,5.7,14.3,.399,31.3,66.8,.468,17.7,24.2,.732,12.2,29.5,41.7,21.9,8.0,5.0,15.3,21.1,97.3,Seattle SuperSonics,82,19805,3029,6649,.456,466,1169,.399,2563,5480,.468,1454,1986,.732,999,2422,3421,1792,657,409,1252,1733,7978,Seattle SuperSonics,82,19805,40.1,88.0,.456,6.2,15.5,.399,33.9,72.5,.468,19.2,26.3,.732,13.2,32.1,45.3,23.7,8.7,5.4,16.6,22.9,105.6,Seattle SuperSonics,27.9,44,38,41,41,0.02,0.52,0.55,105.6,105.6,0.0,91.6,.299,.176,.530,,,,.491,14.3,29.1,.219,,,,.488,13.9,69.8,.199,,,,KeyArena at Seattle Center,"640,847","15,630",Seattle SuperSonics,82,19805,.456,10.7,,,,,,,.824,.305,.226,.129,.164,.176,,,,,,,.468,.643,.356,.363,.377,.399,,,,,,,.538,.886,,,,,,,.036,223,,,,,,,.237,.401,,,,,,,9,0
MIN,Minnesota Timberwolves*,82,241.8,38.4,83.8,.458,3.9,11.0,.357,34.5,72.8,.473,16.6,21.2,.785,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3,Minnesota Timberwolves*,82,19830,3148,6871,.458,322,901,.357,2826,5970,.473,1364,1737,.785,1002,2470,3472,2083,682,456,1136,1900,7982,Minnesota Timberwolves*,82,19830,41.5,90.5,.458,4.2,11.9,.357,37.2,78.7,.473,18.0,22.9,.785,13.2,32.6,45.8,27.5,9.0,6.0,15.0,25.0,105.2,Minnesota Timberwolves*,27.4,47,35,45,37,1.35,0.46,1.81,105.2,103.7,+1.5,91.8,.253,.131,.523,,,,.482,13.0,28.6,.199,,,,.478,14.2,71.9,.238,,,,Target Center,"717,371","17,497",Minnesota Timberwolves*,82,19830,.458,12.5,,,,,,,.869,.236,.164,.155,.315,.131,,,,,,,.473,.628,.387,.403,.438,.357,,,,,,,.637,.882,,,,,,,.028,177,,,,,,,.262,.398,,,,,,,9,0
HOU,Houston Rockets,82,241.8,35.9,79.2,.453,6.1,17.2,.357,29.7,62.0,.480,19.3,25.4,.758,11.2,30.8,42.0,19.7,7.2,4.4,14.7,20.2,97.2,Houston Rockets,82,19830,2943,6494,.453,504,1412,.357,2439,5082,.480,1582,2086,.758,919,2524,3443,1613,587,358,1204,1657,7972,Houston Rockets,82,19830,39.4,86.9,.453,6.7,18.9,.357,32.7,68.0,.480,21.2,27.9,.758,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7,Houston Rockets,26.7,45,37,48,34,2.29,0.42,2.71,106.7,104.2,+2.5,90.4,.321,.217,.538,,,,.492,14.0,27.5,.244,,,,.475,12.6,71.9,.206,,,,Compaq Center,"518,555","12,648",Houston Rockets,82,19830,.453,12.2,,,,,,,.783,.306,.141,.133,.204,.217,,,,,,,.480,.636,.356,.398,.385,.357,,,,,,,.498,.792,,,,,,,.040,233,,,,,,,.254,.391,,,,,,,15,2
UTA,Utah Jazz*,82,241.2,36.1,76.7,.471,4.0,10.4,.381,32.1,66.3,.485,20.9,27.8,.752,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1,Utah Jazz*,82,19780,2960,6289,.471,325,852,.381,2635,5437,.485,1714,2280,.752,943,2383,3326,2110,661,463,1296,2107,7959,Utah Jazz*,82,19780,40.0,85.0,.471,4.4,11.5,.381,35.6,73.5,.485,23.2,30.8,.752,12.7,32.2,45.0,28.5,8.9,6.3,17.5,28.5,107.6,Utah Jazz*,32.0,53,29,55,27,4.70,0.31,5.00,107.6,102.4,+5.2,89.8,.363,.135,.546,,,,.497,15.1,30.2,.273,,,,.473,15.6,73.2,.301,,,,Delta Center,"792,196","19,322",Utah Jazz*,82,19780,.471,10.9,,,,,,,.865,.348,.134,.124,.259,.135,,,,,,,.485,.625,.369,.382,.404,.381,,,,,,,.693,.874,,,,,,,.037,206,,,,,,,.271,.446,,,,,,,7,0
