Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
SAC,Sacramento Kings*,82,241.5,40.0,88.9,.450,6.5,20.2,.322,33.4,68.7,.487,18.5,24.6,.754,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1,105.0,Sacramento Kings*,82,19805,3276,7288,.450,534,1656,.322,2742,5632,.487,1521,2016,.754,1056,2635,3691,1953,787,381,1325,1729,8607,Sacramento Kings*,82,19805,40.0,89.0,.450,6.5,20.2,.322,33.5,68.7,.487,18.6,24.6,.754,12.9,32.2,45.0,23.8,9.6,4.7,16.2,21.1,105.0,Sacramento Kings*,27.5,44,38,49,33,2.91,0.12,3.04,105.0,102.1,+2.9,99.3,.277,.227,.526,,,,.486,13.9,27.7,.209,,,,.479,15.1,69.7,.198,,,,ARCO Arena (II),"720,033","17,185",Sacramento Kings*,82,19805,.450,13.1,,,,,,,.773,.242,.226,.105,.200,.227,,,,,,,.487,.661,.411,.377,.419,.322,,,,,,,.576,.699,,,,,,,.047,316,,,,,,,.162,.351,,,,,,,21,0
DET,Detroit Pistons*,82,241.8,37.1,80.9,.459,5.4,14.9,.359,31.8,66.0,.481,23.9,30.6,.781,11.2,30.0,41.2,20.8,8.1,3.3,15.7,24.5,103.5,Detroit Pistons*,82,19830,3044,6635,.459,439,1223,.359,2605,5412,.481,1956,2506,.781,917,2458,3375,1707,665,273,1288,2011,8483,Detroit Pistons*,82,19830,38.5,83.9,.459,5.6,15.5,.359,33.0,68.5,.481,24.7,31.7,.781,11.6,31.1,42.7,21.6,8.4,3.5,16.3,25.4,107.3,Detroit Pistons*,28.3,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,+1.5,95.7,.378,.184,.548,,,,.492,14.3,26.8,.295,,,,.499,15.4,71.6,.249,,,,The Palace of Auburn Hills,"678,470","16,548",Detroit Pistons*,82,19830,.459,13.4,,,,,,,.816,.316,.112,.139,.248,.184,,,,,,,.481,.609,.378,.359,.434,.359,,,,,,,.500,.920,,,,,,,.057,348,,,,,,,.238,.402,,,,,,,7,0
DAL,Dallas Mavericks,82,240.6,39.0,85.9,.453,6.3,16.2,.391,32.6,69.8,.468,17.2,21.4,.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4,Dallas Mavericks,82,19730,3195,7047,.453,519,1326,.391,2676,5721,.468,1407,1751,.804,931,2444,3375,1810,592,416,1124,1770,8316,Dallas Mavericks,82,19730,40.9,90.3,.453,6.7,17.0,.391,34.3,73.3,.468,18.0,22.4,.804,11.9,31.3,43.3,23.2,7.6,5.3,14.4,22.7,106.6,Dallas Mavericks,26.3,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,.248,.188,.532,,,,.490,12.6,25.5,.200,,,,.488,14.2,66.1,.210,,,,Reunion Arena,"606,177","14,785",Dallas Mavericks,82,19730,.453,13.4,,,,,,,.812,.214,.184,.184,.229,.188,,,,,,,.468,.643,.362,.386,.455,.391,,,,,,,.503,.894,,,,,,,.026,175,,,,,,,.267,.449,,,,,,,8,1
IND,Indiana Pacers*,82,240.6,37.2,81.0,.459,7.1,18.1,.392,30.0,62.8,.478,19.9,24.5,.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3,Indiana Pacers*,82,19730,3047,6640,.459,583,1487,.392,2464,5153,.478,1629,2008,.811,842,2612,3454,1857,559,422,1159,1786,8306,Indiana Pacers*,82,19730,39.8,86.8,.459,7.6,19.4,.392,32.2,67.3,.478,21.3,26.2,.811,11.0,34.1,45.1,24.3,7.3,5.5,15.1,23.3,108.5,Indiana Pacers*,30.4,56,26,54,28,4.60,-0.45,4.15,108.5,103.6,+4.9,93.1,.302,.224,.552,,,,.503,13.3,24.9,.245,,,,.469,12.6,71.5,.197,,,,Conseco Fieldhouse,"752,145","18,345",Indiana Pacers*,82,19730,.459,13.2,,,,,,,.776,.187,.230,.151,.209,.224,,,,,,,.478,.652,.430,.375,.451,.392,,,,,,,.539,.909,,,,,,,.033,207,,,,,,,.278,.440,,,,,,,2,0
MIL,Milwaukee Bucks*,82,242.1,38.7,83.3,.465,4.8,13.0,.369,33.9,70.2,.483,19.0,24.2,.786,12.4,28.9,41.3,22.6,8.2,4.6,15.0,24.6,101.2,Milwaukee Bucks*,82,19855,3174,6827,.465,394,1069,.369,2780,5758,.483,1558,1982,.786,1016,2373,3389,1852,671,381,1230,2020,8300,Milwaukee Bucks*,82,19855,41.4,89.0,.465,5.1,13.9,.369,36.2,75.0,.483,20.3,25.8,.786,13.2,30.9,44.2,24.1,8.7,5.0,16.0,26.3,108.2,Milwaukee Bucks*,28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,+0.3,92.7,.290,.157,.539,,,,.494,13.8,30.0,.228,,,,.496,14.6,69.6,.254,,,,Bradley Center,"628,605","15,332",Milwaukee Bucks*,82,19855,.465,13.2,,,,,,,.843,.205,.159,.275,.204,.157,,,,,,,.483,.629,.414,.427,.465,.369,,,,,,,.540,.888,,,,,,,.047,288,,,,,,,.312,.404,,,,,,,20,0
LAL,Los Angeles Lakers*,82,241.5,38.3,83.4,.459,4.2,12.8,.329,34.1,70.6,.482,20.1,28.9,.696,13.6,33.4,47.0,23.4,7.5,6.5,13.9,22.5,100.8,Los Angeles Lakers*,82,19805,3137,6836,.459,344,1047,.329,2793,5789,.482,1649,2368,.696,1117,2738,3855,1921,613,534,1143,1841,8267,Los Angeles Lakers*,82,19805,40.7,88.7,.459,4.5,13.6,.329,36.3,75.2,.482,21.4,30.7,.696,14.5,35.5,50.0,24.9,8.0,6.9,14.8,23.9,107.3,Los Angeles Lakers*,29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,+9.1,93.3,.346,.153,.525,,,,.484,12.7,30.6,.241,,,,.443,13.4,73.1,.222,,,,STAPLES Center,"771,420","18,815",Los Angeles Lakers*,82,19805,.459,12.2,,,,,,,.847,.269,.235,.140,.202,.153,,,,,,,.482,.682,.387,.351,.419,.329,,,,,,,.582,.858,,,,,,,.065,415,,,,,,,.195,.309,,,,,,,6,0
ORL,Orlando Magic,82,240.9,38.6,85.5,.452,3.6,10.6,.338,35.1,74.9,.468,19.2,26.1,.735,14.0,31.0,44.9,20.8,9.1,5.7,17.6,24.0,100.1,Orlando Magic,82,19755,3169,7014,.452,294,870,.338,2875,6144,.468,1574,2142,.735,1145,2540,3685,1709,743,467,1443,1967,8206,Orlando Magic,82,19755,39.6,87.6,.452,3.7,10.9,.338,35.9,76.7,.468,19.6,26.7,.735,14.3,31.7,46.0,21.3,9.3,5.8,18.0,24.6,102.4,Orlando Magic,26.3,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,+0.7,97.3,.305,.124,.516,,,,.473,15.4,31.6,.224,,,,.476,15.9,69.9,.226,,,,TD Waterhouse Centre,"576,409","14,059",Orlando Magic,82,19755,.452,12.6,,,,,,,.876,.287,.167,.138,.284,.124,,,,,,,.468,.613,.359,.368,.433,.338,,,,,,,.519,.735,,,,,,,.054,327,,,,,,,.166,.354,,,,,,,10,1
HOU,Houston Rockets,82,241.8,36.6,81.3,.450,7.1,19.8,.358,29.5,61.5,.480,19.2,26.2,.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5,Houston Rockets,82,19830,3001,6664,.450,581,1625,.358,2420,5039,.480,1573,2145,.733,1008,2586,3594,1774,613,438,1425,1663,8156,Houston Rockets,82,19830,38.6,85.6,.450,7.5,20.9,.358,31.1,64.7,.480,20.2,27.6,.733,13.0,33.2,46.2,22.8,7.9,5.6,18.3,21.4,104.8,Houston Rockets,26.3,34,48,39,43,-0.87,0.30,-0.57,104.8,105.7,-0.9,94.2,.322,.244,.536,,,,.494,15.8,29.1,.236,,,,.481,12.5,71.6,.201,,,,Compaq Center,"624,594","15,234",Houston Rockets,82,19830,.450,13.1,,,,,,,.756,.323,.161,.105,.167,.244,,,,,,,.480,.649,.345,.300,.397,.358,,,,,,,.540,.806,,,,,,,.074,439,,,,,,,.212,.377,,,,,,,10,0
BOS,Boston Celtics,82,240.6,37.2,83.9,.444,5.1,15.4,.331,32.2,68.5,.469,19.8,26.5,.745,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1,99.3,Boston Celtics,82,19730,3054,6880,.444,417,1260,.331,2637,5620,.469,1621,2175,.745,1108,2420,3528,1741,795,286,1259,2223,8146,Boston Celtics,82,19730,39.3,88.5,.444,5.4,16.2,.331,33.9,72.3,.469,20.8,28.0,.745,14.2,31.1,45.4,22.4,10.2,3.7,16.2,28.6,104.8,Boston Celtics,25.4,35,47,39,43,-0.76,-0.24,-1.00,104.8,105.6,-0.8,94.6,.316,.183,.520,,,,.474,13.8,30.4,.236,,,,.498,15.8,73.8,.306,,,,FleetCenter,"683,608","16,673",Boston Celtics,82,19730,.444,11.9,,,,,,,.817,.263,.226,.138,.190,.183,,,,,,,.469,.575,.415,.393,.442,.331,,,,,,,.515,.916,,,,,,,.029,188,,,,,,,.252,.349,,,,,,,4,0
SEA,Seattle SuperSonics*,82,241.2,37.9,84.7,.447,6.7,19.6,.339,31.2,65.1,.480,16.6,23.9,.695,12.7,30.3,43.0,22.9,8.0,4.2,14.0,21.7,99.1,Seattle SuperSonics*,82,19780,3108,6946,.447,546,1611,.339,2562,5335,.480,1363,1960,.695,1042,2483,3525,1878,657,345,1152,1776,8125,Seattle SuperSonics*,82,19780,40.4,90.3,.447,7.1,20.9,.339,33.3,69.3,.480,17.7,25.5,.695,13.5,32.3,45.8,24.4,8.5,4.5,15.0,23.1,105.6,Seattle SuperSonics*,28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,+1.0,93.4,.282,.232,.520,,,,.487,12.9,28.5,.196,,,,.483,14.0,69.6,.193,,,,KeyArena at Seattle Center,"615,730","15,018",Seattle SuperSonics*,82,19780,.447,13.3,,,,,,,.768,.234,.201,.103,.229,.232,,,,,,,.480,.695,.397,.313,.409,.339,,,,,,,.558,.821,,,,,,,.039,255,,,,,,,.211,.350,,,,,,,5,0
