Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
DEN,Denver Nuggets,82,243.4,46.1,97.1,.475,0.4,1.8,.207,45.8,95.3,.480,29.1,37.2,.783,16.2,30.5,46.6,24.8,8.8,4.6,17.6,25.7,121.8,Denver Nuggets,82,19955,3784,7960,.475,30,145,.207,3754,7815,.480,2388,3051,.783,1325,2497,3822,2030,720,380,1444,2108,9986,Denver Nuggets,82,19955,41.5,87.2,.475,0.3,1.6,.207,41.1,85.6,.480,26.2,33.4,.783,14.5,27.4,41.9,22.2,7.9,4.2,15.8,23.1,109.4,Denver Nuggets,26.8,37,45,40,42,-0.48,-0.47,-0.95,109.4,109.8,-0.4,109.8,.383,.018,.537,,,,.477,13.4,33.1,.300,,,,.509,14.6,65.4,.232,,,,McNichols Sports Arena,"423,287","10,324"
MIL,Milwaukee Bucks*,82,240.9,45.4,91.1,.498,0.4,1.6,.229,45.0,89.5,.503,22.0,28.5,.770,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1,Milwaukee Bucks*,82,19755,3722,7472,.498,30,131,.229,3692,7341,.503,1802,2340,.770,1261,2408,3669,2319,862,530,1581,2198,9276,Milwaukee Bucks*,82,19755,43.6,87.6,.498,0.4,1.5,.229,43.3,86.1,.503,21.1,27.4,.770,14.8,28.2,43.0,27.2,10.1,6.2,18.5,25.8,108.7,Milwaukee Bucks*,26.6,60,22,59,23,7.27,-0.13,7.14,108.7,101.8,+6.9,103.6,.313,.018,.546,,,,.500,15.7,36.3,.241,,,,.461,16.6,65.6,.280,,,,MECCA Arena,"448,366","10,936"
SAS,San Antonio Spurs*,82,241.5,43.5,88.7,.491,0.2,1.0,.176,43.4,87.7,.495,25.0,32.5,.769,15.9,31.5,47.4,25.0,8.4,7.8,18.7,25.8,112.3,San Antonio Spurs*,82,19805,3571,7276,.491,15,85,.176,3556,7191,.495,2052,2668,.769,1304,2582,3886,2048,685,643,1533,2114,9209,San Antonio Spurs*,82,19805,42.1,85.7,.491,0.2,1.0,.176,41.9,84.7,.495,24.2,31.4,.769,15.4,30.4,45.8,24.1,8.1,7.6,18.1,24.9,108.5,San Antonio Spurs*,26.7,52,30,48,34,2.88,-0.70,2.18,108.5,105.7,+2.8,102.9,.367,.012,.545,,,,.492,15.4,37.5,.282,,,,.475,14.1,68.0,.233,,,,HemisFair Arena,"440,553","10,757"
PHI,Philadelphia 76ers*,82,242.1,44.3,86.3,.514,0.2,1.0,.226,44.1,85.2,.518,22.7,29.6,.768,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7,Philadelphia 76ers*,82,19855,3636,7073,.514,19,84,.226,3617,6989,.518,1865,2427,.768,1091,2618,3709,2369,857,591,1702,2061,9156,Philadelphia 76ers*,82,19855,42.5,82.7,.514,0.2,1.0,.226,42.3,81.7,.518,21.8,28.4,.768,12.8,30.6,43.4,27.7,10.0,6.9,19.9,24.1,107.0,Philadelphia 76ers*,27.2,62,20,60,22,7.85,-0.09,7.76,107.0,99.5,+7.5,103.4,.343,.012,.562,,,,.515,17.3,32.3,.264,,,,.454,16.3,67.1,.252,,,,The Spectrum,"469,355","11,448"
LAL,Los Angeles Lakers*,82,241.5,46.1,90.0,.512,0.2,1.1,.181,45.9,88.9,.516,18.8,25.8,.729,14.2,30.4,44.6,28.8,9.9,6.7,19.0,23.8,111.2,Los Angeles Lakers*,82,19805,3780,7382,.512,17,94,.181,3763,7288,.516,1540,2113,.729,1165,2491,3656,2363,808,551,1557,1955,9117,Los Angeles Lakers*,82,19805,44.6,87.1,.512,0.2,1.1,.181,44.4,86.0,.516,18.2,24.9,.729,13.7,29.4,43.1,27.9,9.5,6.5,18.4,23.1,107.6,Los Angeles Lakers*,27.0,54,28,51,31,3.84,-0.57,3.27,107.6,103.9,+3.7,102.7,.286,.013,.548,,,,.513,15.8,33.9,.209,,,,.468,14.6,64.4,.208,,,,The Forum,"538,865","13,143"
POR,Portland Trail Blazers*,82,242.1,45.6,91.9,.496,0.3,1.8,.169,45.3,90.1,.503,19.2,26.7,.718,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7,Portland Trail Blazers*,82,19855,3741,7535,.496,25,148,.169,3716,7387,.503,1573,2191,.718,1243,2388,3631,2244,769,480,1518,2034,9080,Portland Trail Blazers*,82,19855,43.9,88.4,.496,0.3,1.7,.169,43.6,86.7,.503,18.5,25.7,.718,14.6,28.0,42.6,26.3,9.0,5.6,17.8,23.9,106.5,Portland Trail Blazers*,25.7,45,37,43,39,0.89,-0.37,0.52,106.5,105.7,+0.8,103.0,.291,.020,.534,,,,.498,15.2,33.9,.209,,,,.490,15.8,65.7,.246,,,,Memorial Coliseum,"519,306","12,666"
PHO,Phoenix Suns*,82,240.9,43.7,89.3,.490,0.4,2.0,.217,43.3,87.4,.496,22.1,29.6,.745,15.0,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110.0,Phoenix Suns*,82,19755,3587,7326,.490,35,161,.217,3552,7165,.496,1810,2430,.745,1234,2490,3724,2205,876,416,1733,1996,9019,Phoenix Suns*,82,19755,41.6,85.0,.490,0.4,1.9,.217,41.2,83.1,.496,21.0,28.2,.745,14.3,28.9,43.2,25.6,10.2,4.8,20.1,23.2,104.6,Phoenix Suns*,25.7,57,25,55,27,5.51,-0.68,4.83,104.6,99.4,+5.2,104.7,.332,.022,.537,,,,.492,17.1,35.1,.247,,,,.471,17.5,68.2,.244,,,,Arizona Veterans Memorial Coliseum,"482,693","11,773"
BOS,Boston Celtics*,82,241.2,43.7,86.6,.504,0.8,2.9,.270,42.9,83.6,.513,21.7,28.9,.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9,Boston Celtics*,82,19780,3581,7099,.504,65,241,.270,3516,6858,.513,1781,2369,.752,1155,2424,3579,2202,683,594,1577,1990,9008,Boston Celtics*,82,19780,43.1,85.5,.504,0.8,2.9,.270,42.3,82.6,.513,21.4,28.5,.752,13.9,29.2,43.1,26.5,8.2,7.2,19.0,24.0,108.4,Boston Celtics*,27.0,62,20,56,26,5.88,0.17,6.05,108.4,102.6,+5.8,100.8,.334,.034,.553,,,,.509,16.2,34.7,.251,,,,.464,15.1,67.0,.240,,,,Boston Garden,"595,454","14,914"
GSW,Golden State Warriors,82,240.6,43.4,88.8,.489,0.7,2.6,.286,42.7,86.3,.495,22.3,30.6,.727,17.1,28.9,46.0,24.7,7.5,3.7,18.9,26.3,109.8,Golden State Warriors,82,19730,3560,7284,.489,60,210,.286,3500,7074,.495,1826,2513,.727,1403,2366,3769,2026,611,301,1547,2158,9006,Golden State Warriors,82,19730,42.9,87.8,.489,0.7,2.5,.286,42.2,85.2,.495,22.0,30.3,.727,16.9,28.5,45.4,24.4,7.4,3.6,18.6,26.0,108.5,Golden State Warriors,24.4,39,43,38,44,-1.18,-0.23,-1.41,108.5,109.7,-1.2,101.0,.345,.029,.537,,,,.493,15.6,38.8,.251,,,,.507,14.4,67.5,.250,,,,Oakland-Alameda County Coliseum Arena,"412,969","10,072"
CHI,Chicago Bulls*,82,241.2,42.2,84.2,.501,0.5,2.2,.212,41.7,82.0,.508,24.2,31.3,.774,15.0,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109.0,Chicago Bulls*,82,19780,3457,6903,.501,38,179,.212,3419,6724,.508,1985,2563,.774,1227,2475,3702,1925,729,514,1672,2058,8937,Chicago Bulls*,82,19780,41.7,83.2,.501,0.5,2.2,.212,41.2,81.1,.508,23.9,30.9,.774,14.8,29.8,44.6,23.2,8.8,6.2,20.2,24.8,107.8,Chicago Bulls*,26.5,45,37,46,36,1.98,0.37,2.34,107.8,105.8,+2.0,100.6,.371,.026,.556,,,,.504,17.2,36.9,.288,,,,.493,15.5,68.4,.232,,,,Chicago Stadium,"391,118","9,539"
