playerId,"Player Per Game, Player","Player Per Game, Age","Player Per Game, Team","Player Per Game, Pos","Player Per Game, G","Player Per Game, GS","Player Per Game, MP","Player Per Game, FG","Player Per Game, FGA","Player Per Game, FG%","Player Per Game, 3P","Player Per Game, 3PA","Player Per Game, 3P%","Player Per Game, 2P","Player Per Game, 2PA","Player Per Game, 2P%","Player Per Game, eFG%","Player Per Game, FT","Player Per Game, FTA","Player Per Game, FT%","Player Per Game, ORB","Player Per Game, DRB","Player Per Game, TRB","Player Per Game, AST","Player Per Game, STL","Player Per Game, BLK","Player Per Game, TOV","Player Per Game, PF","Player Per Game, PTS","Player Per Game, Awards","Player Totals, Player","Player Totals, Age","Player Totals, Team","Player Totals, Pos","Player Totals, G","Player Totals, GS","Player Totals, MP","Player Totals, FG","Player Totals, FGA","Player Totals, FG%","Player Totals, 3P","Player Totals, 3PA","Player Totals, 3P%","Player Totals, 2P","Player Totals, 2PA","Player Totals, 2P%","Player Totals, eFG%","Player Totals, FT","Player Totals, FTA","Player Totals, FT%","Player Totals, ORB","Player Totals, DRB","Player Totals, TRB","Player Totals, AST","Player Totals, STL","Player Totals, BLK","Player Totals, TOV","Player Totals, PF","Player Totals, PTS","Player Totals, Trp-Dbl","Player Totals, Awards","Player Per 100 Poss, Player","Player Per 100 Poss, Age","Player Per 100 Poss, Team","Player Per 100 Poss, Pos","Player Per 100 Poss, G","Player Per 100 Poss, GS","Player Per 100 Poss, MP","Player Per 100 Poss, FG","Player Per 100 Poss, FGA","Player Per 100 Poss, FG%","Player Per 100 Poss, 3P","Player Per 100 Poss, 3PA","Player Per 100 Poss, 3P%","Player Per 100 Poss, 2P","Player Per 100 Poss, 2PA","Player Per 100 Poss, 2P%","Player Per 100 Poss, eFG%","Player Per 100 Poss, FT","Player Per 100 Poss, FTA","Player Per 100 Poss, FT%","Player Per 100 Poss, ORB","Player Per 100 Poss, DRB","Player Per 100 Poss, TRB","Player Per 100 Poss, AST","Player Per 100 Poss, STL","Player Per 100 Poss, BLK","Player Per 100 Poss, TOV","Player Per 100 Poss, PF","Player Per 100 Poss, PTS","Player Per 100 Poss, ORtg","Player Per 100 Poss, DRtg","Player Per 100 Poss, Awards","Player Advanced, Player","Player Advanced, Pos","Player Advanced, Age","Player Advanced, Team","Player Advanced, G","Player Advanced, MP","Player Advanced, PER","Player Advanced, TS%","Player Advanced, 3PAr","Player Advanced, FTr","Player Advanced, ORB%","Player Advanced, DRB%","Player Advanced, TRB%","Player Advanced, AST%","Player Advanced, STL%","Player Advanced, BLK%","Player Advanced, TOV%","Player Advanced, USG%","Player Advanced, ","Player Advanced, ","Player Advanced, OWS","Player Advanced, DWS","Player Advanced, WS","Player Advanced, WS/48","Player Advanced, ","Player Advanced, ","Player Advanced, OBPM","Player Advanced, DBPM","Player Advanced, BPM","Player Advanced, VORP","Player Adjusted Shooting, Player","Player Adjusted Shooting, Pos","Player Adjusted Shooting, Age","Player Adjusted Shooting, Team","Player Adjusted Shooting, G","Player Adjusted Shooting, MP","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, Player Shooting %, FG","Player Adjusted Shooting, Player Shooting %, 2P","Player Adjusted Shooting, Player Shooting %, 3P","Player Adjusted Shooting, Player Shooting %, eFG","Player Adjusted Shooting, Player Shooting %, FT","Player Adjusted Shooting, Player Shooting %, TS","Player Adjusted Shooting, Player Shooting %, FTr","Player Adjusted Shooting, Player Shooting %, 3PAr","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, League-Adjusted, FG+","Player Adjusted Shooting, League-Adjusted, 2P+","Player Adjusted Shooting, League-Adjusted, 3P+","Player Adjusted Shooting, League-Adjusted, eFG+","Player Adjusted Shooting, League-Adjusted, FT+","Player Adjusted Shooting, League-Adjusted, TS+","Player Adjusted Shooting, League-Adjusted, FTr+","Player Adjusted Shooting, League-Adjusted, 3PAr+","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, FG Add","Player Adjusted Shooting, TS Add","MVP, Player","MVP, Age","MVP, Tm","MVP, Voting, First","MVP, Voting, Pts Won","MVP, Voting, Pts Max","MVP, Voting, Share","MVP, G","MVP, Per Game, MP","MVP, Per Game, PTS","MVP, Per Game, TRB","MVP, Per Game, AST","MVP, Per Game, STL","MVP, Per Game, BLK","MVP, Shooting, FG%","MVP, Shooting, 3P%","MVP, Shooting, FT%","MVP, Advanced, WS","MVP, Advanced, WS/48"
jordami01,Michael Jordan,23,CHI,SG,82,82,40.0,13.4,27.8,.482,0.1,0.8,.182,13.2,27.0,.491,.484,10.2,11.9,.857,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,"MVP-2,DPOY-8,AS,NBA1",Michael Jordan,23,CHI,SG,82,82,3281,1098,2279,.482,12,66,.182,1086,2213,.491,.484,833,972,.857,166,264,430,377,236,125,272,237,3041,0,"MVP-2,DPOY-8,AS,NBA1",Michael Jordan,23,CHI,SG,82,82,3281,16.8,34.8,.482,0.2,1.0,.182,16.6,33.8,.491,.484,12.7,14.8,.857,2.5,4.0,6.6,5.8,3.6,1.9,4.2,3.6,46.4,117,104,"MVP-2,DPOY-8,AS,NBA1",Michael Jordan*,SG,23,IND,82,3281,29.8,.562,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,,,11.9,5.0,16.9,.247,,,8.4,2.4,10.8,10.6,Michael Jordan,SG,23,POR,82,3281,,,,.482,.491,.182,.484,.857,.562,.427,.029,,,,100,100,60,99,112,104,124,54,,,,-17.6,129.2,Michael Jordan,23,CHI,10,449,780,0.576,82,40.0,37.1,5.2,4.6,2.9,1.5,.482,.182,.857,16.9,.247
wilkido01,Dominique Wilkins,27,ATL,SF,79,79,37.6,10.5,22.6,.463,0.4,1.3,.292,10.1,21.3,.474,.472,7.7,9.4,.818,2.7,3.6,6.3,3.3,1.5,0.6,2.7,1.9,29.0,"MVP-5,AS,NBA2",Dominique Wilkins,27,ATL,SF,79,79,2969,828,1787,.463,31,106,.292,797,1681,.474,.472,607,742,.818,210,284,494,261,117,51,215,149,2294,0,"MVP-5,AS,NBA2",Dominique Wilkins,27,ATL,SF,79,79,2969,13.7,29.6,.463,0.5,1.8,.292,13.2,27.9,.474,.472,10.1,12.3,.818,3.5,4.7,8.2,4.3,1.9,0.8,3.6,2.5,38.1,115,107,"MVP-5,AS,NBA2",Dominique Wilkins*,SF,27,NYK,79,2969,23.5,.543,.059,.415,7.7,10.3,9.0,14.9,1.9,1.0,9.2,32.3,,,8.4,3.7,12.2,.197,,,5.5,0.0,5.5,5.6,Dominique Wilkins,SF,27,NJN,79,2969,,,,.463,.474,.292,.472,.818,.543,.415,.059,,,,96,97,97,97,107,101,121,111,,,,-58.1,20.4,Dominique Wilkins,27,ATL,0,128,780,0.164,79,37.6,29.0,6.3,3.3,1.5,0.6,.463,.292,.818,12.2,.197
englial01,Alex English,33,DEN,SF,82,82,37.6,11.8,23.4,.503,0.0,0.2,.267,11.7,23.2,.504,.504,5.0,5.9,.844,1.8,2.4,4.2,5.1,0.9,0.3,2.6,2.6,28.6,"MVP-14,AS",Alex English,33,DEN,SF,82,82,3085,965,1920,.503,4,15,.267,961,1905,.504,.504,411,487,.844,146,198,344,422,73,21,214,216,2345,0,"MVP-14,AS",Alex English,33,DEN,SF,82,82,3085,14.1,28.1,.503,0.1,0.2,.267,14.1,27.9,.504,.504,6.0,7.1,.844,2.1,2.9,5.0,6.2,1.1,0.3,3.1,3.2,34.4,113,114,"MVP-14,AS",Alex English*,SF,33,PHI,82,3085,20.5,.549,.008,.254,4.7,7.2,5.8,21.6,1.1,0.4,9.1,29.2,,,7.0,1.1,8.1,.126,,,4.0,-2.0,1.9,3.1,Alex English,SF,33,NYK,82,3085,,,,.503,.504,.267,.504,.844,.549,.254,.008,,,,105,103,88,103,111,102,74,15,,,,59.0,49.0,Alex English,33,DEN,0,2,780,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,.503,.267,.844,8.1,.126
birdla01,Larry Bird,30,BOS,SF,74,73,40.6,10.6,20.2,.525,1.2,3.0,.400,9.4,17.2,.547,.555,5.6,6.1,.910,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1,"MVP-3,AS,NBA1",Larry Bird,30,BOS,SF,74,73,3005,786,1497,.525,90,225,.400,696,1272,.547,.555,414,455,.910,124,558,682,566,135,70,240,185,2076,5,"MVP-3,AS,NBA1",Larry Bird,30,BOS,SF,74,73,3005,12.7,24.2,.525,1.5,3.6,.400,11.3,20.6,.547,.555,6.7,7.4,.910,2.0,9.0,11.0,9.2,2.2,1.1,3.9,3.0,33.6,121,104,"MVP-3,AS,NBA1",Larry Bird*,SF,30,NJN,74,3005,26.4,.612,.150,.304,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,,,10.4,4.8,15.2,.243,,,7.3,2.0,9.4,8.6,Larry Bird,SF,30,DAL,74,3005,,,,.525,.547,.400,.555,.910,.612,.304,.150,,,,109,112,133,114,119,114,89,282,,,,200.1,250.2,Larry Bird,30,BOS,1,271,780,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,.525,.400,.910,15.2,.243
vandeki01,Kiki Vandeweghe,28,POR,SF,79,79,38.3,10.2,19.6,.523,0.5,1.0,.481,9.7,18.5,.525,.536,5.9,6.7,.886,1.1,2.1,3.2,2.8,0.7,0.2,1.8,1.7,26.9,,Kiki Vandeweghe,28,POR,SF,79,79,3029,808,1545,.523,39,81,.481,769,1464,.525,.536,467,527,.886,86,165,251,220,52,17,139,137,2122,0,,Kiki Vandeweghe,28,POR,SF,79,79,3029,12.2,23.3,.523,0.6,1.2,.481,11.6,22.1,.525,.536,7.0,8.0,.886,1.3,2.5,3.8,3.3,0.8,0.3,2.1,2.1,32.0,123,114,,Kiki Vandeweghe,SF,28,PHO,79,3029,19.2,.597,.052,.341,3.3,6.0,4.6,11.1,0.8,0.3,7.3,24.8,,,9.6,1.3,10.8,.171,,,3.4,-1.9,1.5,2.7,Kiki Vandeweghe,SF,28,WSB,79,3029,,,,.523,.525,.481,.536,.886,.597,.341,.052,,,,109,107,160,110,116,111,99,98,,,,146.2,210.5,,,,,,,,,,,,,,,,,,,
mchalke01,Kevin McHale,29,BOS,PF,77,77,39.7,10.3,17.0,.604,0.0,0.1,.000,10.3,16.9,.606,.604,5.6,6.6,.836,3.2,6.7,9.9,2.6,0.5,2.2,2.6,3.1,26.1,"MVP-4,DPOY-5,AS,NBA1",Kevin McHale,29,BOS,PF,77,77,3060,790,1307,.604,0,4,.000,790,1303,.606,.604,428,512,.836,247,516,763,198,38,172,197,240,2008,0,"MVP-4,DPOY-5,AS,NBA1",Kevin McHale,29,BOS,PF,77,77,3060,12.6,20.8,.604,0.0,0.1,.000,12.6,20.7,.606,.604,6.8,8.1,.836,3.9,8.2,12.1,3.1,0.6,2.7,3.1,3.8,31.9,125,106,"MVP-4,DPOY-5,AS,NBA1",Kevin McHale*,PF,29,NJN,77,3060,24.0,.655,.003,.392,9.9,17.5,14.0,9.8,0.6,3.1,11.4,24.1,,,10.8,4.0,14.8,.232,,,4.7,0.4,5.1,5.5,Kevin McHale,PF,29,SEA,77,3060,,,,.604,.606,.000,.604,.836,.655,.392,.003,,,,126,124,,124,110,122,114,6,,,,303.6,359.6,Kevin McHale,29,BOS,0,254,780,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,.604,.000,.836,14.8,.232
aguirma01,Mark Aguirre,27,DAL,SF,80,80,33.3,9.8,19.9,.495,0.7,1.9,.353,9.2,18.0,.510,.512,5.4,7.0,.770,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3.0,25.7,"MVP-15,AS",Mark Aguirre,27,DAL,SF,80,80,2663,787,1590,.495,53,150,.353,734,1440,.510,.512,429,557,.770,181,246,427,254,84,30,217,243,2056,0,"MVP-15,AS",Mark Aguirre,27,DAL,SF,80,80,2663,14.1,28.5,.495,1.0,2.7,.353,13.2,25.8,.510,.512,7.7,10.0,.770,3.2,4.4,7.7,4.6,1.5,0.5,3.9,4.4,36.9,114,111,"MVP-15,AS",Mark Aguirre,SF,27,DAL,80,2663,22.1,.560,.094,.350,7.5,9.8,8.7,15.7,1.5,0.6,10.6,31.3,,,6.8,2.1,8.9,.160,,,4.1,-1.1,3.1,3.4,Mark Aguirre,SF,27,DAL,80,2663,,,,.495,.510,.353,.512,.770,.560,.350,.094,,,,103,104,117,105,101,104,102,177,,,,74.3,81.9,Mark Aguirre,27,DAL,0,1,780,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,.495,.353,.770,8.9,.160
ellisda01,Dale Ellis,26,SEA,SG,82,76,37.5,9.6,18.5,.516,1.0,2.9,.358,8.5,15.6,.546,.545,4.7,6.0,.787,2.3,3.2,5.5,2.9,1.3,0.4,2.9,3.3,24.9,MIP-1,Dale Ellis,26,SEA,SG,82,76,3073,785,1520,.516,86,240,.358,699,1280,.546,.545,385,489,.787,187,260,447,238,104,32,238,267,2041,0,MIP-1,Dale Ellis,26,SEA,SG,82,76,3073,12.0,23.3,.516,1.3,3.7,.358,10.7,19.6,.546,.545,5.9,7.5,.787,2.9,4.0,6.9,3.7,1.6,0.5,3.7,4.1,31.3,117,112,MIP-1,Dale Ellis,SG,26,NJN,82,3073,19.0,.588,.158,.322,6.6,9.3,7.9,11.9,1.6,0.6,12.1,25.3,,,7.6,1.7,9.3,.145,,,3.5,-1.1,2.4,3.4,Dale Ellis,SG,26,PHI,82,3073,,,,.516,.546,.358,.545,.787,.588,.322,.158,,,,108,111,119,112,103,109,94,297,,,,171.6,174.3,,,,,,,,,,,,,,,,,,,
malonmo01,Moses Malone,31,WSB,C,73,70,34.1,8.2,18.0,.454,0.0,0.2,.000,8.2,17.8,.458,.454,7.8,9.5,.824,4.7,6.6,11.3,1.6,0.8,1.3,2.8,1.9,24.1,"MVP-10,AS,NBA2",Moses Malone,31,WSB,C,73,70,2488,595,1311,.454,0,11,.000,595,1300,.458,.454,570,692,.824,340,484,824,120,59,92,202,139,1760,0,"MVP-10,AS,NBA2",Moses Malone,31,WSB,C,73,70,2488,11.5,25.3,.454,0.0,0.2,.000,11.5,25.0,.458,.454,11.0,13.3,.824,6.5,9.3,15.9,2.3,1.1,1.8,3.9,2.7,33.9,114,106,"MVP-10,AS,NBA2",Moses Malone*,C,31,NJN,73,2488,23.8,.545,.008,.528,14.2,21.0,17.6,7.9,1.1,2.1,11.1,29.3,,,6.0,3.4,9.4,.182,,,4.3,-1.5,2.8,3.0,Moses Malone,C,31,POR,73,2488,,,,.454,.458,.000,.454,.824,.545,.528,.008,,,,95,93,,93,108,101,154,16,,,,-90.3,22.1,Moses Malone,31,WSB,0,9,780,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,.454,.000,.824,9.4,.182
johnsma02,Magic Johnson,27,LAL,PG,80,80,36.3,8.5,16.4,.522,0.1,0.5,.205,8.4,15.9,.532,.525,6.7,7.9,.848,1.5,4.8,6.3,12.2,1.7,0.5,3.8,2.1,23.9,"MVP-1,AS,NBA1",Magic Johnson,27,LAL,PG,80,80,2904,683,1308,.522,8,39,.205,675,1269,.532,.525,535,631,.848,122,382,504,977,138,36,300,168,1909,11,"MVP-1,AS,NBA1",Magic Johnson,27,LAL,PG,80,80,2904,11.1,21.3,.522,0.1,0.6,.205,11.0,20.6,.532,.525,8.7,10.3,.848,2.0,6.2,8.2,15.9,2.2,0.6,4.9,2.7,31.1,124,106,"MVP-1,AS,NBA1",Magic Johnson*,PG,27,LAC,80,2904,27.0,.602,.030,.482,5.0,13.7,9.7,47.2,2.2,0.7,15.9,26.3,,,12.1,3.8,15.9,.263,,,7.5,1.3,8.8,8.0,Magic Johnson,PG,27,DET,80,2904,,,,.522,.532,.205,.525,.848,.602,.482,.030,,,,109,108,68,108,111,112,141,56,,,,96.7,203.2,Magic Johnson,27,LAL,65,733,780,0.940,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,.263
