Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
SAC,Sacramento Kings*,50,244.0,38.4,86.1,.445,5.8,18.9,.308,32.6,67.3,.484,17.7,25.9,.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2,Sacramento Kings*,50,12200,1918,4307,.445,290,943,.308,1628,3364,.484,883,1293,.683,706,1573,2279,1129,444,232,842,1016,5009,Sacramento Kings*,50,12200,39.3,88.3,.445,5.9,19.3,.308,33.4,69.0,.484,18.1,26.5,.683,14.5,32.2,46.7,23.1,9.1,4.8,17.3,20.8,102.7,Sacramento Kings*,26.1,27,23,24,26,-0.42,-0.47,-0.89,102.7,103.1,-0.4,96.0,.300,.219,.514,,,,.479,14.7,30.6,.205,,,,.471,13.7,67.7,.176,,,,ARCO Arena (II),"418,751","16,750",Sacramento Kings*,50,12200,.445,12.7,,,,,,,.781,.284,.219,.110,.168,.219,,,,,,,.484,.677,.403,.335,.360,.308,,,,,,,.566,.714,,,,,,,.063,247,,,,,,,.183,.312,,,,,,,9,0
LAL,Los Angeles Lakers*,50,241.0,36.8,78.7,.468,4.8,13.7,.352,32.0,65.0,.492,20.5,30.1,.683,12.4,29.6,42.0,21.9,7.8,5.7,15.1,24.6,99.0,Los Angeles Lakers*,50,12050,1841,3935,.468,241,685,.352,1600,3250,.492,1027,1503,.683,619,1482,2101,1095,389,287,754,1231,4950,Los Angeles Lakers*,50,12050,40.0,85.5,.468,5.2,14.9,.352,34.8,70.6,.492,22.3,32.7,.683,13.5,32.2,45.7,23.8,8.5,6.2,16.4,26.8,107.6,Los Angeles Lakers*,27.5,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,+3.3,91.6,.382,.174,.538,,,,.498,14.1,30.6,.261,,,,.468,13.3,70.2,.267,,,,Great Western Forum,"430,007","17,200",Los Angeles Lakers*,50,12050,.468,12.3,,,,,,,.826,.300,.227,.118,.181,.174,,,,,,,.492,.665,.413,.371,.385,.352,,,,,,,.561,.817,,,,,,,.075,264,,,,,,,.180,.350,,,,,,,6,0
PHO,Phoenix Suns*,50,241.0,35.9,80.1,.449,5.2,14.0,.372,30.7,66.0,.465,18.5,24.3,.760,12.0,28.4,40.3,25.0,8.9,4.0,13.6,20.4,95.6,Phoenix Suns*,50,12050,1797,4004,.449,261,702,.372,1536,3302,.465,924,1215,.760,598,1418,2016,1249,444,200,681,1022,4779,Phoenix Suns*,50,12050,39.8,88.6,.449,5.8,15.5,.372,34.0,73.1,.465,20.4,26.9,.760,13.2,31.4,44.6,27.6,9.8,4.4,15.1,22.6,105.8,Phoenix Suns*,29.3,27,23,29,21,2.26,-0.11,2.15,105.8,103.3,+2.5,90.0,.303,.175,.526,,,,.481,13.0,28.4,.231,,,,.485,15.4,69.8,.216,,,,America West Arena,"472,283","18,891",Phoenix Suns*,50,12050,.449,13.3,,,,,,,.825,.251,.161,.177,.236,.175,,,,,,,.465,.640,.378,.367,.413,.372,,,,,,,.654,.939,,,,,,,.028,103,,,,,,,.209,.408,,,,,,,4,0
SEA,Seattle SuperSonics,50,242.0,35.1,79.5,.442,6.2,18.0,.344,28.9,61.5,.470,18.4,27.1,.681,13.5,28.4,42.0,21.7,7.9,4.0,15.3,20.9,94.9,Seattle SuperSonics,50,12100,1756,3976,.442,309,899,.344,1447,3077,.470,922,1354,.681,676,1422,2098,1087,393,201,765,1047,4743,Seattle SuperSonics,50,12100,38.9,88.0,.442,6.8,19.9,.344,32.0,68.1,.470,20.4,30.0,.681,15.0,31.5,46.4,24.1,8.7,4.4,16.9,23.2,105.0,Seattle SuperSonics,31.2,25,25,23,27,-1.08,-0.35,-1.43,105.0,106.2,-1.2,89.6,.341,.226,.519,,,,.481,14.3,31.9,.232,,,,.489,14.1,68.6,.213,,,,KeyArena at Seattle Center,"426,800","17,072",Seattle SuperSonics,50,12100,.442,12.8,,,,,,,.774,.245,.233,.117,.179,.226,,,,,,,.470,.678,.387,.284,.415,.344,,,,,,,.569,.854,,,,,,,.030,112,,,,,,,.216,.345,,,,,,,4,0
POR,Portland Trail Blazers*,50,243.5,34.9,79.1,.442,4.9,13.5,.364,30.0,65.6,.457,20.0,27.0,.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8,Portland Trail Blazers*,50,12175,1747,3956,.442,246,675,.364,1501,3281,.457,1002,1349,.743,646,1570,2216,1073,411,290,771,1126,4742,Portland Trail Blazers*,50,12175,38.6,87.4,.442,5.4,14.9,.364,33.2,72.5,.457,22.1,29.8,.743,14.3,34.7,49.0,23.7,9.1,6.4,17.0,24.9,104.8,Portland Trail Blazers*,27.4,35,15,36,14,6.36,-0.69,5.67,104.8,97.7,+7.1,89.2,.341,.171,.521,,,,.473,14.5,31.8,.253,,,,.445,14.9,71.8,.233,,,,Rose Garden Arena,"486,556","19,462",Portland Trail Blazers*,50,12175,.442,13.2,,,,,,,.829,.265,.196,.119,.250,.171,,,,,,,.457,.619,.383,.338,.402,.364,,,,,,,.574,.862,,,,,,,.057,195,,,,,,,.213,.451,,,,,,,4,0
IND,Indiana Pacers*,50,242.0,34.6,77.3,.448,5.9,16.0,.368,28.7,61.3,.469,19.5,24.6,.796,11.5,29.0,40.5,20.1,6.3,4.5,13.0,21.6,94.7,Indiana Pacers*,50,12100,1731,3866,.448,294,799,.368,1437,3067,.469,977,1228,.796,574,1452,2026,1005,316,223,649,1082,4733,Indiana Pacers*,50,12100,39.7,88.8,.448,6.8,18.3,.368,33.0,70.4,.469,22.4,28.2,.796,13.2,33.3,46.5,23.1,7.3,5.1,14.9,24.8,108.7,Indiana Pacers*,30.8,33,17,32,18,3.74,0.12,3.86,108.7,104.4,+4.3,86.4,.318,.207,.537,,,,.486,12.8,28.7,.253,,,,.460,12.7,69.9,.236,,,,Market Square Arena,"404,536","16,181",Indiana Pacers*,50,12100,.448,13.0,,,,,,,.793,.201,.223,.168,.201,.207,,,,,,,.469,.633,.387,.392,.459,.368,,,,,,,.520,.878,,,,,,,.039,145,,,,,,,.240,.396,,,,,,,6,1
HOU,Houston Rockets*,50,241.5,35.1,76.0,.462,6.7,18.3,.368,28.4,57.7,.492,17.3,23.7,.729,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2,Houston Rockets*,50,12075,1755,3798,.462,336,914,.368,1419,2884,.492,865,1187,.729,536,1540,2076,1058,386,260,812,960,4711,Houston Rockets*,50,12075,39.3,85.0,.462,7.5,20.5,.368,31.8,64.6,.492,19.4,26.6,.729,12.0,34.5,46.5,23.7,8.6,5.8,18.2,21.5,105.4,Houston Rockets*,29.6,31,19,29,21,2.32,-0.93,1.39,105.4,102.9,+2.5,88.8,.313,.241,.545,,,,.506,15.8,27.8,.228,,,,.461,12.4,69.9,.188,,,,Compaq Center,"407,125","16,285",Houston Rockets*,50,12075,.462,13.1,,,,,,,.759,.282,.188,.142,.147,.241,,,,,,,.492,.665,.396,.357,.414,.368,,,,,,,.543,.854,,,,,,,.042,147,,,,,,,.174,.384,,,,,,,4,1
DEN,Denver Nuggets,50,240.5,33.6,79.8,.421,6.0,18.4,.328,27.6,61.3,.450,20.2,26.5,.762,12.9,27.8,40.8,19.4,7.5,5.5,14.8,22.9,93.5,Denver Nuggets,50,12025,1681,3989,.421,302,922,.328,1379,3067,.450,1010,1325,.762,647,1392,2039,969,376,275,739,1145,4674,Denver Nuggets,50,12025,37.1,88.0,.421,6.7,20.3,.328,30.4,67.7,.450,22.3,29.2,.762,14.3,30.7,45.0,21.4,8.3,6.1,16.3,25.3,103.1,Denver Nuggets,24.6,14,36,14,36,-6.60,-0.07,-6.67,103.1,110.4,-7.3,90.5,.332,.231,.511,,,,.459,13.9,30.1,.253,,,,.499,13.2,69.2,.248,,,,McNichols Sports Arena,"296,965","11,879",Denver Nuggets,50,12025,.421,13.9,,,,,,,.769,.271,.154,.146,.198,.231,,,,,,,.450,.578,.390,.351,.393,.328,,,,,,,.536,.762,,,,,,,.044,160,,,,,,,.244,.396,,,,,,,3,0
UTA,Utah Jazz*,50,243.5,33.7,72.4,.465,2.8,7.8,.361,30.9,64.6,.478,23.2,30.2,.767,11.1,30.2,41.3,24.1,8.0,5.5,16.3,22.7,93.3,Utah Jazz*,50,12175,1684,3620,.465,140,388,.361,1544,3232,.478,1158,1510,.767,555,1508,2063,1204,398,276,814,1133,4666,Utah Jazz*,50,12175,38.2,82.1,.465,3.2,8.8,.361,35.0,73.3,.478,26.2,34.2,.767,12.6,34.2,46.8,27.3,9.0,6.3,18.5,25.7,105.8,Utah Jazz*,30.3,37,13,37,13,6.52,-0.99,5.54,105.8,98.4,+7.4,87.0,.417,.107,.545,,,,.485,16.0,30.0,.320,,,,.441,14.4,70.4,.242,,,,Delta Center,"493,120","19,725",Utah Jazz*,50,12175,.465,12.3,,,,,,,.893,.331,.151,.138,.273,.107,,,,,,,.478,.627,.342,.367,.428,.361,,,,,,,.703,.843,,,,,,,.041,138,,,,,,,.165,.516,,,,,,,2,0
BOS,Boston Celtics,50,243.0,36.3,83.3,.436,5.5,15.2,.360,30.9,68.1,.453,14.9,21.5,.692,13.6,29.2,42.8,21.5,9.1,5.1,16.1,23.9,93.0,Boston Celtics,50,12150,1816,4164,.436,273,758,.360,1543,3406,.453,745,1077,.692,680,1458,2138,1073,453,255,807,1193,4650,Boston Celtics,50,12150,39.2,89.9,.436,5.9,16.4,.360,33.3,73.5,.453,16.1,23.3,.692,14.7,31.5,46.2,23.2,9.8,5.5,17.4,25.8,100.4,Boston Celtics,24.3,19,31,22,28,-1.86,0.11,-1.75,100.4,102.4,-2.0,91.5,.259,.182,.501,,,,.469,14.8,30.6,.179,,,,.465,15.6,69.4,.287,,,,FleetCenter,"440,602","17,624",Boston Celtics,50,12150,.436,11.9,,,,,,,.818,.275,.202,.150,.191,.182,,,,,,,.453,.583,.370,.364,.422,.360,,,,,,,.532,.923,,,,,,,.035,138,,,,,,,.218,.412,,,,,,,4,0
