Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
DAL,Dallas Mavericks*,82,241.5,40.5,88.2,.459,6.2,17.8,.348,34.3,70.4,.488,18.0,22.6,.796,14.3,31.0,45.3,23.9,8.0,5.3,12.2,19.6,105.2,Dallas Mavericks*,82,19805,3322,7230,.459,507,1456,.348,2815,5774,.488,1475,1854,.796,1174,2538,3712,1963,656,437,1000,1609,8626,Dallas Mavericks*,82,19805,43.2,94.0,.459,6.6,18.9,.348,36.6,75.1,.488,19.2,24.1,.796,15.3,33.0,48.3,25.5,8.5,5.7,13.0,20.9,112.1,Dallas Mavericks*,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,+4.7,93.2,.256,.201,.536,,,,.495,11.1,31.4,.204,,,,.498,13.9,71.6,.214,,,,American Airlines Center,"825,594","20,136",Dallas Mavericks*,82,19805,.459,12.1,,,,,,,,.799,.290,.159,.129,.219,.201,,,,,,,,.488,.619,.414,.428,.402,.348,,,,,,,,.548,.828,,,,,,,,.024,163,,,,,,,,.243,1021,,,,,,,,.168,.373,,,,,,,,18,0
SAC,Sacramento Kings*,82,241.2,37.8,81.8,.462,7.3,18.3,.401,30.5,63.6,.480,19.8,24.9,.795,10.8,30.4,41.2,26.2,8.7,4.0,13.9,19.3,102.8,Sacramento Kings*,82,19780,3103,6711,.462,601,1498,.401,2502,5213,.480,1626,2044,.795,888,2492,3380,2152,710,325,1137,1586,8433,Sacramento Kings*,82,19780,40.6,87.8,.462,7.9,19.6,.401,32.7,68.2,.480,21.3,26.7,.795,11.6,32.6,44.2,28.1,9.3,4.3,14.9,20.7,110.3,Sacramento Kings*,29.3,55,27,55,27,5.01,0.40,5.41,110.3,104.9,+5.4,92.8,.305,.223,.554,,,,.507,13.0,26.0,.242,,,,.483,13.7,69.8,.193,,,,ARCO Arena (II),"709,997","17,317",Sacramento Kings*,82,19780,.462,13.0,,,,,,,,.777,.277,.128,.089,.284,.223,,,,,,,,.480,.636,.340,.383,.421,.401,,,,,,,,.653,.862,,,,,,,,.035,220,,,,,,,,.226,908,,,,,,,,.307,.422,,,,,,,,12,0
LAL,Los Angeles Lakers*,82,242.1,36.9,81.4,.454,4.5,13.6,.327,32.5,67.8,.479,19.9,28.7,.693,12.2,30.9,43.1,23.8,8.3,4.6,13.8,21.1,98.2,Los Angeles Lakers*,82,19855,3028,6676,.454,365,1115,.327,2663,5561,.479,1631,2352,.693,1001,2535,3536,1948,682,379,1132,1732,8052,Los Angeles Lakers*,82,19855,39.7,87.4,.454,4.8,14.6,.327,34.9,72.8,.479,21.4,30.8,.693,13.1,33.2,46.3,25.5,8.9,5.0,14.8,22.7,105.5,Los Angeles Lakers*,29.8,56,26,52,30,3.90,0.45,4.35,105.5,101.3,+4.2,92.3,.352,.167,.522,,,,.481,12.8,28.1,.244,,,,.471,14.3,73.3,.222,,,,STAPLES Center,"777,757","18,970",Los Angeles Lakers*,82,19855,.454,11.5,,,,,,,,.833,.326,.143,.126,.238,.167,,,,,,,,.479,.632,.392,.369,.379,.327,,,,,,,,.608,.901,,,,,,,,.054,333,,,,,,,,.250,959,,,,,,,,.239,.322,,,,,,,,16,1
MIL,Milwaukee Bucks*,82,241.2,36.2,81.1,.447,4.9,14.0,.350,31.3,67.1,.467,20.7,26.7,.775,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,98.0,Milwaukee Bucks*,82,19780,2970,6650,.447,401,1145,.350,2569,5505,.467,1698,2192,.775,960,2502,3462,1872,554,383,1110,1668,8039,Milwaukee Bucks*,82,19780,39.4,88.1,.447,5.3,15.2,.350,34.0,72.9,.467,22.5,29.0,.775,12.7,33.2,45.9,24.8,7.3,5.1,14.7,22.1,106.5,Milwaukee Bucks*,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,+1.1,91.6,.330,.172,.528,,,,.477,12.7,27.6,.255,,,,.485,13.3,71.8,.213,,,,Bradley Center,"690,180","16,834",Milwaukee Bucks*,82,19780,.447,11.2,,,,,,,,.828,.320,.152,.176,.179,.172,,,,,,,,.467,.578,.424,.384,.385,.350,,,,,,,,.588,.903,,,,,,,,.054,325,,,,,,,,.245,835,,,,,,,,.261,.328,,,,,,,,9,0
DEN,Denver Nuggets*,82,240.6,36.5,82.5,.443,4.0,12.0,.336,32.5,70.5,.461,20.2,26.3,.767,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22.0,97.2,Denver Nuggets*,82,19730,2993,6763,.443,331,985,.336,2662,5778,.461,1655,2159,.767,1083,2387,3470,1794,745,520,1278,1804,7972,Denver Nuggets*,82,19730,39.0,88.1,.443,4.3,12.8,.336,34.7,75.3,.461,21.6,28.1,.767,14.1,31.1,45.2,23.4,9.7,6.8,16.7,23.5,103.9,Denver Nuggets*,25.6,43,39,44,38,1.07,0.58,1.65,103.9,102.7,+1.2,93.3,.319,.146,.517,,,,.467,14.2,30.5,.245,,,,.481,15.6,69.3,.221,,,,Pepsi Center,"721,476","17,597",Denver Nuggets*,82,19730,.443,11.3,,,,,,,,.854,.345,.111,.127,.272,.146,,,,,,,,.461,.597,.365,.377,.365,.336,,,,,,,,.574,.801,,,,,,,,.070,425,,,,,,,,.242,868,,,,,,,,.192,.381,,,,,,,,10,0
SEA,Seattle SuperSonics,82,241.5,35.8,80.4,.446,8.8,23.6,.373,27.0,56.8,.476,16.6,21.7,.765,11.1,28.3,39.3,21.7,8.1,4.7,14.5,21.8,97.1,Seattle SuperSonics,82,19805,2939,6590,.446,723,1936,.373,2216,4654,.476,1363,1782,.765,907,2318,3225,1782,661,387,1188,1784,7964,Seattle SuperSonics,82,19805,39.6,88.8,.446,9.7,26.1,.373,29.9,62.7,.476,18.4,24.0,.765,12.2,31.2,43.5,24.0,8.9,5.2,16.0,24.0,107.3,Seattle SuperSonics,26.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,.270,.294,.540,,,,.501,13.9,27.2,.207,,,,.487,13.9,68.5,.237,,,,KeyArena at Seattle Center,"625,474","15,154",Seattle SuperSonics,82,19805,.446,13.5,,,,,,,,.706,.245,.158,.121,.182,.294,,,,,,,,.476,.655,.377,.389,.380,.373,,,,,,,,.519,.876,,,,,,,,.052,305,,,,,,,,.179,698,,,,,,,,.272,.408,,,,,,,,19,0
MEM,Memphis Grizzlies*,82,242.4,36.1,81.2,.445,5.5,16.0,.340,30.7,65.2,.471,19.0,26.1,.727,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,96.7,Memphis Grizzlies*,82,19880,2963,6657,.445,447,1314,.340,2516,5343,.471,1557,2143,.727,1047,2381,3428,1915,795,565,1226,1903,7930,Memphis Grizzlies*,82,19880,39.2,88.0,.445,5.9,17.4,.340,33.2,70.6,.471,20.6,28.3,.727,13.8,31.5,45.3,25.3,10.5,7.5,16.2,25.1,104.8,Memphis Grizzlies*,26.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,+2.6,91.4,.322,.197,.522,,,,.479,13.9,29.5,.234,,,,.465,15.7,68.4,.251,,,,Pyramid Arena,"622,723","15,188",Memphis Grizzlies*,82,19880,.445,11.1,,,,,,,,.803,.342,.170,.101,.190,.197,,,,,,,,.471,.596,.393,.346,.381,.340,,,,,,,,.609,.857,,,,,,,,.065,384,,,,,,,,.252,899,,,,,,,,.277,.330,,,,,,,,20,2
BOS,Boston Celtics*,82,240.3,34.7,78.2,.443,6.7,19.5,.346,27.9,58.7,.475,19.2,25.5,.750,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,95.3,Boston Celtics*,82,19705,2843,6415,.443,553,1599,.346,2290,4816,.475,1572,2095,.750,851,2440,3291,1683,770,331,1332,1837,7811,Boston Celtics*,82,19705,37.2,83.9,.443,7.2,20.9,.346,29.9,63.0,.475,20.5,27.4,.750,11.1,31.9,43.0,22.0,10.1,4.3,17.4,24.0,102.1,Boston Celtics*,26.4,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,.327,.249,.532,,,,.486,15.4,25.2,.245,,,,.479,15.7,69.5,.240,,,,FleetCenter,"664,248","16,201",Boston Celtics*,82,19705,.443,13.0,,,,,,,,.751,.285,.126,.118,.222,.249,,,,,,,,.475,.608,.350,.394,.420,.346,,,,,,,,.524,.875,,,,,,,,.048,284,,,,,,,,.227,764,,,,,,,,.259,.394,,,,,,,,10,0
LAC,Los Angeles Clippers,82,241.5,34.4,80.2,.428,4.0,12.5,.321,30.3,67.7,.448,22.0,28.1,.785,14.0,29.5,43.5,20.2,7.2,4.6,16.4,22.1,94.8,Los Angeles Clippers,82,19805,2817,6579,.428,329,1024,.321,2488,5555,.448,1808,2302,.785,1149,2416,3565,1653,594,376,1344,1816,7771,Los Angeles Clippers,82,19805,37.5,87.7,.428,4.4,13.6,.321,33.1,74.0,.448,24.1,30.7,.785,15.3,32.2,47.5,22.0,7.9,5.0,17.9,24.2,103.5,Los Angeles Clippers,24.3,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,.350,.156,.512,,,,.453,15.0,32.8,.275,,,,.494,12.9,70.0,.231,,,,STAPLES Center,"665,396","16,143",Los Angeles Clippers,82,19805,.428,11.0,,,,,,,,.844,.341,.155,.130,.218,.156,,,,,,,,.448,.574,.398,.341,.351,.321,,,,,,,,.550,.866,,,,,,,,.046,283,,,,,,,,.263,879,,,,,,,,.135,.312,,,,,,,,11,0
MIN,Minnesota Timberwolves*,82,240.9,37.0,80.1,.462,4.0,10.9,.363,33.0,69.2,.477,16.6,21.3,.781,10.7,32.3,42.9,23.0,6.8,5.6,12.7,21.1,94.5,Minnesota Timberwolves*,82,19755,3033,6571,.462,326,897,.363,2707,5674,.477,1361,1743,.781,875,2645,3520,1890,561,462,1043,1731,7753,Minnesota Timberwolves*,82,19755,41.4,89.7,.462,4.5,12.2,.363,37.0,77.5,.477,18.6,23.8,.781,11.9,36.1,48.1,25.8,7.7,6.3,14.2,23.6,105.9,Minnesota Timberwolves*,29.7,58,24,57,25,5.49,0.37,5.86,105.9,99.7,+6.2,89.0,.265,.137,.528,,,,.486,12.4,26.7,.207,,,,.444,12.9,72.5,.215,,,,Target Center,"723,071","17,636",Minnesota Timberwolves*,82,19755,.462,13.0,,,,,,,,.863,.206,.147,.210,.301,.137,,,,,,,,.477,.620,.440,.431,.429,.363,,,,,,,,.591,.890,,,,,,,,.030,191,,,,,,,,.153,564,,,,,,,,.259,.397,,,,,,,,13,0
