Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
POR,Portland Trail Blazers*,82,241.5,44.5,88.4,.504,1.2,4.1,.289,43.3,84.3,.514,27.7,35.7,.775,14.4,29.4,43.8,28.8,9.4,4.7,18.9,25.4,117.9,Portland Trail Blazers*,82,19805,3650,7249,.504,98,339,.289,3552,6910,.514,2269,2928,.775,1180,2413,3593,2359,767,387,1546,2082,9667,Portland Trail Blazers*,82,19805,42.1,83.6,.504,1.1,3.9,.289,41.0,79.7,.514,26.2,33.8,.775,13.6,27.8,41.5,27.2,8.9,4.5,17.8,24.0,111.5,Portland Trail Blazers*,26.9,49,33,49,33,3.13,-0.57,2.57,111.5,108.6,+2.9,105.0,.404,.047,.566,,,,.510,15.3,34.1,.313,,,,.493,14.8,66.6,.265,,,,Memorial Coliseum,"519,306","12,666"
LAL,Los Angeles Lakers*,82,240.6,45.6,88.4,.516,2.0,5.5,.367,43.6,82.9,.526,24.5,31.1,.789,13.7,30.7,44.4,29.6,8.9,5.9,16.6,22.6,117.8,Los Angeles Lakers*,82,19730,3740,7245,.516,164,447,.367,3576,6798,.526,2012,2550,.789,1127,2515,3642,2428,728,482,1358,1853,9656,Los Angeles Lakers*,82,19730,44.8,86.8,.516,2.0,5.4,.367,42.8,81.4,.526,24.1,30.5,.789,13.5,30.1,43.6,29.1,8.7,5.8,16.3,22.2,115.6,Los Angeles Lakers*,27.8,65,17,62,20,9.30,-0.99,8.32,115.6,106.5,+9.1,101.6,.352,.062,.577,,,,.528,14.0,34.1,.278,,,,.476,13.8,66.3,.230,,,,The Forum,"681,207","16,615"
DAL,Dallas Mavericks*,82,242.4,43.8,89.9,.487,2.8,8.0,.354,41.0,82.0,.500,26.2,33.1,.791,14.9,30.4,45.3,24.6,8.4,5.2,14.7,22.8,116.7,Dallas Mavericks*,82,19880,3594,7373,.487,231,653,.354,3363,6720,.500,2148,2717,.791,1219,2494,3713,2017,688,424,1205,1873,9567,Dallas Mavericks*,82,19880,43.2,88.6,.487,2.8,7.8,.354,40.4,80.7,.500,25.8,32.6,.791,14.6,30.0,44.6,24.2,8.3,5.1,14.5,22.5,114.9,Dallas Mavericks*,26.4,55,27,56,26,6.30,-0.77,5.54,114.9,108.7,+6.2,100.5,.369,.089,.558,,,,.503,12.3,33.8,.291,,,,.486,13.5,66.5,.233,,,,Reunion Arena,"696,333","16,984"
DEN,Denver Nuggets*,82,241.2,45.7,97.0,.471,1.3,4.8,.271,44.4,92.2,.481,24.1,31.3,.769,15.8,28.9,44.7,28.3,9.2,5.1,14.8,26.6,116.7,Denver Nuggets*,82,19780,3744,7951,.471,106,391,.271,3638,7560,.481,1975,2568,.769,1294,2368,3662,2317,754,421,1216,2184,9569,Denver Nuggets*,82,19780,42.8,90.9,.471,1.2,4.5,.271,41.6,86.4,.481,22.6,29.3,.769,14.8,27.1,41.8,26.5,8.6,4.8,13.9,25.0,109.3,Denver Nuggets*,28.2,37,45,39,43,-0.87,-0.28,-1.14,109.3,110.2,-0.9,106.2,.323,.049,.527,,,,.478,11.8,32.2,.248,,,,.503,15.4,67.0,.307,,,,McNichols Sports Arena,"494,943","12,072"
SEA,Seattle SuperSonics*,82,242.1,43.8,90.9,.482,2.3,7.0,.335,41.5,83.9,.494,23.8,31.4,.758,16.7,29.2,46.0,26.6,8.6,5.5,18.4,27.1,113.7,Seattle SuperSonics*,82,19855,3593,7451,.482,191,571,.335,3402,6880,.494,1948,2571,.758,1373,2395,3768,2184,705,450,1509,2224,9325,Seattle SuperSonics*,82,19855,42.7,88.5,.482,2.3,6.8,.335,40.4,81.7,.494,23.1,30.5,.758,16.3,28.4,44.7,25.9,8.4,5.3,17.9,26.4,110.7,Seattle SuperSonics*,26.1,39,43,42,40,0.46,-0.39,0.08,110.7,110.3,+0.4,101.8,.345,.077,.543,,,,.495,15.0,37.6,.261,,,,.486,13.5,66.0,.296,,,,Seattle Center Coliseum,"356,352","8,692"
BOS,Boston Celtics*,82,241.5,44.5,86.0,.517,2.5,6.9,.366,41.9,79.1,.530,21.2,26.3,.808,11.4,31.5,42.9,29.5,6.8,6.4,15.9,20.9,112.6,Boston Celtics*,82,19805,3645,7051,.517,207,565,.366,3438,6486,.530,1740,2153,.808,933,2585,3518,2421,561,526,1300,1710,9237,Boston Celtics*,82,19805,44.8,86.6,.517,2.5,6.9,.366,42.2,79.7,.530,21.4,26.5,.808,11.5,31.8,43.2,29.7,6.9,6.5,16.0,21.0,113.5,Boston Celtics*,29.4,59,23,57,25,6.65,-0.08,6.57,113.5,106.8,+6.7,98.6,.305,.080,.577,,,,.532,14.0,29.0,.247,,,,.471,12.0,67.6,.217,,,,Boston Garden,"611,222","14,890"
GSW,Golden State Warriors*,82,242.7,43.3,90.4,.479,1.4,4.4,.319,41.9,86.0,.487,24.0,30.8,.780,14.5,28.7,43.2,25.4,8.7,3.9,16.5,26.1,112.0,Golden State Warriors*,82,19905,3551,7412,.479,116,364,.319,3435,7048,.487,1970,2526,.780,1193,2351,3544,2083,715,321,1354,2138,9188,Golden State Warriors*,82,19905,42.1,87.9,.479,1.4,4.3,.319,40.7,83.6,.487,23.4,29.9,.780,14.1,27.9,42.0,24.7,8.5,3.8,16.1,25.3,108.9,Golden State Warriors*,26.9,42,40,35,47,-2.34,-0.20,-2.54,108.9,111.2,-2.3,101.7,.341,.049,.539,,,,.487,13.7,32.5,.266,,,,.503,14.2,65.3,.272,,,,Oakland-Alameda County Coliseum Arena,"423,997","10,341"
DET,Detroit Pistons*,82,241.8,43.2,88.3,.490,0.5,2.1,.231,42.7,86.2,.496,24.3,31.7,.765,15.2,32.3,47.5,24.6,7.8,5.3,17.3,25.3,111.2,Detroit Pistons*,82,19830,3544,7237,.490,39,169,.231,3505,7068,.496,1991,2602,.765,1245,2649,3894,2021,643,436,1417,2078,9118,Detroit Pistons*,82,19830,42.4,86.7,.490,0.5,2.0,.231,42.0,84.7,.496,23.8,31.2,.765,14.9,31.7,46.6,24.2,7.7,5.2,17.0,24.9,109.2,Detroit Pistons*,26.8,52,30,50,32,3.44,0.07,3.51,109.2,105.8,+3.4,101.0,.360,.023,.544,,,,.492,14.5,34.7,.275,,,,.471,13.3,69.9,.267,,,,Pontiac Silverdome,"907,520","22,135"
PHO,Phoenix Suns,82,242.1,43.6,87.7,.497,0.7,3.1,.242,42.9,84.6,.506,23.2,30.5,.760,13.6,28.9,42.4,28.7,8.6,4.8,18.3,25.0,111.1,Phoenix Suns,82,19855,3575,7190,.497,61,252,.242,3514,6938,.506,1900,2499,.760,1113,2366,3479,2354,703,397,1498,2047,9111,Phoenix Suns,82,19855,42.4,85.2,.497,0.7,3.0,.242,41.6,82.2,.506,22.5,29.6,.760,13.2,28.0,41.2,27.9,8.3,4.7,17.8,24.3,108.0,Phoenix Suns,26.0,36,46,35,47,-2.44,-0.19,-2.63,108.0,110.3,-2.3,102.0,.348,.035,.550,,,,.501,15.3,32.1,.264,,,,.502,14.4,65.7,.265,,,,Arizona Veterans Memorial Coliseum,"458,347","11,179"
SAC,Sacramento Kings,82,241.2,43.0,90.4,.475,0.9,3.7,.251,42.0,86.7,.485,24.1,30.2,.796,15.6,29.8,45.4,26.6,6.3,4.8,17.1,24.5,110.9,Sacramento Kings,82,19780,3522,7413,.475,77,307,.251,3445,7106,.485,1974,2479,.796,1282,2441,3723,2185,513,397,1403,2007,9095,Sacramento Kings,82,19780,42.2,88.8,.475,0.9,3.7,.251,41.2,85.1,.485,23.6,29.7,.796,15.3,29.2,44.6,26.2,6.1,4.8,16.8,24.0,108.9,Sacramento Kings,26.3,29,53,33,49,-3.22,-0.12,-3.34,108.9,112.1,-3.2,101.3,.334,.041,.535,,,,.480,14.2,35.2,.266,,,,.498,12.4,67.8,.257,,,,ARCO Arena (I),"423,653","10,333"
