Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
DEN,Denver Nuggets*,82,241.5,48.0,97.4,.493,0.9,3.1,.302,47.0,94.2,.499,26.8,32.8,.818,13.8,29.8,43.6,30.3,8.7,4.3,16.4,27.8,123.7,Denver Nuggets*,82,19805,3935,7983,.493,77,255,.302,3858,7728,.499,2200,2690,.818,1133,2444,3577,2482,711,352,1344,2279,10147,Denver Nuggets*,82,19805,43.2,87.6,.493,0.8,2.8,.302,42.3,84.8,.499,24.1,29.5,.818,12.4,26.8,39.2,27.2,7.8,3.9,14.7,25.0,111.3,Denver Nuggets*,27.0,38,44,38,44,-1.10,-0.17,-1.27,111.3,112.3,-1.0,110.5,.337,.032,.553,,,,.498,12.8,29.3,.276,,,,.522,14.6,66.6,.277,,,,McNichols Sports Arena,"462,407","11,278"
SAS,San Antonio Spurs,82,243.7,47.7,94.2,.506,1.0,3.2,.300,46.7,91.0,.514,24.0,31.8,.755,15.0,30.8,45.8,28.8,8.4,6.0,17.6,26.2,120.3,San Antonio Spurs,82,19980,3909,7721,.506,79,263,.300,3830,7458,.514,1965,2604,.755,1230,2528,3758,2361,685,491,1447,2146,9862,San Antonio Spurs,82,19980,44.1,87.1,.506,0.9,3.0,.300,43.2,84.1,.514,22.2,29.4,.755,13.9,28.5,42.4,26.6,7.7,5.5,16.3,24.2,111.2,San Antonio Spurs,27.4,37,45,40,42,-0.27,-0.23,-0.50,111.2,111.4,-0.2,106.5,.337,.034,.556,,,,.511,14.0,33.4,.255,,,,.508,13.7,66.2,.233,,,,HemisFair Arena,"375,900","9,168"
DET,Detroit Pistons*,82,242.7,46.3,96.5,.480,0.4,1.7,.227,45.9,94.7,.485,24.1,31.1,.775,17.4,29.7,47.1,27.5,8.5,5.1,16.0,26.5,117.1,Detroit Pistons*,82,19905,3798,7910,.480,32,141,.227,3766,7769,.485,1974,2547,.775,1427,2434,3861,2256,697,417,1310,2177,9602,Detroit Pistons*,82,19905,44.1,91.9,.480,0.4,1.6,.227,43.7,90.2,.485,22.9,29.6,.775,16.6,28.3,44.8,26.2,8.1,4.8,15.2,25.3,111.5,Detroit Pistons*,25.4,49,33,50,32,3.59,-0.06,3.52,111.5,108.1,+3.4,103.8,.322,.018,.532,,,,.482,12.7,36.7,.250,,,,.500,14.8,67.7,.263,,,,Pontiac Silverdome,"652,865","15,924"
LAL,Los Angeles Lakers*,82,241.2,47.0,88.4,.532,0.7,2.8,.257,46.3,85.7,.540,20.9,27.7,.754,13.4,30.5,43.8,29.9,8.9,5.8,19.2,25.0,115.6,Los Angeles Lakers*,82,19780,3854,7250,.532,58,226,.257,3796,7024,.540,1712,2272,.754,1095,2499,3594,2455,726,478,1578,2054,9478,Los Angeles Lakers*,82,19780,45.1,84.8,.532,0.7,2.6,.257,44.4,82.2,.540,20.0,26.6,.754,12.8,29.2,42.1,28.7,8.5,5.6,18.5,24.0,110.9,Los Angeles Lakers*,27.5,54,28,50,32,3.76,-0.44,3.32,110.9,107.3,+3.6,103.7,.313,.031,.574,,,,.536,16.1,33.7,.236,,,,.487,14.3,66.6,.232,,,,The Forum,"622,401","15,181"
UTA,Utah Jazz*,82,241.2,44.0,88.3,.498,1.2,3.9,.319,42.7,84.5,.506,25.8,33.0,.781,13.4,30.8,44.1,27.2,8.5,7.4,18.4,24.1,115.0,Utah Jazz*,82,19780,3606,7242,.498,101,317,.319,3505,6925,.506,2115,2708,.781,1096,2522,3618,2230,695,604,1510,1978,9428,Utah Jazz*,82,19780,41.7,83.7,.498,1.2,3.7,.319,40.5,80.1,.506,24.5,31.3,.781,12.7,29.2,41.8,25.8,8.0,7.0,17.5,22.9,109.0,Utah Jazz*,26.9,45,37,44,38,1.13,-0.32,0.81,109.0,108.0,+1.0,104.9,.374,.044,.559,,,,.505,15.2,30.8,.292,,,,.479,13.9,63.4,.229,,,,Salt Palace,"400,065","10,347"
POR,Portland Trail Blazers*,82,241.5,44.3,87.7,.505,0.3,1.6,.194,44.0,86.1,.511,24.2,32.2,.754,15.3,26.8,42.0,25.4,9.9,4.8,18.1,26.0,113.1,Portland Trail Blazers*,82,19805,3632,7189,.505,25,129,.194,3607,7060,.511,1988,2637,.754,1251,2194,3445,2082,814,397,1483,2134,9277,Portland Trail Blazers*,82,19805,43.5,86.2,.505,0.3,1.5,.194,43.2,84.6,.511,23.8,31.6,.754,15.0,26.3,41.3,25.0,9.8,4.8,17.8,25.6,111.2,Portland Trail Blazers*,25.8,48,34,50,32,3.55,-0.42,3.13,111.2,107.7,+3.5,101.1,.367,.018,.556,,,,.507,15.1,36.4,.277,,,,.518,17.0,67.4,.259,,,,Memorial Coliseum,"518,306","12,642"
BOS,Boston Celtics*,82,243.4,44.1,88.2,.500,0.7,2.8,.240,43.4,85.4,.508,23.3,29.4,.792,14.1,31.0,45.1,25.9,8.2,5.2,17.3,23.8,112.1,Boston Celtics*,82,19955,3616,7235,.500,55,229,.240,3561,7006,.508,1907,2407,.792,1159,2538,3697,2122,673,430,1420,1949,9194,Boston Celtics*,82,19955,43.6,87.2,.500,0.7,2.8,.240,42.9,84.5,.508,23.0,29.0,.792,14.0,30.6,44.6,25.6,8.1,5.2,17.1,23.5,110.9,Boston Celtics*,28.0,62,20,57,25,6.56,-0.14,6.42,110.9,104.4,+6.5,99.7,.333,.032,.554,,,,.504,14.6,34.2,.264,,,,.475,13.8,69.7,.225,,,,Boston Garden,"606,857","14,890"
PHO,Phoenix Suns*,82,241.2,44.8,88.0,.509,0.9,3.5,.254,43.9,84.5,.520,20.4,26.9,.759,13.0,28.0,41.0,27.0,8.5,4.7,17.7,26.2,111.0,Phoenix Suns*,82,19780,3677,7220,.509,74,291,.254,3603,6929,.520,1673,2204,.759,1066,2298,3364,2214,693,388,1451,2147,9101,Phoenix Suns*,82,19780,44.0,86.4,.509,0.9,3.5,.254,43.1,82.9,.520,20.0,26.4,.759,12.8,27.5,40.2,26.5,8.3,4.6,17.4,25.7,108.9,Phoenix Suns*,27.2,41,41,43,39,0.89,-0.24,0.65,108.9,108.0,+0.9,101.4,.305,.040,.556,,,,.514,15.1,31.4,.232,,,,.501,15.3,68.3,.277,,,,Arizona Veterans Memorial Coliseum,"445,788","10,873"
SDC,San Diego Clippers,82,240.6,44.3,89.3,.496,0.3,1.6,.188,44.0,87.8,.502,21.8,29.6,.736,15.9,29.0,45.0,24.2,6.9,4.7,18.5,24.6,110.7,San Diego Clippers,82,19730,3634,7325,.496,24,128,.188,3610,7197,.502,1785,2424,.736,1307,2382,3689,1981,567,385,1515,2020,9077,San Diego Clippers,82,19730,43.7,88.1,.496,0.3,1.5,.188,43.4,86.6,.502,21.5,29.2,.736,15.7,28.7,44.4,23.8,6.8,4.6,18.2,24.3,109.2,San Diego Clippers,25.5,30,52,33,49,-3.26,0.04,-3.21,109.2,112.4,-3.2,101.1,.331,.017,.541,,,,.498,15.3,37.7,.244,,,,.513,12.9,68.2,.236,,,,San Diego Sports Arena,"218,534","5,330"
HOU,Houston Rockets,82,240.9,45.5,91.9,.495,0.4,1.9,.195,45.1,90.0,.501,19.3,26.1,.740,14.6,30.3,44.9,26.9,7.6,6.3,19.0,28.3,110.6,Houston Rockets,82,19755,3729,7533,.495,30,154,.195,3699,7379,.501,1583,2139,.740,1200,2483,3683,2204,621,515,1562,2317,9071,Houston Rockets,82,19755,43.3,87.4,.495,0.3,1.8,.195,42.9,85.6,.501,18.4,24.8,.740,13.9,28.8,42.7,25.6,7.2,6.0,18.1,26.9,105.3,Houston Rockets,26.8,29,53,33,49,-3.09,-0.04,-3.12,105.3,108.2,-2.9,104.7,.284,.020,.535,,,,.497,15.6,32.8,.210,,,,.486,14.1,67.5,.285,,,,The Summit,"425,755","10,384"
