Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
SAS,San Antonio Spurs*,82,240.9,47.0,94.4,.498,0.6,2.5,.252,46.4,91.9,.505,24.7,30.8,.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,San Antonio Spurs*,82,19755,3856,7738,.498,52,206,.252,3804,7532,.505,2024,2528,.801,1153,2515,3668,2326,771,333,1589,2103,9788,San Antonio Spurs*,82,19755,42.8,85.9,.498,0.6,2.3,.252,42.2,83.6,.505,22.5,28.1,.801,12.8,27.9,40.7,25.8,8.6,3.7,17.6,23.3,108.6,San Antonio Spurs*,26.9,41,41,40,42,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,.327,.027,.553,,,,.502,15.2,31.8,.262,,,,.506,14.4,66.8,.216,,,,HemisFair Arena,,998
LAL,Los Angeles Lakers*,82,242.4,47.5,89.9,.529,0.2,1.2,.200,47.3,88.6,.534,19.8,25.5,.775,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1,Los Angeles Lakers*,82,19880,3898,7368,.529,20,100,.200,3878,7268,.534,1622,2092,.775,1085,2653,3738,2413,774,546,1639,1784,9438,Los Angeles Lakers*,82,19880,45.2,85.5,.529,0.2,1.2,.200,45.0,84.3,.534,18.8,24.3,.775,12.6,30.8,43.4,28.0,9.0,6.3,19.0,20.7,109.5,Los Angeles Lakers*,26.2,60,22,55,27,5.90,-0.51,5.40,109.5,103.9,+5.6,104.1,.284,.014,.569,,,,.530,16.5,32.6,.220,,,,.475,14.0,66.9,.181,,,,The Forum,"582,882",427
CLE,Cleveland Cavaliers,82,243.0,46.5,98.1,.474,0.4,2.3,.193,46.0,95.8,.481,20.8,26.9,.772,15.9,29.0,45.0,25.7,9.3,4.2,16.7,23.6,114.1,Cleveland Cavaliers,82,19930,3811,8041,.474,36,187,.193,3775,7854,.481,1702,2205,.772,1307,2381,3688,2108,764,342,1370,1934,9360,Cleveland Cavaliers,82,19930,43.4,91.7,.474,0.4,2.1,.193,43.0,89.5,.481,19.4,25.1,.772,14.9,27.1,42.0,24.0,8.7,3.9,15.6,22.0,106.7,Cleveland Cavaliers,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,+0.3,105.6,.274,.023,.519,,,,.476,13.2,33.1,.212,,,,.505,16.3,65.9,.216,,,,Coliseum at Richfield,,"1,189"
NYK,New York Knicks,82,241.2,46.4,93.6,.496,0.5,2.3,.220,45.9,91.2,.503,20.7,27.7,.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114.0,New York Knicks,82,19780,3802,7672,.496,42,191,.220,3760,7481,.503,1698,2274,.747,1236,2303,3539,2265,881,457,1613,2168,9344,New York Knicks,82,19780,43.3,87.4,.496,0.5,2.2,.220,42.8,85.2,.503,19.3,25.9,.747,14.1,26.2,40.3,25.8,10.0,5.2,18.4,24.7,106.5,New York Knicks,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,.296,.025,.539,,,,.498,15.7,33.7,.221,,,,.498,16.4,64.0,.263,,,,Madison Square Garden (IV),,"1,432"
BOS,Boston Celtics*,82,242.4,44.1,90.1,.490,2.0,5.1,.384,42.1,84.9,.496,23.3,29.9,.779,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5,Boston Celtics*,82,19880,3617,7387,.490,162,422,.384,3455,6965,.496,1907,2449,.779,1227,2457,3684,2198,809,308,1539,1974,9303,Boston Celtics*,82,19880,42.6,86.9,.490,1.9,5.0,.384,40.6,81.9,.496,22.4,28.8,.779,14.4,28.9,43.3,25.9,9.5,3.6,18.1,23.2,109.4,Boston Celtics*,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,+7.5,102.6,.332,.057,.550,,,,.501,15.4,34.8,.258,,,,.475,16.5,67.8,.234,,,,Boston Garden,"596,349","14,490"
IND,Indiana Pacers,82,242.1,44.4,93.8,.473,1.1,3.8,.280,43.3,89.9,.481,21.4,28.5,.751,17.0,28.4,45.4,26.2,11.0,6.5,18.5,24.1,111.2,Indiana Pacers,82,19855,3639,7689,.473,88,314,.280,3551,7375,.481,1753,2333,.751,1398,2326,3724,2148,900,530,1517,1973,9119,Indiana Pacers,82,19855,42.1,89.0,.473,1.0,3.6,.280,41.1,85.3,.481,20.3,27.0,.751,16.2,26.9,43.1,24.9,10.4,6.1,17.6,22.8,105.5,Indiana Pacers,25.3,37,45,39,43,-0.70,0.16,-0.54,105.5,106.2,-0.7,104.4,.303,.041,.523,,,,.479,14.8,35.4,.228,,,,.493,17.0,62.5,.230,,,,Market Square Arena,,"1,237"
PHO,Phoenix Suns*,82,240.9,43.5,88.2,.493,0.8,3.4,.243,42.7,84.8,.504,23.2,30.1,.773,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1,Phoenix Suns*,82,19755,3570,7235,.493,68,280,.243,3502,6955,.504,1906,2466,.773,1071,2458,3529,2283,908,344,1629,1853,9114,Phoenix Suns*,82,19755,41.4,83.8,.493,0.8,3.2,.243,40.6,80.6,.504,22.1,28.6,.773,12.4,28.5,40.9,26.5,10.5,4.0,18.9,21.5,105.6,Phoenix Suns*,26.5,55,27,50,32,3.60,-0.35,3.25,105.6,102.2,+3.4,104.8,.341,.039,.548,,,,.498,16.4,30.4,.263,,,,.483,16.5,66.9,.213,,,,Arizona Veterans Memorial Coliseum,,"1,674"
HOU,Houston Rockets*,82,243.0,43.9,91.4,.480,1.3,4.6,.274,42.6,86.8,.491,21.7,28.4,.766,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8,Houston Rockets*,82,19930,3599,7496,.480,104,379,.274,3495,7117,.491,1782,2326,.766,1394,2217,3611,2149,782,373,1565,1927,9084,Houston Rockets*,82,19930,42.8,89.2,.480,1.2,4.5,.274,41.6,84.7,.491,21.2,27.7,.766,16.6,26.4,43.0,25.6,9.3,4.4,18.6,22.9,108.1,Houston Rockets*,27.3,41,41,41,41,0.17,0.10,0.27,108.1,108.0,+0.1,101.2,.310,.051,.533,,,,.487,15.5,37.6,.238,,,,.499,16.1,63.2,.230,,,,The Summit,,955
MIL,Milwaukee Bucks*,82,241.5,44.9,92.1,.488,0.6,1.9,.323,44.3,90.2,.491,19.6,25.6,.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,Milwaukee Bucks*,82,19805,3685,7553,.488,50,155,.323,3635,7398,.491,1605,2102,.764,1245,2396,3641,2277,778,510,1496,1937,9025,Milwaukee Bucks*,82,19805,43.6,89.3,.488,0.6,1.8,.323,43.0,87.5,.491,19.0,24.9,.764,14.7,28.3,43.1,26.9,9.2,6.0,17.7,22.9,106.8,Milwaukee Bucks*,25.3,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,+3.9,102.4,.278,.021,.532,,,,.491,15.0,35.2,.212,,,,.467,16.2,63.8,.229,,,,MECCA Arena,,820
PHI,Philadelphia 76ers*,82,242.1,43.0,87.3,.492,0.3,1.5,.216,42.6,85.7,.497,22.9,29.6,.772,14.5,32.1,46.6,27.1,9.7,8.0,20.8,22.7,109.1,Philadelphia 76ers*,82,19855,3523,7156,.492,27,125,.216,3496,7031,.497,1876,2431,.772,1187,2635,3822,2226,792,652,1708,1860,8949,Philadelphia 76ers*,82,19855,41.3,84.0,.492,0.3,1.5,.216,41.0,82.5,.497,22.0,28.5,.772,13.9,30.9,44.8,26.1,9.3,7.7,20.0,21.8,105.0,Philadelphia 76ers*,27.0,59,23,52,30,4.22,-0.18,4.04,105.0,101.0,+4.0,103.0,.340,.017,.544,,,,.494,17.2,33.5,.262,,,,.460,15.5,66.7,.217,,,,The Spectrum,,"1,331"
