Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
PHO,Phoenix Suns*,82,240.6,40.7,82.8,.492,8.9,21.6,.412,31.8,61.2,.520,19.9,25.8,.770,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9,110.2,Phoenix Suns*,82,19730,3339,6788,.492,730,1770,.412,2609,5018,.520,1631,2117,.770,910,2616,3526,1912,479,418,1210,1713,9039,Phoenix Suns*,82,19730,42.6,86.6,.492,9.3,22.6,.412,33.3,64.0,.520,20.8,27.0,.770,11.6,33.4,45.0,24.4,6.1,5.3,15.4,21.9,115.3,Phoenix Suns*,28.5,54,28,54,28,4.90,-0.23,4.67,115.3,110.2,+5.1,95.3,.312,.261,.585,,,,.546,13.6,27.6,.240,,,,.491,11.6,70.8,.224,,,,US Airways Center,"723,582","17,648",Phoenix Suns*,82,19730,.492,12.5,,,,,,,,.739,.312,.135,.106,.185,.261,,,,,,,,.520,.637,.462,.440,.409,.412,,,,,,,,.509,.801,,,,,,,,.064,380,,,,,,,,.230,918,,,,,,,,.258,.443,,,,,,,,13,1
GSW,Golden State Warriors,82,240.6,40.6,86.5,.469,7.7,20.6,.375,32.9,65.9,.499,19.9,25.4,.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8,Golden State Warriors,82,19730,3329,7094,.469,633,1687,.375,2696,5407,.499,1631,2085,.782,753,2397,3150,1839,761,340,1204,1886,8922,Golden State Warriors,82,19730,40.4,86.0,.469,7.7,20.4,.375,32.7,65.5,.499,19.8,25.3,.782,9.1,29.1,38.2,22.3,9.2,4.1,14.6,22.9,108.1,Golden State Warriors,25.1,26,56,32,50,-3.60,0.32,-3.28,108.1,111.7,-3.6,100.4,.294,.238,.557,,,,.514,13.1,20.9,.230,,,,.525,15.1,68.5,.260,,,,Oracle Arena,"739,120","18,027",Golden State Warriors,82,19730,.469,13.3,,,,,,,,.762,.298,.113,.095,.256,.238,,,,,,,,.499,.651,.367,.393,.419,.375,,,,,,,,.481,.858,,,,,,,,.039,262,,,,,,,,.246,1063,,,,,,,,.253,.433,,,,,,,,20,0
DEN,Denver Nuggets*,82,241.2,38.1,81.4,.468,6.6,18.5,.359,31.5,62.9,.500,23.6,30.6,.772,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5,106.5,Denver Nuggets*,82,19780,3124,6678,.468,544,1517,.359,2580,5161,.500,1937,2508,.772,889,2505,3394,1719,683,417,1136,1844,8729,Denver Nuggets*,82,19780,40.0,85.5,.468,7.0,19.4,.359,33.0,66.1,.500,24.8,32.1,.772,11.4,32.1,43.5,22.0,8.7,5.3,14.5,23.6,111.8,Denver Nuggets*,27.7,53,29,52,30,4.09,0.06,4.15,111.8,107.5,+4.3,94.8,.376,.227,.561,,,,.509,12.7,26.1,.290,,,,.495,13.8,72.4,.251,,,,Pepsi Center,"737,301","17,983",Denver Nuggets*,82,19780,.468,12.0,,,,,,,,.773,.351,.110,.094,.218,.227,,,,,,,,.500,.623,.388,.400,.401,.359,,,,,,,,.503,.772,,,,,,,,.066,407,,,,,,,,.265,998,,,,,,,,.214,.400,,,,,,,,16,0
UTA,Utah Jazz*,82,240.9,39.4,80.2,.491,5.4,14.7,.364,34.0,65.5,.519,20.2,27.2,.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2,Utah Jazz*,82,19755,3227,6575,.491,439,1207,.364,2788,5368,.519,1654,2233,.741,872,2588,3460,2187,675,400,1246,1859,8547,Utah Jazz*,82,19755,41.8,85.1,.491,5.7,15.6,.364,36.1,69.5,.519,21.4,28.9,.741,11.3,33.5,44.8,28.3,8.7,5.2,16.1,24.1,110.7,Utah Jazz*,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,+5.7,93.8,.340,.184,.565,,,,.524,14.2,26.8,.252,,,,.492,14.2,75.6,.269,,,,EnergySolutions Arena,"794,512","19,378",Utah Jazz*,82,19755,.491,10.9,,,,,,,,.816,.383,.121,.092,.220,.184,,,,,,,,.519,.637,.422,.409,.415,.364,,,,,,,,.652,.841,,,,,,,,.064,375,,,,,,,,.297,1161,,,,,,,,.205,.453,,,,,,,,9,0
TOR,Toronto Raptors,82,241.2,39.0,80.9,.482,6.3,17.0,.371,32.7,63.8,.512,19.7,25.8,.764,9.8,30.6,40.4,22.0,5.7,4.7,13.4,22.2,104.1,Toronto Raptors,82,19780,3199,6631,.482,518,1397,.371,2681,5234,.512,1618,2118,.764,806,2507,3313,1804,469,384,1100,1819,8534,Toronto Raptors,82,19780,41.7,86.5,.482,6.8,18.2,.371,35.0,68.2,.512,21.1,27.6,.764,10.5,32.7,43.2,23.5,6.1,5.0,14.3,23.7,111.3,Toronto Raptors,25.2,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,.319,.211,.564,,,,.521,12.7,24.7,.244,,,,.513,11.8,72.9,.247,,,,Air Canada Centre,"733,784","17,897",Toronto Raptors,82,19780,.482,12.6,,,,,,,,.789,.308,.133,.111,.238,.211,,,,,,,,.512,.640,.453,.429,.419,.371,,,,,,,,.510,.842,,,,,,,,.052,307,,,,,,,,.238,946,,,,,,,,.215,.443,,,,,,,,36,2
ORL,Orlando Magic*,82,240.6,36.6,78.0,.470,10.3,27.3,.375,26.4,50.6,.521,19.2,26.5,.724,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8,Orlando Magic*,82,19730,3005,6394,.470,841,2241,.375,2164,4153,.521,1575,2176,.724,810,2736,3546,1615,512,456,1155,1629,8426,Orlando Magic*,82,19730,39.7,84.5,.470,11.1,29.6,.375,28.6,54.9,.521,20.8,28.8,.724,10.7,36.2,46.9,21.3,6.8,6.0,15.3,21.5,111.4,Orlando Magic*,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,+8.1,92.0,.340,.350,.573,,,,.536,13.6,24.6,.246,,,,.477,12.2,77.4,.205,,,,Amway Arena,"715,901","17,461",Orlando Magic*,82,19730,.470,13.7,,,,,,,,.650,.301,.123,.082,.144,.350,,,,,,,,.521,.630,.468,.408,.405,.375,,,,,,,,.421,.837,,,,,,,,.057,345,,,,,,,,.224,818,,,,,,,,.282,.421,,,,,,,,23,0
MEM,Memphis Grizzlies,82,242.7,39.3,83.8,.469,4.2,12.4,.337,35.1,71.4,.492,19.7,26.9,.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5,Memphis Grizzlies,82,19905,3223,6875,.469,344,1020,.337,2879,5855,.492,1614,2202,.733,1070,2496,3566,1543,645,399,1248,1655,8404,Memphis Grizzlies,82,19905,41.5,88.6,.469,4.4,13.1,.337,37.1,75.5,.492,20.8,28.4,.733,13.8,32.2,46.0,19.9,8.3,5.1,16.1,21.3,108.3,Memphis Grizzlies,24.1,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,.320,.148,.536,,,,.494,13.7,31.3,.235,,,,.520,13.2,73.3,.205,,,,FedEx Forum,"552,914","13,486",Memphis Grizzlies,82,19905,.469,10.5,,,,,,,,.852,.370,.168,.110,.203,.148,,,,,,,,.492,.605,.432,.383,.395,.337,,,,,,,,.433,.860,,,,,,,,.048,301,,,,,,,,.297,1145,,,,,,,,.223,.419,,,,,,,,25,2
HOU,Houston Rockets,82,242.7,37.7,84.4,.447,7.9,22.4,.351,29.9,62.0,.481,19.0,24.7,.772,11.8,30.1,42.0,21.8,7.1,3.9,14.5,20.9,102.4,Houston Rockets,82,19905,3094,6923,.447,646,1838,.351,2448,5085,.481,1561,2022,.772,971,2471,3442,1790,583,318,1188,1712,8395,Houston Rockets,82,19905,39.7,88.8,.447,8.3,23.6,.351,31.4,65.2,.481,20.0,25.9,.772,12.4,31.7,44.1,22.9,7.5,4.1,15.2,21.9,107.6,Houston Rockets,26.0,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,.292,.265,.537,,,,.494,13.2,26.9,.225,,,,.511,13.6,73.8,.215,,,,Toyota Center,"677,658","16,528",Houston Rockets,82,19905,.447,12.0,,,,,,,,.735,.346,.134,.089,.165,.265,,,,,,,,.481,.572,.427,.382,.388,.351,,,,,,,,.507,.850,,,,,,,,.031,196,,,,,,,,.301,1125,,,,,,,,.240,.395,,,,,,,,15,0
CLE,Cleveland Cavaliers*,82,241.2,37.8,77.9,.485,7.3,19.3,.381,30.5,58.6,.520,19.1,26.6,.720,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1,Cleveland Cavaliers*,82,19780,3101,6391,.485,602,1582,.381,2499,4809,.520,1569,2180,.720,791,2692,3483,1835,564,425,1137,1591,8373,Cleveland Cavaliers*,82,19780,41.2,84.9,.485,8.0,21.0,.381,33.2,63.9,.520,20.8,29.0,.720,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,111.2,Cleveland Cavaliers*,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,+7.1,91.4,.341,.248,.570,,,,.532,13.4,25.1,.246,,,,.482,12.3,77.2,.218,,,,Quicken Loans Arena,"843,042","20,562",Cleveland Cavaliers*,82,19780,.485,12.5,,,,,,,,.752,.339,.119,.080,.214,.248,,,,,,,,.520,.667,.443,.369,.387,.381,,,,,,,,.551,.762,,,,,,,,.073,427,,,,,,,,.248,966,,,,,,,,.329,.412,,,,,,,,12,1
NYK,New York Knicks,82,242.4,38.1,83.9,.455,9.1,26.2,.346,29.1,57.7,.504,16.8,21.5,.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1,New York Knicks,82,19880,3127,6876,.455,743,2145,.346,2384,4731,.504,1376,1759,.782,836,2477,3313,1772,586,305,1148,1638,8373,New York Knicks,82,19880,40.2,88.3,.455,9.5,27.6,.346,30.6,60.8,.504,17.7,22.6,.782,10.7,31.8,42.6,22.8,7.5,3.9,14.7,21.0,107.6,New York Knicks,25.4,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,-4.0,94.0,.256,.312,.547,,,,.509,13.0,23.5,.200,,,,.526,13.3,72.1,.207,,,,Madison Square Garden (IV),"799,550","19,501",New York Knicks,82,19880,.455,13.4,,,,,,,,.688,.327,.087,.071,.203,.312,,,,,,,,.504,.614,.399,.414,.403,.346,,,,,,,,.479,.849,,,,,,,,.036,233,,,,,,,,.271,1070,,,,,,,,.204,.377,,,,,,,,13,1
