Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
SAC,Sacramento Kings*,82,241.8,43.6,88.2,.494,13.8,37.3,.369,29.8,50.9,.586,19.8,25.1,.790,9.5,32.9,42.5,27.3,7.0,3.4,13.5,19.7,120.7,Sacramento Kings*,82,19830,3573,7232,.494,1128,3060,.369,2445,4172,.586,1624,2055,.790,782,2699,3481,2237,574,275,1106,1616,9898,Sacramento Kings*,82,19830,43.1,87.3,.494,13.6,36.9,.369,29.5,50.3,.586,19.6,24.8,.790,9.4,32.6,42.0,27.0,6.9,3.3,13.3,19.5,119.4,Sacramento Kings*,25.4,48,34,47,35,2.65,-0.35,2.30,119.4,116.8,+2.6,100.3,.284,.423,.608,,,,.572,12.0,22.7,.225,,,,.563,12.6,77.2,.203,,,,Golden 1 Center,"715,491","17,451",Sacramento Kings*,82,19830,.494,14.1,,,,,,,,.577,.243,.199,.080,.050,.423,,,,,,,,.586,.741,.488,.438,.450,.369,,,,,,,,.495,.875,,,,,,,,.059,380,,,,,,,,.261,1166,,,,,,,,.226,.397,,,,,,,,9,0
GSW,Golden State Warriors*,82,241.8,43.1,90.2,.479,16.6,43.2,.385,26.5,47.0,.564,16.0,20.2,.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,Golden State Warriors*,82,19830,3538,7393,.479,1363,3540,.385,2175,3853,.564,1314,1655,.794,864,2793,3657,2446,588,323,1336,1757,9753,Golden State Warriors*,82,19830,42.1,88.0,.479,16.2,42.2,.385,25.9,45.9,.564,15.6,19.7,.794,10.3,33.3,43.6,29.1,7.0,3.8,15.9,20.9,116.1,Golden State Warriors*,27.3,44,38,45,37,1.80,-0.15,1.66,116.1,114.4,+1.7,101.6,.224,.479,.600,,,,.571,14.1,24.4,.178,,,,.540,12.3,76.0,.214,,,,Chase Center,"740,624","18,064",Golden State Warriors*,82,19830,.479,16.0,,,,,,,,.521,.177,.210,.069,.065,.479,,,,,,,,.564,.710,.540,.407,.413,.385,,,,,,,,.606,.828,,,,,,,,.056,374,,,,,,,,.273,1213,,,,,,,,.199,.395,,,,,,,,23,1
ATL,Atlanta Hawks*,82,242.1,44.6,92.4,.483,10.8,30.5,.352,33.9,61.8,.548,18.5,22.6,.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4,Atlanta Hawks*,82,19855,3658,7574,.483,882,2505,.352,2776,5069,.548,1513,1850,.818,920,2719,3639,2049,580,401,1060,1541,9711,Atlanta Hawks*,82,19855,43.9,90.9,.483,10.6,30.1,.352,33.3,60.9,.548,18.2,22.2,.818,11.0,32.6,43.7,24.6,7.0,4.8,12.7,18.5,116.6,Atlanta Hawks*,24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,+0.3,100.7,.244,.331,.579,,,,.541,11.2,25.1,.200,,,,.552,12.4,75.8,.206,,,,State Farm Arena,"719,787","17,556",Atlanta Hawks*,82,19855,.483,13.2,,,,,,,,.669,.250,.186,.133,.091,.331,,,,,,,,.548,.696,.440,.486,.439,.352,,,,,,,,.488,.755,,,,,,,,.064,450,,,,,,,,.242,1022,,,,,,,,.262,.364,,,,,,,,8,0
BOS,Boston Celtics*,82,243.7,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,Boston Celtics*,82,19980,3460,7278,.475,1315,3492,.377,2145,3786,.567,1436,1769,.812,796,2921,3717,2186,521,430,1095,1542,9671,Boston Celtics*,82,19980,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118.0,Boston Celtics*,27.4,57,25,57,25,6.52,-0.15,6.38,118.0,111.5,+6.5,98.5,.243,.480,.600,,,,.566,12.0,22.1,.197,,,,.528,11.3,78.5,.180,,,,TD Garden,"785,396","19,156",Boston Celtics*,82,19980,.475,15.3,,,,,,,,.520,.210,.192,.063,.048,.480,,,,,,,,.567,.732,.466,.463,.390,.377,,,,,,,,.509,.814,,,,,,,,.051,335,,,,,,,,.272,1166,,,,,,,,.223,.403,,,,,,,,12,0
OKC,Oklahoma City Thunder,82,242.1,43.1,92.6,.465,12.1,34.1,.356,31.0,58.5,.530,19.2,23.7,.809,11.4,32.3,43.6,24.4,8.2,4.2,13.0,21.0,117.5,Oklahoma City Thunder,82,19855,3533,7590,.465,995,2797,.356,2538,4793,.530,1572,1944,.809,934,2645,3579,2002,676,341,1069,1722,9633,Oklahoma City Thunder,82,19855,42.3,90.8,.465,11.9,33.5,.356,30.4,57.3,.530,18.8,23.3,.809,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,115.2,Oklahoma City Thunder,22.8,40,42,44,38,1.09,-0.12,0.96,115.2,114.2,+1.0,101.1,.256,.369,.570,,,,.531,11.2,24.7,.207,,,,.547,14.4,72.9,.222,,,,Paycom Center,"636,903","15,534",Oklahoma City Thunder,82,19855,.465,13.1,,,,,,,,.631,.276,.217,.096,.043,.369,,,,,,,,.530,.658,.413,.469,.424,.356,,,,,,,,.444,.879,,,,,,,,.047,320,,,,,,,,.325,1349,,,,,,,,.203,.400,,,,,,,,12,0
LAL,Los Angeles Lakers*,82,242.4,42.9,89.0,.482,10.8,31.2,.346,32.1,57.8,.555,20.6,26.6,.775,10.0,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,Los Angeles Lakers*,82,19880,3516,7298,.482,885,2558,.346,2631,4740,.555,1691,2182,.775,818,2930,3748,2072,526,378,1154,1466,9608,Los Angeles Lakers*,82,19880,41.9,87.0,.482,10.5,30.5,.346,31.4,56.5,.555,20.2,26.0,.775,9.7,34.9,44.7,24.7,6.3,4.5,13.8,17.5,114.5,Los Angeles Lakers*,27.9,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,+0.6,101.3,.299,.351,.582,,,,.542,12.3,22.8,.232,,,,.535,10.9,76.3,.171,,,,Crypto.com Arena,"763,168","18,614",Los Angeles Lakers*,82,19880,.482,13.2,,,,,,,,.649,.261,.214,.095,.079,.351,,,,,,,,.555,.728,.460,.425,.397,.346,,,,,,,,.502,.849,,,,,,,,.065,429,,,,,,,,.305,1315,,,,,,,,.238,.369,,,,,,,,8,0
UTA,Utah Jazz,82,241.5,42.5,89.8,.473,13.3,37.8,.353,29.2,52.0,.560,18.7,23.8,.786,11.8,34.1,45.9,26.0,6.1,5.2,15.4,20.5,117.1,Utah Jazz,82,19805,3485,7365,.473,1094,3099,.353,2391,4266,.560,1536,1955,.786,968,2794,3762,2129,500,429,1259,1679,9600,Utah Jazz,82,19805,42.0,88.8,.473,13.2,37.4,.353,28.8,51.4,.560,18.5,23.6,.786,11.7,33.7,45.4,25.7,6.0,5.2,15.2,20.2,115.8,Utah Jazz,26.5,37,45,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,.265,.421,.584,,,,.547,13.3,26.8,.209,,,,.541,10.9,75.2,.205,,,,Vivint Arena,"728,240","17,762",Utah Jazz,82,19805,.473,14.2,,,,,,,,.579,.204,.266,.073,.036,.421,,,,,,,,.560,.708,.497,.438,.439,.353,,,,,,,,.500,.854,,,,,,,,.071,460,,,,,,,,.274,1144,,,,,,,,.220,.413,,,,,,,,16,0
MEM,Memphis Grizzlies*,82,241.2,43.7,92.1,.475,12.0,34.2,.351,31.7,57.9,.548,17.5,23.8,.733,12.0,34.6,46.6,26.0,8.3,5.8,13.6,20.0,116.9,Memphis Grizzlies*,82,19780,3585,7551,.475,985,2807,.351,2600,4744,.548,1432,1954,.733,988,2835,3823,2135,680,473,1116,1643,9587,Memphis Grizzlies*,82,19780,43.0,90.6,.475,11.8,33.7,.351,31.2,56.9,.548,17.2,23.5,.733,11.9,34.0,45.9,25.6,8.2,5.7,13.4,19.7,115.1,Memphis Grizzlies*,24.4,51,31,51,31,3.94,-0.34,3.60,115.1,111.2,+3.9,101.1,.259,.372,.570,,,,.540,11.7,26.5,.190,,,,.526,13.1,75.9,.206,,,,FedEx Forum,"707,836","17,264",Memphis Grizzlies*,82,19780,.475,13.0,,,,,,,,.628,.273,.224,.099,.033,.372,,,,,,,,.548,.688,.446,.447,.386,.351,,,,,,,,.504,.837,,,,,,,,.058,387,,,,,,,,.286,1250,,,,,,,,.245,.376,,,,,,,,15,1
MIL,Milwaukee Bucks*,82,241.8,42.7,90.4,.473,14.8,40.3,.368,27.9,50.1,.557,16.6,22.4,.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9,Milwaukee Bucks*,82,19830,3504,7411,.473,1217,3306,.368,2287,4105,.557,1364,1837,.743,914,3074,3988,2115,521,403,1199,1481,9589,Milwaukee Bucks*,82,19830,42.2,89.2,.473,14.7,39.8,.368,27.5,49.4,.557,16.4,22.1,.743,11.0,37.0,48.0,25.5,6.3,4.9,14.4,17.8,115.4,Milwaukee Bucks*,29.8,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,+3.5,100.5,.248,.446,.583,,,,.555,12.7,25.0,.184,,,,.520,10.4,77.8,.175,,,,Fiserv Forum,"718,786","17,531",Milwaukee Bucks*,82,19830,.473,15.3,,,,,,,,.554,.236,.156,.091,.071,.446,,,,,,,,.557,.724,.443,.429,.417,.368,,,,,,,,.489,.819,,,,,,,,.052,351,,,,,,,,.250,1103,,,,,,,,.230,.379,,,,,,,,11,0
IND,Indiana Pacers,82,240.9,42.0,89.6,.469,13.6,37.0,.367,28.4,52.6,.540,18.7,23.7,.790,10.1,31.4,41.5,27.0,7.7,5.8,14.9,21.2,116.3,Indiana Pacers,82,19755,3444,7345,.469,1112,3030,.367,2332,4315,.540,1535,1944,.790,832,2575,3407,2213,631,478,1225,1741,9535,Indiana Pacers,82,19755,41.4,88.3,.469,13.4,36.4,.367,28.0,51.8,.540,18.4,23.4,.790,10.0,30.9,40.9,26.6,7.6,5.7,14.7,20.9,114.6,Indiana Pacers,24.5,35,47,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,.265,.413,.581,,,,.545,13.0,23.4,.209,,,,.554,13.0,72.2,.229,,,,Gainbridge Fieldhouse,"641,562","15,648",Indiana Pacers,82,19755,.469,13.9,,,,,,,,.587,.266,.189,.080,.045,.413,,,,,,,,.540,.679,.425,.414,.402,.367,,,,,,,,.547,.817,,,,,,,,.048,323,,,,,,,,.306,1246,,,,,,,,.224,.386,,,,,,,,17,2
