Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
GSW,Golden State Warriors,82,241.2,41.5,90.3,.459,9.3,26.6,.348,32.2,63.7,.506,18.8,24.9,.752,12.7,30.4,43.2,22.4,9.1,4.6,13.2,22.9,111.0,Golden State Warriors,82,19780,3403,7406,.459,761,2185,.348,2642,5221,.506,1538,2044,.752,1045,2496,3541,1833,744,377,1082,1875,9105,Golden State Warriors,82,19780,41.8,90.9,.459,9.3,26.8,.348,32.4,64.1,.506,18.9,25.1,.752,12.8,30.6,43.5,22.5,9.1,4.6,13.3,23.0,111.8,Golden State Warriors,25.5,48,34,47,35,2.21,0.17,2.38,111.8,109.5,+2.3,98.8,.276,.295,.548,,,,.511,11.5,27.2,.208,,,,.509,14.7,70.3,.258,,,,Oracle Arena,"804,864","19,631",Golden State Warriors,82,19780,.459,12.7,,,,,,,,.705,.345,.121,.068,.171,.295,,,,,,,,.506,.634,.378,.378,.390,.348,,,,,,,,.459,.815,,,,,,,,.047,319,,,,,,,,.281,1236,,,,,,,,.245,.390,,,,,,,,21,0
DEN,Denver Nuggets*,82,242.1,40.3,85.8,.470,6.9,19.6,.355,33.4,66.3,.504,23.1,30.7,.751,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,110.7,Denver Nuggets*,82,19855,3307,7038,.470,569,1605,.355,2738,5433,.504,1891,2519,.751,918,2698,3616,2024,752,551,1203,1731,9074,Denver Nuggets*,82,19855,40.1,85.3,.470,6.9,19.4,.355,33.2,65.8,.504,22.9,30.5,.751,11.1,32.7,43.8,24.5,9.1,6.7,14.6,21.0,110.0,Denver Nuggets*,28.5,50,32,51,31,3.71,0.03,3.74,110.0,106.3,+3.7,99.7,.358,.228,.557,,,,.510,12.9,25.5,.269,,,,.499,14.1,72.1,.203,,,,Pepsi Center,"711,962","17,365",Denver Nuggets*,82,19855,.470,11.9,,,,,,,,.772,.362,.102,.100,.208,.228,,,,,,,,.504,.622,.400,.392,.404,.355,,,,,,,,.551,.907,,,,,,,,.076,488,,,,,,,,.259,1023,,,,,,,,.241,.403,,,,,,,,32,0
PHO,Phoenix Suns*,82,241.2,41.4,82.7,.500,8.5,21.5,.393,32.9,61.2,.538,18.9,24.1,.783,8.8,32.7,41.5,26.7,6.5,6.3,14.4,19.9,110.1,Phoenix Suns*,82,19780,3392,6782,.500,694,1764,.393,2698,5018,.538,1548,1977,.783,720,2683,3403,2188,532,518,1184,1633,9026,Phoenix Suns*,82,19780,42.6,85.1,.500,8.7,22.1,.393,33.9,63.0,.538,19.4,24.8,.783,9.0,33.7,42.7,27.5,6.7,6.5,14.9,20.5,113.3,Phoenix Suns*,29.3,55,27,54,28,5.05,0.09,5.14,113.3,108.1,+5.2,96.7,.292,.260,.590,,,,.551,13.4,22.4,.228,,,,.488,11.8,70.9,.191,,,,US Airways Center,"755,302","18,422",Phoenix Suns*,82,19780,.500,12.7,,,,,,,,.740,.310,.116,.102,.211,.260,,,,,,,,.538,.671,.440,.439,.444,.393,,,,,,,,.600,.818,,,,,,,,.066,422,,,,,,,,.233,961,,,,,,,,.322,.401,,,,,,,,5,0
LAL,Los Angeles Lakers*,82,241.2,39.6,83.1,.476,8.1,21.4,.378,31.5,61.8,.510,21.3,27.7,.769,11.0,33.2,44.1,24.4,8.0,5.3,14.1,20.6,108.6,Los Angeles Lakers*,82,19780,3248,6818,.476,662,1751,.378,2586,5067,.510,1746,2270,.769,898,2722,3620,2003,654,438,1156,1691,8904,Los Angeles Lakers*,82,19780,41.2,86.5,.476,8.4,22.2,.378,32.8,64.3,.510,22.2,28.8,.769,11.4,34.6,45.9,25.4,8.3,5.6,14.7,21.5,113.0,Los Angeles Lakers*,26.7,57,25,59,23,7.26,0.09,7.34,113.0,105.5,+7.5,95.6,.333,.257,.570,,,,.525,12.9,26.3,.256,,,,.485,12.9,73.4,.214,,,,STAPLES Center,"778,877","18,997",Los Angeles Lakers*,82,19780,.476,12.6,,,,,,,,.743,.328,.109,.093,.213,.257,,,,,,,,.510,.632,.427,.389,.417,.378,,,,,,,,.554,.863,,,,,,,,.069,439,,,,,,,,.248,953,,,,,,,,.280,.422,,,,,,,,13,0
UTA,Utah Jazz*,82,240.3,40.0,80.4,.497,5.0,13.4,.372,35.0,67.0,.522,21.3,28.0,.759,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24.0,106.2,Utah Jazz*,82,19705,3279,6592,.497,407,1095,.372,2872,5497,.522,1745,2298,.759,942,2410,3352,2165,717,355,1200,1970,8710,Utah Jazz*,82,19705,42.9,86.1,.497,5.3,14.3,.372,37.5,71.8,.522,22.8,30.0,.759,12.3,31.5,43.8,28.3,9.4,4.6,15.7,25.7,113.8,Utah Jazz*,25.3,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,+7.3,93.2,.349,.166,.573,,,,.528,13.6,29.5,.265,,,,.501,15.0,74.1,.294,,,,EnergySolutions Arena,"816,211","19,908",Utah Jazz*,82,19705,.497,11.2,,,,,,,,.834,.375,.099,.100,.260,.166,,,,,,,,.522,.641,.425,.416,.429,.372,,,,,,,,.629,.882,,,,,,,,.057,341,,,,,,,,.298,1167,,,,,,,,.195,.404,,,,,,,,19,0
ORL,Orlando Magic*,82,241.2,37.3,78.6,.474,9.8,25.3,.386,27.5,53.3,.516,20.1,27.9,.721,9.4,32.6,42.0,20.8,6.3,4.1,14.3,20.6,104.5,Orlando Magic*,82,19780,3058,6446,.474,801,2074,.386,2257,4372,.516,1650,2288,.721,768,2677,3445,1706,520,333,1173,1688,8567,Orlando Magic*,82,19780,39.7,83.8,.474,10.4,27.0,.386,29.3,56.8,.516,21.4,29.7,.721,10.0,34.8,44.8,22.2,6.8,4.3,15.2,21.9,111.3,Orlando Magic*,26.7,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,+5.8,93.4,.355,.322,.575,,,,.537,13.6,23.4,.256,,,,.484,12.3,74.8,.217,,,,Amway Arena,"709,346","17,301",Orlando Magic*,82,19780,.474,12.8,,,,,,,,.678,.325,.126,.096,.132,.322,,,,,,,,.516,.635,.414,.405,.401,.386,,,,,,,,.446,.873,,,,,,,,.071,423,,,,,,,,.235,858,,,,,,,,.334,.413,,,,,,,,18,0
IND,Indiana Pacers,82,240.9,37.8,85.3,.444,9.2,24.6,.374,28.6,60.6,.472,19.1,24.9,.768,11.0,32.1,43.1,22.7,7.6,5.0,15.1,23.4,104.0,Indiana Pacers,82,19755,3102,6993,.444,755,2021,.374,2347,4972,.472,1568,2042,.768,904,2633,3537,1864,623,412,1236,1921,8527,Indiana Pacers,82,19755,38.6,87.0,.444,9.4,25.1,.374,29.2,61.8,.472,19.5,25.4,.768,11.2,32.7,44.0,23.2,7.7,5.1,15.4,23.9,106.0,Indiana Pacers,26.7,36,46,37,45,-1.40,-0.46,-1.87,106.0,107.5,-1.5,97.7,.292,.289,.540,,,,.498,13.5,24.4,.224,,,,.498,14.1,73.9,.271,,,,Conseco Fieldhouse,"501,092","12,222",Indiana Pacers,82,19755,.444,14.0,,,,,,,,.711,.246,.138,.111,.216,.289,,,,,,,,.472,.616,.423,.380,.386,.374,,,,,,,,.496,.927,,,,,,,,.030,193,,,,,,,,.223,921,,,,,,,,.188,.398,,,,,,,,10,0
SAC,Sacramento Kings,82,241.8,37.1,80.0,.464,6.2,16.7,.373,30.9,63.3,.488,22.1,27.7,.798,10.1,30.0,40.1,19.1,7.9,4.1,16.1,22.4,102.5,Sacramento Kings,82,19830,3043,6558,.464,510,1367,.373,2533,5191,.488,1812,2272,.798,829,2456,3285,1567,651,334,1317,1839,8408,Sacramento Kings,82,19830,38.9,83.8,.464,6.5,17.5,.373,32.4,66.4,.488,23.2,29.0,.798,10.6,31.4,42.0,20.0,8.3,4.3,16.8,23.5,107.5,Sacramento Kings,27.3,38,44,35,47,-2.26,0.40,-1.86,107.5,109.9,-2.4,94.7,.346,.208,.556,,,,.503,14.8,25.2,.276,,,,.510,13.9,71.7,.256,,,,ARCO Arena (II),"580,181","14,151",Sacramento Kings,82,19830,.464,12.0,,,,,,,,.792,.330,.124,.098,.239,.208,,,,,,,,.488,.599,.391,.397,.423,.373,,,,,,,,.451,.833,,,,,,,,.044,273,,,,,,,,.270,991,,,,,,,,.267,.389,,,,,,,,8,0
NOH,New Orleans Hornets*,82,241.5,38.6,82.9,.466,7.7,19.8,.389,30.9,63.1,.490,16.0,20.8,.769,11.4,30.4,41.8,21.8,7.8,3.9,11.9,18.7,100.9,New Orleans Hornets*,82,19805,3164,6796,.466,630,1621,.389,2534,5175,.490,1312,1707,.769,937,2494,3431,1785,637,321,974,1531,8270,New Orleans Hornets*,82,19805,42.7,91.6,.466,8.5,21.9,.389,34.2,69.8,.490,17.7,23.0,.769,12.6,33.6,46.3,24.1,8.6,4.3,13.1,20.6,111.5,New Orleans Hornets*,27.1,56,26,56,26,5.28,0.18,5.46,111.5,105.7,+5.8,89.9,.251,.239,.548,,,,.512,11.4,27.0,.193,,,,.501,13.5,75.4,.184,,,,New Orleans Arena,"581,432","14,181",New Orleans Hornets*,82,19805,.466,12.8,,,,,,,,.761,.284,.137,.113,.227,.239,,,,,,,,.490,.617,.427,.400,.413,.389,,,,,,,,.484,.887,,,,,,,,.057,361,,,,,,,,.204,759,,,,,,,,.289,.439,,,,,,,,7,1
MEM,Memphis Grizzlies,82,241.5,37.3,82.2,.454,7.6,21.7,.349,29.8,60.5,.492,18.5,25.6,.723,10.3,31.3,41.6,19.2,6.1,4.7,15.3,19.4,100.7,Memphis Grizzlies,82,19805,3060,6737,.454,620,1779,.349,2440,4958,.492,1517,2097,.723,848,2567,3415,1574,503,386,1251,1592,8257,Memphis Grizzlies,82,19805,38.9,85.7,.454,7.9,22.6,.349,31.0,63.0,.492,19.3,26.7,.723,10.8,32.6,43.4,20.0,6.4,4.9,15.9,20.2,105.0,Memphis Grizzlies,24.5,22,60,25,57,-6.21,0.45,-5.76,105.0,111.4,-6.4,95.3,.311,.264,.539,,,,.500,14.0,23.8,.225,,,,.521,12.2,73.4,.196,,,,FedEx Forum,"523,578","12,770",Memphis Grizzlies,82,19805,.454,12.4,,,,,,,,.736,.324,.142,.093,.178,.264,,,,,,,,.492,.610,.424,.362,.399,.349,,,,,,,,.420,.887,,,,,,,,.054,336,,,,,,,,.252,938,,,,,,,,.197,.389,,,,,,,,29,0
