playerId,"Player Per Game, Player","Player Per Game, Age","Player Per Game, Team","Player Per Game, Pos","Player Per Game, G","Player Per Game, GS","Player Per Game, MP","Player Per Game, FG","Player Per Game, FGA","Player Per Game, FG%","Player Per Game, 3P","Player Per Game, 3PA","Player Per Game, 3P%","Player Per Game, 2P","Player Per Game, 2PA","Player Per Game, 2P%","Player Per Game, eFG%","Player Per Game, FT","Player Per Game, FTA","Player Per Game, FT%","Player Per Game, ORB","Player Per Game, DRB","Player Per Game, TRB","Player Per Game, AST","Player Per Game, STL","Player Per Game, BLK","Player Per Game, TOV","Player Per Game, PF","Player Per Game, PTS","Player Per Game, Awards","Player Totals, Player","Player Totals, Age","Player Totals, Team","Player Totals, Pos","Player Totals, G","Player Totals, GS","Player Totals, MP","Player Totals, FG","Player Totals, FGA","Player Totals, FG%","Player Totals, 3P","Player Totals, 3PA","Player Totals, 3P%","Player Totals, 2P","Player Totals, 2PA","Player Totals, 2P%","Player Totals, eFG%","Player Totals, FT","Player Totals, FTA","Player Totals, FT%","Player Totals, ORB","Player Totals, DRB","Player Totals, TRB","Player Totals, AST","Player Totals, STL","Player Totals, BLK","Player Totals, TOV","Player Totals, PF","Player Totals, PTS","Player Totals, Trp-Dbl","Player Totals, Awards","Player Per 100 Poss, Player","Player Per 100 Poss, Age","Player Per 100 Poss, Team","Player Per 100 Poss, Pos","Player Per 100 Poss, G","Player Per 100 Poss, GS","Player Per 100 Poss, MP","Player Per 100 Poss, FG","Player Per 100 Poss, FGA","Player Per 100 Poss, FG%","Player Per 100 Poss, 3P","Player Per 100 Poss, 3PA","Player Per 100 Poss, 3P%","Player Per 100 Poss, 2P","Player Per 100 Poss, 2PA","Player Per 100 Poss, 2P%","Player Per 100 Poss, eFG%","Player Per 100 Poss, FT","Player Per 100 Poss, FTA","Player Per 100 Poss, FT%","Player Per 100 Poss, ORB","Player Per 100 Poss, DRB","Player Per 100 Poss, TRB","Player Per 100 Poss, AST","Player Per 100 Poss, STL","Player Per 100 Poss, BLK","Player Per 100 Poss, TOV","Player Per 100 Poss, PF","Player Per 100 Poss, PTS","Player Per 100 Poss, ORtg","Player Per 100 Poss, DRtg","Player Per 100 Poss, Awards","Player Advanced, Player","Player Advanced, Pos","Player Advanced, Age","Player Advanced, Team","Player Advanced, G","Player Advanced, MP","Player Advanced, PER","Player Advanced, TS%","Player Advanced, 3PAr","Player Advanced, FTr","Player Advanced, ORB%","Player Advanced, DRB%","Player Advanced, TRB%","Player Advanced, AST%","Player Advanced, STL%","Player Advanced, BLK%","Player Advanced, TOV%","Player Advanced, USG%","Player Advanced, ","Player Advanced, ","Player Advanced, OWS","Player Advanced, DWS","Player Advanced, WS","Player Advanced, WS/48","Player Advanced, ","Player Advanced, ","Player Advanced, OBPM","Player Advanced, DBPM","Player Advanced, BPM","Player Advanced, VORP","Player Adjusted Shooting, Player","Player Adjusted Shooting, Pos","Player Adjusted Shooting, Age","Player Adjusted Shooting, Team","Player Adjusted Shooting, G","Player Adjusted Shooting, MP","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, Player Shooting %, FG","Player Adjusted Shooting, Player Shooting %, 2P","Player Adjusted Shooting, Player Shooting %, 3P","Player Adjusted Shooting, Player Shooting %, eFG","Player Adjusted Shooting, Player Shooting %, FT","Player Adjusted Shooting, Player Shooting %, TS","Player Adjusted Shooting, Player Shooting %, FTr","Player Adjusted Shooting, Player Shooting %, 3PAr","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, League-Adjusted, FG+","Player Adjusted Shooting, League-Adjusted, 2P+","Player Adjusted Shooting, League-Adjusted, 3P+","Player Adjusted Shooting, League-Adjusted, eFG+","Player Adjusted Shooting, League-Adjusted, FT+","Player Adjusted Shooting, League-Adjusted, TS+","Player Adjusted Shooting, League-Adjusted, FTr+","Player Adjusted Shooting, League-Adjusted, 3PAr+","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, FG Add","Player Adjusted Shooting, TS Add","MVP, Player","MVP, Age","MVP, Tm","MVP, Voting, First","MVP, Voting, Pts Won","MVP, Voting, Pts Max","MVP, Voting, Share","MVP, G","MVP, Per Game, MP","MVP, Per Game, PTS","MVP, Per Game, TRB","MVP, Per Game, AST","MVP, Per Game, STL","MVP, Per Game, BLK","MVP, Shooting, FG%","MVP, Shooting, 3P%","MVP, Shooting, FT%","MVP, Advanced, WS","MVP, Advanced, WS/48"
gervige01,George Gervin,27,SAS,SG,78,,37.6,13.1,24.9,.528,0.4,1.3,.314,12.7,23.6,.540,.536,6.5,7.6,.852,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1,"MVP-3,AS,NBA1",George Gervin,27,SAS,SG,78,,2934,1024,1940,.528,32,102,.314,992,1838,.540,.536,505,593,.852,154,249,403,202,110,79,254,208,2585,0,"MVP-3,AS,NBA1",George Gervin,27,SAS,SG,78,,2934,15.3,29.0,.528,0.5,1.5,.314,14.8,27.5,.540,.536,7.5,8.9,.852,2.3,3.7,6.0,3.0,1.6,1.2,3.8,3.1,38.6,115,110,"MVP-3,AS,NBA1",George Gervin*,SG,27,UTA,78,2934,24.0,.587,.053,.306,5.7,8.9,7.3,11.0,1.6,1.4,10.3,31.7,,,9.3,1.3,10.6,.173,,,5.5,-1.6,3.9,4.4,George Gervin,SG,27,ATL,78,2934,,,,.528,.540,.314,.536,.852,.587,.306,.053,,,,110,111,112,110,111,111,100,172,,,,195.1,246.2,George Gervin,27,SAS,19,19,221,0.086,78,37.6,33.1,5.2,2.6,1.4,1.0,.528,.314,.852,10.6,.173
freewo01,World B. Free,26,SDC,SG,68,,38.0,10.8,22.9,.474,0.1,0.4,.360,10.7,22.5,.476,.477,8.4,11.2,.753,1.9,1.6,3.5,4.2,1.2,0.5,3.4,2.9,30.2,AS,World B. Free,26,SDC,SG,68,,2585,737,1556,.474,9,25,.360,728,1531,.476,.477,572,760,.753,129,109,238,283,81,32,228,195,2055,0,AS,World B. Free,26,SDC,SG,68,,2585,13.5,28.5,.474,0.2,0.5,.360,13.3,28.0,.476,.477,10.5,13.9,.753,2.4,2.0,4.4,5.2,1.5,0.6,4.2,3.6,37.6,112,113,AS,World B. Free,SG,26,UTA,68,2585,22.7,.544,.016,.488,5.2,4.7,5.0,18.0,1.5,0.7,10.8,32.7,,,7.7,0.3,8.0,.148,,,4.9,-1.9,3.1,3.3,World B. Free,SG,26,DEN,68,2585,,,,.474,.476,.360,.477,.753,.544,.488,.016,,,,98,97,128,98,99,102,159,53,,,,-28.8,46.2,,,,,,,,,,,,,,,,,,,
dantlad01,Adrian Dantley,24,UTA,SF,68,,39.3,10.7,18.6,.576,0.0,0.0,.000,10.7,18.6,.577,.576,6.5,7.7,.842,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28.0,AS,Adrian Dantley,24,UTA,SF,68,,2674,730,1267,.576,0,2,.000,730,1265,.577,.576,443,526,.842,183,333,516,191,96,14,233,211,1903,0,AS,Adrian Dantley,24,UTA,SF,68,,2674,13.4,23.3,.576,0.0,0.0,.000,13.4,23.3,.577,.576,8.1,9.7,.842,3.4,6.1,9.5,3.5,1.8,0.3,4.3,3.9,35.0,119,110,AS,Adrian Dantley*,SF,24,UTA,68,2674,24.3,.635,.002,.415,8.3,14.0,11.3,12.3,1.8,0.3,13.5,27.8,,,9.5,1.1,10.5,.189,,,5.3,-1.6,3.7,3.8,Adrian Dantley,SF,24,IND,68,2674,,,,.576,.577,.000,.576,.842,.635,.415,.002,,,,120,118,,119,110,120,135,5,,,,229.0,310.7,,,,,,,,,,,,,,,,,,,
ervinju01,Julius Erving,29,PHI,SF,78,78,36.1,10.7,20.7,.519,0.1,0.3,.200,10.7,20.4,.523,.520,5.4,6.8,.787,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9,"MVP-2,AS,NBA1",Julius Erving,29,PHI,SF,78,78,2812,838,1614,.519,4,20,.200,834,1594,.523,.520,420,534,.787,215,361,576,355,170,140,284,208,2100,1,"MVP-2,AS,NBA1",Julius Erving,29,PHI,SF,78,78,2812,13.9,26.7,.519,0.1,0.3,.200,13.8,26.4,.523,.520,7.0,8.8,.787,3.6,6.0,9.5,5.9,2.8,2.3,4.7,3.4,34.8,111,99,"MVP-2,AS,NBA1",Julius Erving*,SF,29,DET,78,2812,25.4,.568,.012,.331,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,,,7.3,5.2,12.5,.213,,,5.7,1.9,7.6,6.8,Julius Erving,SF,29,BOS,78,2812,,,,.519,.523,.200,.520,.787,.568,.331,.012,,,,108,107,71,107,103,107,108,41,,,,111.9,135.2,Julius Erving,29,PHI,31.5,31.5,221,0.143,78,36.1,26.9,7.4,4.6,2.2,1.8,.519,.200,.787,12.5,.213
malonmo01,Moses Malone,24,HOU,C,82,82,38.3,9.5,18.9,.502,0.0,0.1,.000,9.5,18.8,.504,.502,6.9,9.5,.719,7.0,7.5,14.5,1.8,1.0,1.3,3.7,2.6,25.8,"MVP-9,AS,NBA2",Moses Malone,24,HOU,C,82,82,3140,778,1549,.502,0,6,.000,778,1543,.504,.502,563,783,.719,573,617,1190,147,80,107,300,210,2119,0,"MVP-9,AS,NBA2",Moses Malone,24,HOU,C,82,82,3140,11.8,23.4,.502,0.0,0.1,.000,11.8,23.3,.504,.502,8.5,11.8,.719,8.7,9.3,18.0,2.2,1.2,1.6,4.5,3.2,32.0,114,106,"MVP-9,AS,NBA2",Moses Malone*,C,24,DET,82,3140,24.1,.560,.004,.505,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,,,8.9,3.0,11.9,.183,,,4.5,-2.4,2.1,3.2,Moses Malone,C,24,BOS,82,3140,,,,.502,.504,.000,.502,.719,.560,.505,.004,,,,104,103,,103,94,105,165,13,,,,51.0,106.9,Moses Malone,24,HOU,1,1,221,0.005,82,38.3,25.8,14.5,1.8,1.0,1.3,.502,.000,.719,11.9,.183
abdulka01,Kareem Abdul-Jabbar,32,LAL,C,82,,38.3,10.2,16.9,.604,0.0,0.0,.000,10.2,16.9,.604,.604,4.4,5.8,.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,"MVP-1,AS,NBA1",Kareem Abdul-Jabbar,32,LAL,C,82,,3143,835,1383,.604,0,1,.000,835,1382,.604,.604,364,476,.765,190,696,886,371,81,280,297,216,2034,2,"MVP-1,AS,NBA1",Kareem Abdul-Jabbar,32,LAL,C,82,,3143,12.3,20.3,.604,0.0,0.0,.000,12.3,20.3,.604,.604,5.3,7.0,.765,2.8,10.2,13.0,5.4,1.2,4.1,4.4,3.2,29.8,118,100,"MVP-1,AS,NBA1",Kareem Abdul-Jabbar*,C,32,LAL,82,3143,25.3,.639,.001,.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,,,9.5,5.3,14.8,.227,,,4.8,2.4,7.2,7.3,Kareem Abdul-Jabbar,C,32,LAL,82,3143,,,,.604,.604,.000,.604,.765,.639,.344,.001,,,,125,124,,124,100,120,112,2,,,,326.3,341.8,Kareem Abdul-Jabbar,32,LAL,147,147,221,0.665,82,38.3,24.8,10.8,4.5,1.0,3.4,.604,.000,.765,14.8,.227
isselda01,Dan Issel,31,DEN,C,82,82,35.8,8.7,17.3,.505,0.0,0.1,.333,8.7,17.1,.506,.506,6.3,8.1,.775,2.9,5.9,8.8,2.4,1.1,0.7,2.0,2.3,23.8,,Dan Issel,31,DEN,C,82,82,2938,715,1416,.505,4,12,.333,711,1404,.506,.506,517,667,.775,236,483,719,198,88,54,163,190,1951,0,,Dan Issel,31,DEN,C,82,82,2938,11.2,22.3,.505,0.1,0.2,.333,11.2,22.1,.506,.506,8.1,10.5,.775,3.7,7.6,11.3,3.1,1.4,0.8,2.6,3.0,30.7,118,107,,Dan Issel*,C,31,NJN,82,2938,22.2,.571,.008,.471,8.2,17.5,12.7,10.7,1.4,1.0,8.7,25.0,,,9.2,2.3,11.5,.188,,,4.1,-0.8,3.3,3.9,Dan Issel,C,31,GSW,82,2938,,,,.505,.506,.333,.506,.775,.571,.471,.008,,,,105,104,119,104,101,107,153,28,,,,58.2,134.5,,,,,,,,,,,,,,,,,,,
hayesel01,Elvin Hayes,34,WSB,PF,81,,39.3,9.4,20.7,.454,0.0,0.2,.231,9.4,20.5,.456,.455,4.1,5.9,.699,3.3,7.7,11.1,1.6,0.8,2.3,2.7,3.8,23.0,AS,Elvin Hayes,34,WSB,PF,81,,3183,761,1677,.454,3,13,.231,758,1664,.456,.455,334,478,.699,269,627,896,129,62,189,215,309,1859,0,AS,Elvin Hayes,34,WSB,PF,81,,3183,11.2,24.6,.454,0.0,0.2,.231,11.1,24.5,.456,.455,4.9,7.0,.699,4.0,9.2,13.2,1.9,0.9,2.8,3.2,4.5,27.3,101,103,AS,Elvin Hayes*,PF,34,LAL,81,3183,17.2,.492,.008,.285,8.4,20.0,14.1,6.1,0.9,3.1,10.2,26.1,,,2.1,4.2,6.2,.094,,,-0.2,-0.2,-0.4,1.2,Elvin Hayes,PF,34,BOS,81,3183,,,,.454,.456,.231,.455,.699,.492,.285,.008,,,,94,93,82,94,91,93,93,25,,,,-104.3,-146.5,,,,,,,,,,,,,,,,,,,
birdsot01,Otis Birdsong,24,KCK,SG,82,,35.2,9.5,18.9,.505,0.1,0.4,.278,9.4,18.4,.511,.508,3.5,5.0,.694,2.1,2.0,4.0,2.5,1.7,0.3,2.2,2.8,22.7,AS,Otis Birdsong,24,KCK,SG,82,,2885,781,1546,.505,10,36,.278,771,1510,.511,.508,286,412,.694,170,161,331,202,136,22,179,226,1858,0,AS,Otis Birdsong,24,KCK,SG,82,,2885,12.6,24.9,.505,0.2,0.6,.278,12.4,24.3,.511,.508,4.6,6.6,.694,2.7,2.6,5.3,3.3,2.2,0.4,2.9,3.6,30.0,108,103,AS,Otis Birdsong,SG,24,KCK,82,2885,18.5,.538,.023,.266,6.1,6.2,6.1,11.1,2.2,0.4,9.4,26.4,,,4.9,3.7,8.6,.143,,,2.0,0.1,2.1,3.0,Otis Birdsong,SG,24,UTA,82,2885,,,,.505,.511,.278,.508,.694,.538,.266,.023,,,,105,105,99,105,91,101,87,76,,,,69.9,22.5,,,,,,,,,,,,,,,,,,,
mitchmi01,Mike Mitchell,24,CLE,SF,82,82,34.2,9.5,18.1,.523,0.0,0.1,.000,9.5,18.0,.525,.523,3.3,4.2,.787,2.5,4.7,7.2,1.1,0.9,0.9,2.1,3.2,22.2,,Mike Mitchell,24,CLE,SF,82,82,2802,775,1482,.523,0,6,.000,775,1476,.525,.523,270,343,.787,206,385,591,93,70,77,172,259,1820,0,,Mike Mitchell,24,CLE,SF,82,82,2802,12.6,24.0,.523,0.0,0.1,.000,12.6,23.9,.525,.523,4.4,5.6,.787,3.3,6.2,9.6,1.5,1.1,1.2,2.8,4.2,29.5,112,107,,Mike Mitchell,SF,24,PHI,82,2802,19.1,.557,.004,.231,7.4,15.2,11.1,4.9,1.1,1.5,9.5,24.7,,,5.9,2.4,8.3,.142,,,2.1,-0.9,1.2,2.2,Mike Mitchell,SF,24,MIL,82,2802,,,,.523,.525,.000,.523,.787,.557,.231,.004,,,,109,108,,108,103,105,75,13,,,,110.1,84.8,,,,,,,,,,,,,,,,,,,
