Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
PHO,Phoenix Suns*,82,242.7,41.3,83.6,.494,9.6,24.0,.399,31.7,59.6,.532,18.0,22.3,.808,9.0,31.5,40.5,25.9,6.7,4.8,14.5,20.2,110.2,Phoenix Suns*,82,19905,3388,6855,.494,785,1965,.399,2603,4890,.532,1476,1827,.808,737,2583,3320,2122,553,394,1189,1659,9037,Phoenix Suns*,82,19905,42.7,86.4,.494,9.9,24.8,.399,32.8,61.6,.532,18.6,23.0,.808,9.3,32.6,41.9,26.8,7.0,5.0,15.0,20.9,113.9,Phoenix Suns*,27.6,61,21,59,23,7.30,-0.03,7.28,113.9,106.4,+7.5,95.6,.267,.287,.590,,,,.551,13.4,22.7,.215,,,,.492,13.6,71.9,.206,,,,US Airways Center,"755,302","18,422",Phoenix Suns*,82,19905,.494,13.1,,,,,,,,.713,.310,.104,.097,.202,.287,,,,,,,,.532,.671,.455,.433,.407,.399,,,,,,,,.557,.856,,,,,,,,.063,389,,,,,,,,.235,979,,,,,,,,.315,.448,,,,,,,,15,0
GSW,Golden State Warriors*,82,240.9,39.8,86.0,.463,8.5,24.0,.356,31.2,62.0,.504,18.5,25.8,.717,11.5,30.0,41.4,23.8,9.1,5.7,16.0,23.6,106.5,Golden State Warriors*,82,19755,3261,7048,.463,700,1967,.356,2561,5081,.504,1515,2113,.717,940,2456,3396,1950,750,466,1309,1933,8737,Golden State Warriors*,82,19755,40.0,86.4,.463,8.6,24.1,.356,31.4,62.3,.504,18.6,25.9,.717,11.5,30.1,41.6,23.9,9.2,5.7,16.0,23.7,107.0,Golden State Warriors*,24.6,42,40,40,42,-0.34,0.34,0.00,107.0,107.4,-0.4,99.2,.300,.279,.548,,,,.512,14.1,25.6,.215,,,,.506,16.1,69.6,.264,,,,Oracle Arena,"742,267","18,104",Golden State Warriors*,82,19755,.463,12.3,,,,,,,,.721,.338,.135,.077,.172,.279,,,,,,,,.504,.654,.362,.359,.386,.356,,,,,,,,.525,.866,,,,,,,,.048,325,,,,,,,,.269,1139,,,,,,,,.339,.386,,,,,,,,15,0
DEN,Denver Nuggets*,82,241.2,38.6,83.0,.465,5.9,17.6,.336,32.7,65.4,.500,22.3,29.9,.746,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,105.4,Denver Nuggets*,82,19780,3164,6805,.465,484,1440,.336,2680,5365,.500,1827,2449,.746,1001,2558,3559,1920,678,435,1352,1756,8639,Denver Nuggets*,82,19780,39.4,84.7,.465,6.0,17.9,.336,33.4,66.8,.500,22.7,30.5,.746,12.5,31.9,44.3,23.9,8.4,5.4,16.8,21.9,107.6,Denver Nuggets*,26.5,45,37,45,37,1.62,0.07,1.69,107.6,105.9,+1.7,97.4,.360,.212,.548,,,,.501,14.6,28.9,.268,,,,.499,14.5,71.8,.203,,,,Pepsi Center,"706,437","17,230",Denver Nuggets*,82,19780,.465,11.4,,,,,,,,.788,.370,.104,.100,.214,.212,,,,,,,,.500,.632,.393,.392,.373,.336,,,,,,,,.550,.924,,,,,,,,.074,461,,,,,,,,.263,1001,,,,,,,,.251,.318,,,,,,,,16,0
WAS,Washington Wizards*,82,241.8,37.4,83.2,.450,6.8,19.7,.348,30.6,63.5,.482,22.6,29.6,.765,12.2,29.0,41.2,20.2,7.7,4.6,13.8,22.2,104.3,Washington Wizards*,82,19830,3070,6820,.450,561,1614,.348,2509,5206,.482,1855,2425,.765,998,2379,3377,1660,635,375,1133,1823,8556,Washington Wizards*,82,19830,39.5,87.7,.450,7.2,20.8,.348,32.3,67.0,.482,23.9,31.2,.765,12.8,30.6,43.4,21.4,8.2,4.8,14.6,23.5,110.1,Washington Wizards*,26.8,41,41,40,42,-0.51,-0.28,-0.80,110.1,110.6,-0.5,94.1,.356,.237,.542,,,,.491,12.6,28.1,.272,,,,.517,14.4,71.0,.249,,,,Verizon Center,"753,283","18,373",Washington Wizards*,82,19830,.450,13.2,,,,,,,,.763,.294,.121,.079,.269,.237,,,,,,,,.482,.626,.386,.355,.405,.348,,,,,,,,.487,.781,,,,,,,,.041,268,,,,,,,,.232,887,,,,,,,,.208,.352,,,,,,,,8,1
LAL,Los Angeles Lakers*,82,244.3,37.8,81.3,.466,7.4,21.0,.353,30.4,60.2,.505,20.2,27.1,.747,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23.0,103.3,Los Angeles Lakers*,82,20030,3103,6664,.466,608,1724,.353,2495,4940,.505,1660,2221,.747,886,2495,3381,1850,600,421,1273,1889,8474,Los Angeles Lakers*,82,20030,39.7,85.4,.466,7.8,22.1,.353,32.0,63.3,.505,21.3,28.5,.747,11.3,32.0,43.3,23.7,7.7,5.4,16.3,24.2,108.6,Los Angeles Lakers*,25.3,42,40,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,.333,.259,.554,,,,.511,14.3,26.1,.249,,,,.500,13.5,72.3,.262,,,,STAPLES Center,"778,415","18,986",Los Angeles Lakers*,82,20030,.466,12.4,,,,,,,,.741,.326,.122,.096,.196,.259,,,,,,,,.505,.611,.429,.428,.415,.353,,,,,,,,.537,.837,,,,,,,,.049,308,,,,,,,,.256,941,,,,,,,,.229,.392,,,,,,,,14,0
MEM,Memphis Grizzlies,82,243.7,36.6,78.6,.465,6.1,16.6,.367,30.5,62.0,.491,22.4,29.4,.761,10.6,29.0,39.5,20.5,6.9,5.0,16.4,22.3,101.6,Memphis Grizzlies,82,19980,2998,6448,.465,500,1362,.367,2498,5086,.491,1835,2410,.761,866,2375,3241,1680,564,407,1343,1827,8331,Memphis Grizzlies,82,19980,38.5,82.7,.465,6.4,17.5,.367,32.1,65.3,.491,23.5,30.9,.761,11.1,30.5,41.6,21.6,7.2,5.2,17.2,23.4,106.9,Memphis Grizzlies,26.2,22,60,27,55,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,.374,.211,.555,,,,.504,15.2,25.9,.285,,,,.529,14.0,71.1,.237,,,,FedEx Forum,"600,836","14,655",Memphis Grizzlies,82,19980,.465,11.7,,,,,,,,.789,.343,.139,.100,.207,.211,,,,,,,,.491,.595,.425,.394,.410,.367,,,,,,,,.505,.836,,,,,,,,.070,402,,,,,,,,.252,823,,,,,,,,.163,.446,,,,,,,,17,0
UTA,Utah Jazz*,82,241.5,37.4,78.9,.474,4.3,12.9,.335,33.1,66.0,.501,22.3,30.0,.743,12.6,30.0,42.5,24.7,7.0,4.1,15.6,25.2,101.5,Utah Jazz*,82,19805,3069,6471,.474,354,1056,.335,2715,5415,.501,1830,2462,.743,1030,2456,3486,2024,577,339,1277,2067,8322,Utah Jazz*,82,19805,40.6,85.6,.474,4.7,14.0,.335,35.9,71.6,.501,24.2,32.6,.743,13.6,32.5,46.1,26.8,7.6,4.5,16.9,27.3,110.1,Utah Jazz*,25.9,51,31,49,33,2.87,0.20,3.06,110.1,107.0,+3.1,91.6,.380,.163,.551,,,,.502,14.5,31.7,.283,,,,.496,14.4,75.1,.314,,,,EnergySolutions Arena,"802,214","19,566",Utah Jazz*,82,19805,.474,11.4,,,,,,,,.837,.359,.107,.113,.257,.163,,,,,,,,.501,.621,.371,.401,.432,.335,,,,,,,,.632,.867,,,,,,,,.039,239,,,,,,,,.300,1127,,,,,,,,.159,.298,,,,,,,,13,0
SAC,Sacramento Kings,82,241.5,35.9,79.7,.450,6.5,18.5,.350,29.4,61.2,.480,23.1,30.2,.765,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,101.3,Sacramento Kings,82,19805,2941,6532,.450,530,1513,.350,2411,5019,.480,1891,2473,.765,797,2396,3193,1665,671,265,1194,1792,8303,Sacramento Kings,82,19805,37.6,83.5,.450,6.8,19.3,.350,30.8,64.2,.480,24.2,31.6,.765,10.2,30.6,40.8,21.3,8.6,3.4,15.3,22.9,106.2,Sacramento Kings,27.3,33,49,36,46,-1.80,0.46,-1.35,106.2,108.0,-1.8,94.8,.379,.232,.545,,,,.491,13.5,23.1,.289,,,,.513,14.9,72.5,.240,,,,ARCO Arena (II),"709,997","17,317",Sacramento Kings,82,19805,.450,12.7,,,,,,,,.768,.294,.142,.077,.255,.232,,,,,,,,.480,.600,.418,.380,.408,.350,,,,,,,,.502,.858,,,,,,,,.035,206,,,,,,,,.244,907,,,,,,,,.194,.357,,,,,,,,4,0
DAL,Dallas Mavericks*,82,240.9,36.7,78.6,.467,6.5,17.1,.381,30.2,61.4,.491,20.1,24.9,.805,11.2,30.7,41.9,19.9,6.8,5.0,13.9,22.4,100.0,Dallas Mavericks*,82,19755,3010,6442,.467,535,1404,.381,2475,5038,.491,1646,2045,.805,920,2515,3435,1632,560,408,1140,1837,8201,Dallas Mavericks*,82,19755,40.8,87.4,.467,7.3,19.1,.381,33.6,68.4,.491,22.3,27.7,.805,12.5,34.1,46.6,22.1,7.6,5.5,15.5,24.9,111.3,Dallas Mavericks*,28.1,67,15,61,21,7.22,0.06,7.28,111.3,103.2,+8.1,89.5,.317,.218,.559,,,,.509,13.4,28.7,.256,,,,.477,14.2,75.0,.265,,,,American Airlines Center,"834,411","20,351",Dallas Mavericks*,82,19755,.467,13.0,,,,,,,,.782,.269,.104,.163,.246,.218,,,,,,,,.491,.606,.401,.452,.430,.381,,,,,,,,.469,.880,,,,,,,,.035,210,,,,,,,,.216,762,,,,,,,,.328,.377,,,,,,,,14,0
MIL,Milwaukee Bucks,82,242.1,38.1,81.9,.465,6.4,18.0,.356,31.7,63.9,.495,17.1,23.4,.733,11.5,27.7,39.2,21.6,7.2,2.7,15.1,22.2,99.7,Milwaukee Bucks,82,19855,3121,6714,.465,524,1472,.356,2597,5242,.495,1406,1919,.733,941,2272,3213,1771,587,224,1240,1821,8172,Milwaukee Bucks,82,19855,40.9,87.9,.465,6.9,19.3,.356,34.0,68.6,.495,18.4,25.1,.733,12.3,29.7,42.1,23.2,7.7,2.9,16.2,23.8,107.0,Milwaukee Bucks,26.0,28,54,29,53,-4.38,-0.06,-4.43,107.0,111.7,-4.7,92.3,.286,.219,.541,,,,.504,14.1,27.6,.209,,,,.522,14.5,68.1,.234,,,,Bradley Center,"663,629","16,186",Milwaukee Bucks,82,19855,.465,11.4,,,,,,,,.781,.360,.124,.113,.183,.219,,,,,,,,.495,.600,.430,.419,.381,.356,,,,,,,,.512,.844,,,,,,,,.040,244,,,,,,,,.291,1106,,,,,,,,.260,.376,,,,,,,,5,0
