Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
MIL,Milwaukee Bucks*,73,241.0,43.3,90.9,.476,13.8,38.9,.355,29.5,52.0,.567,18.3,24.7,.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,Milwaukee Bucks*,73,17595,3160,6638,.476,1007,2840,.355,2153,3798,.567,1336,1800,.742,691,3083,3774,1889,526,429,1102,1431,8663,Milwaukee Bucks*,73,17595,41.0,86.1,.476,13.1,36.9,.355,27.9,49.3,.567,17.3,23.4,.742,9.0,40.0,49.0,24.5,6.8,5.6,14.3,18.6,112.4,Milwaukee Bucks*,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,+9.5,105.1,.271,.428,.583,,,,.552,12.9,20.7,.201,,,,.489,12.0,81.6,.178,,,,Fiserv Forum,"549,036","17,711",Milwaukee Bucks*,73,17595,.476,14.6,,,,,,,,.572,.284,.141,.082,.064,.428,,,,,,,,.567,.717,.374,.458,.467,.355,,,,,,,,.498,.811,,,,,,,,.057,355,,,,,,,,.274,1066,,,,,,,,.204,.392,,,,,,,,9,0
HOU,Houston Rockets*,72,241.4,40.8,90.4,.451,15.6,45.3,.345,25.1,45.2,.557,20.6,26.1,.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,Houston Rockets*,72,17380,2936,6512,.451,1126,3261,.345,1810,3251,.557,1484,1876,.791,704,2484,3188,1557,627,371,1057,1566,8482,Houston Rockets*,72,17380,39.1,86.7,.451,15.0,43.4,.345,24.1,43.3,.557,19.8,25.0,.791,9.4,33.1,42.4,20.7,8.3,4.9,14.1,20.8,112.9,Houston Rockets*,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,+2.8,103.7,.288,.501,.578,,,,.537,12.6,21.0,.228,,,,.529,13.7,75.6,.197,,,,Toyota Center,"578,458","18,077",Houston Rockets*,72,17380,.451,15.2,,,,,,,,.499,.297,.126,.040,.036,.501,,,,,,,,.557,.672,.379,.403,.402,.345,,,,,,,,.430,.692,,,,,,,,.050,297,,,,,,,,.293,1075,,,,,,,,.245,.378,,,,,,,,10,0
DAL,Dallas Mavericks*,75,242.3,41.7,90.3,.461,15.1,41.3,.367,26.5,49.0,.541,18.6,23.8,.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,Dallas Mavericks*,75,18175,3124,6772,.461,1136,3095,.367,1988,3677,.541,1392,1787,.779,791,2729,3520,1849,460,363,953,1462,8776,Dallas Mavericks*,75,18175,41.5,90.0,.461,15.1,41.1,.367,26.4,48.9,.541,18.5,23.8,.779,10.5,36.3,46.8,24.6,6.1,4.8,12.7,19.4,116.7,Dallas Mavericks*,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,+5.0,99.3,.264,.457,.581,,,,.545,11.2,23.2,.206,,,,.525,10.6,77.7,.175,,,,American Airlines Center,"682,096","20,062",Dallas Mavericks*,75,18175,.461,15.2,,,,,,,,.543,.245,.162,.082,.053,.457,,,,,,,,.541,.696,.407,.413,.431,.367,,,,,,,,.483,.783,,,,,,,,.054,325,,,,,,,,.236,927,,,,,,,,.204,.408,,,,,,,,20,0
LAC,Los Angeles Clippers*,72,241.4,41.6,89.2,.466,12.4,33.5,.371,29.1,55.8,.522,20.8,26.3,.791,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3,Los Angeles Clippers*,72,17380,2992,6425,.466,895,2410,.371,2097,4015,.522,1498,1894,.791,767,2664,3431,1708,511,338,1051,1594,8377,Los Angeles Clippers*,72,17380,40.7,87.4,.466,12.2,32.8,.371,28.5,54.6,.522,20.4,25.8,.791,10.4,36.2,46.7,23.2,6.9,4.6,14.3,21.7,113.9,Los Angeles Clippers*,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,+6.3,101.5,.295,.375,.577,,,,.535,12.6,23.5,.233,,,,.506,12.2,77.6,.206,,,,STAPLES Center,"610,176","19,068",Los Angeles Clippers*,72,17380,.466,13.8,,,,,,,,.625,.272,.167,.104,.081,.375,,,,,,,,.522,.669,.408,.419,.400,.371,,,,,,,,.465,.818,,,,,,,,.067,392,,,,,,,,.243,834,,,,,,,,.250,.401,,,,,,,,11,0
NOP,New Orleans Pelicans,72,242.1,42.6,91.6,.465,13.6,36.9,.370,28.9,54.8,.528,17.1,23.4,.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,New Orleans Pelicans,72,17430,3065,6598,.465,982,2656,.370,2083,3942,.528,1229,1687,.729,797,2551,3348,1932,539,358,1181,1524,8341,New Orleans Pelicans,72,17430,40.7,87.6,.465,13.0,35.3,.370,27.6,52.3,.528,16.3,22.4,.729,10.6,33.9,44.4,25.6,7.2,4.8,15.7,20.2,110.7,New Orleans Pelicans,25.4,30,42,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,.256,.403,.568,,,,.539,13.9,24.2,.186,,,,.532,12.4,77.8,.212,,,,Smoothie King Center,"528,172","16,505",New Orleans Pelicans,72,17430,.465,13.8,,,,,,,,.597,.309,.144,.079,.065,.403,,,,,,,,.528,.666,.376,.394,.378,.370,,,,,,,,.516,.874,,,,,,,,.060,359,,,,,,,,.302,1106,,,,,,,,.233,.401,,,,,,,,20,0
POR,Portland Trail Blazers*,74,241.0,42.2,91.2,.463,12.9,34.1,.377,29.3,57.1,.514,17.7,22.1,.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0,Portland Trail Blazers*,74,17835,3122,6749,.463,952,2525,.377,2170,4224,.514,1312,1632,.804,754,2599,3353,1525,465,451,946,1606,8508,Portland Trail Blazers*,74,17835,41.7,90.2,.463,12.7,33.7,.377,29.0,56.4,.514,17.5,21.8,.804,10.1,34.7,44.8,20.4,6.2,6.0,12.6,21.5,113.7,Portland Trail Blazers*,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,.242,.374,.570,,,,.533,11.2,22.4,.194,,,,.530,11.2,75.3,.208,,,,Moda Center,"628,303","19,634",Portland Trail Blazers*,74,17835,.463,14.3,,,,,,,,.626,.272,.139,.117,.097,.374,,,,,,,,.514,.634,.399,.428,.446,.377,,,,,,,,.409,.669,,,,,,,,.047,288,,,,,,,,.243,888,,,,,,,,.185,.418,,,,,,,,12,0
WAS,Washington Wizards,72,241.0,41.5,90.9,.457,12.0,32.6,.368,29.5,58.3,.506,19.4,24.6,.788,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4,Washington Wizards,72,17355,2990,6544,.457,864,2345,.368,2126,4199,.506,1394,1770,.788,732,2295,3027,1801,574,309,1020,1634,8238,Washington Wizards,72,17355,40.3,88.1,.457,11.6,31.6,.368,28.6,56.6,.506,18.8,23.8,.788,9.9,30.9,40.8,24.3,7.7,4.2,13.7,22.0,110.9,Washington Wizards,25.1,25,47,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,.270,.358,.562,,,,.523,12.2,22.2,.213,,,,.558,13.9,75.3,.231,,,,Capital One Arena,"532,702","16,647",Washington Wizards,72,17355,.457,14.2,,,,,,,,.642,.259,.160,.111,.112,.358,,,,,,,,.506,.688,.363,.410,.387,.368,,,,,,,,.509,.832,,,,,,,,.047,276,,,,,,,,.285,1029,,,,,,,,.167,.388,,,,,,,,18,1
SAS,San Antonio Spurs,71,242.5,42.2,89.4,.472,10.7,28.5,.376,31.5,61.0,.516,19.0,23.4,.810,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1,San Antonio Spurs,71,17215,2995,6350,.472,760,2021,.376,2235,4329,.516,1348,1664,.810,640,2530,3170,1751,518,390,895,1377,8098,San Antonio Spurs,71,17215,41.6,88.1,.472,10.5,28.0,.376,31.0,60.1,.516,18.7,23.1,.810,8.9,35.1,44.0,24.3,7.2,5.4,12.4,19.1,112.4,San Antonio Spurs,27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,.262,.318,.572,,,,.531,11.2,20.1,.212,,,,.542,11.7,79.2,.193,,,,AT&T Center,"550,515","18,351",San Antonio Spurs,71,17215,.472,14.1,,,,,,,,.682,.233,.158,.144,.147,.318,,,,,,,,.516,.666,.435,.458,.422,.376,,,,,,,,.481,.888,,,,,,,,.035,197,,,,,,,,.241,878,,,,,,,,.207,.400,,,,,,,,15,0
BOS,Boston Celtics*,72,242.1,41.3,89.6,.461,12.6,34.5,.364,28.7,55.0,.522,18.6,23.2,.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,Boston Celtics*,72,17430,2971,6448,.461,905,2487,.364,2066,3961,.522,1336,1668,.801,768,2549,3317,1655,595,406,995,1553,8183,Boston Celtics*,72,17430,41.1,89.3,.461,12.5,34.4,.364,28.6,54.8,.522,18.5,23.1,.801,10.6,35.3,45.9,22.9,8.2,5.6,13.8,21.5,113.3,Boston Celtics*,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,+6.3,99.5,.259,.386,.570,,,,.531,12.2,23.9,.207,,,,.509,13.5,77.4,.215,,,,TD Garden,"610,864","19,090",Boston Celtics*,72,17430,.461,13.9,,,,,,,,.614,.276,.173,.094,.071,.386,,,,,,,,.522,.662,.387,.437,.416,.364,,,,,,,,.491,.707,,,,,,,,.053,302,,,,,,,,.307,1039,,,,,,,,.181,.396,,,,,,,,22,0
PHO,Phoenix Suns,73,241.0,41.2,88.1,.468,11.4,31.8,.358,29.8,56.3,.529,19.9,23.8,.834,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6,Phoenix Suns,73,17595,3006,6429,.468,831,2320,.358,2175,4109,.529,1451,1740,.834,712,2465,3177,1987,559,290,1077,1609,8294,Phoenix Suns,73,17595,40.5,86.5,.468,11.2,31.2,.358,29.3,55.3,.529,19.5,23.4,.834,9.6,33.2,42.8,26.7,7.5,3.9,14.5,21.7,111.7,Phoenix Suns,24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,+0.3,101.3,.271,.361,.576,,,,.532,13.0,22.2,.226,,,,.539,13.7,78.8,.221,,,,Talking Stick Resort Arena,"550,633","15,606",Phoenix Suns,73,17595,.468,13.4,,,,,,,,.639,.296,.146,.116,.081,.361,,,,,,,,.529,.659,.404,.444,.405,.358,,,,,,,,.574,.889,,,,,,,,.054,306,,,,,,,,.271,979,,,,,,,,.240,.374,,,,,,,,8,0
