Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
DAL,Dallas Mavericks*,82,242.4,39.0,84.5,.462,7.6,20.1,.378,31.5,64.5,.488,19.6,24.3,.806,11.2,31.3,42.5,22.1,7.1,4.8,12.1,22.5,105.2,Dallas Mavericks*,82,19880,3200,6930,.462,621,1645,.378,2579,5285,.488,1608,1994,.806,918,2568,3486,1811,581,392,992,1842,8629,Dallas Mavericks*,82,19880,41.6,90.1,.462,8.1,21.4,.378,33.5,68.7,.488,20.9,25.9,.806,11.9,33.4,45.3,23.6,7.6,5.1,12.9,24.0,112.2,Dallas Mavericks*,27.6,57,25,53,29,4.26,0.16,4.41,112.2,107.7,+4.5,92.8,.288,.237,.553,,,,.507,11.3,26.1,.232,,,,.485,12.9,70.7,.239,,,,American Airlines Center,"802,783","19,580",Dallas Mavericks*,82,19880,.462,12.8,,,,,,,,.763,.281,.121,.146,.214,.237,,,,,,,,.488,.607,.404,.411,.431,.378,,,,,,,,.510,.799,,,,,,,,.037,232,,,,,,,,.228,872,,,,,,,,.160,.436,,,,,,,,9,0
SAC,Sacramento Kings*,82,240.9,39.8,85.4,.467,5.2,14.1,.367,34.6,71.3,.486,19.7,26.3,.751,12.4,33.0,45.3,23.9,9.0,4.6,13.8,19.0,104.6,Sacramento Kings*,82,19755,3267,7003,.467,426,1160,.367,2841,5843,.486,1618,2154,.751,1013,2702,3715,1958,741,375,1128,1560,8578,Sacramento Kings*,82,19755,41.5,89.0,.467,5.4,14.7,.367,36.1,74.3,.486,20.6,27.4,.751,12.9,34.3,47.2,24.9,9.4,4.8,14.3,19.8,109.0,Sacramento Kings*,27.0,61,21,61,21,7.61,0.00,7.61,109.0,101.1,+7.9,95.6,.308,.166,.539,,,,.497,12.4,27.9,.231,,,,.467,13.6,71.7,.185,,,,ARCO Arena (II),"709,997","17,317",Sacramento Kings*,82,19755,.467,11.7,,,,,,,,.834,.317,.135,.104,.278,.166,,,,,,,,.486,.626,.383,.402,.409,.367,,,,,,,,.560,.866,,,,,,,,.049,318,,,,,,,,.235,971,,,,,,,,.317,.399,,,,,,,,8,0
LAL,Los Angeles Lakers*,82,241.2,38.4,83.4,.461,6.2,17.5,.354,32.2,65.9,.489,18.2,26.1,.699,12.5,31.8,44.3,23.0,7.6,5.8,12.7,22.2,101.3,Los Angeles Lakers*,82,19780,3150,6840,.461,510,1439,.354,2640,5401,.489,1494,2138,.699,1022,2607,3629,1882,625,478,1040,1823,8304,Los Angeles Lakers*,82,19780,41.5,90.1,.461,6.7,19.0,.354,34.8,71.2,.489,19.7,28.2,.699,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24.0,109.4,Los Angeles Lakers*,27.9,58,24,60,22,7.12,0.03,7.15,109.4,101.7,+7.7,92.1,.313,.210,.534,,,,.498,11.8,28.8,.218,,,,.453,13.0,72.0,.233,,,,STAPLES Center,"778,777","18,995",Los Angeles Lakers*,82,19780,.461,12.3,,,,,,,,.790,.280,.167,.137,.206,.210,,,,,,,,.489,.657,.414,.403,.379,.354,,,,,,,,.539,.902,,,,,,,,.078,489,,,,,,,,.178,692,,,,,,,,.257,.419,,,,,,,,15,1
ORL,Orlando Magic*,82,241.8,37.6,84.1,.448,7.6,20.2,.373,30.1,63.8,.471,17.6,23.4,.754,11.5,29.8,41.2,22.0,8.1,4.7,13.6,20.7,100.5,Orlando Magic*,82,19830,3087,6893,.448,620,1660,.373,2467,5233,.471,1446,1917,.754,942,2440,3382,1804,665,384,1119,1700,8240,Orlando Magic*,82,19830,40.1,89.5,.448,8.1,21.6,.373,32.0,68.0,.471,18.8,24.9,.754,12.2,31.7,43.9,23.4,8.6,5.0,14.5,22.1,107.0,Orlando Magic*,28.0,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,+1.7,93.2,.278,.241,.533,,,,.493,12.6,26.3,.210,,,,.486,14.4,69.2,.215,,,,TD Waterhouse Centre,"621,121","15,149",Orlando Magic*,82,19830,.448,12.9,,,,,,,,.759,.294,.113,.109,.242,.241,,,,,,,,.471,.610,.377,.369,.394,.373,,,,,,,,.519,.845,,,,,,,,.046,275,,,,,,,,.215,829,,,,,,,,.192,.417,,,,,,,,7,0
MIN,Minnesota Timberwolves*,82,241.5,38.7,84.0,.461,4.8,12.8,.378,33.9,71.2,.476,17.1,21.4,.798,12.9,31.2,44.2,24.3,6.4,5.2,13.4,21.2,99.3,Minnesota Timberwolves*,82,19805,3175,6887,.461,396,1047,.378,2779,5840,.476,1399,1754,.798,1059,2562,3621,1993,524,427,1097,1739,8145,Minnesota Timberwolves*,82,19805,42.5,92.2,.461,5.3,14.0,.378,37.2,78.2,.476,18.7,23.5,.798,14.2,34.3,48.5,26.7,7.0,5.7,14.7,23.3,109.0,Minnesota Timberwolves*,26.7,50,32,51,31,3.38,0.20,3.58,109.0,105.3,+3.7,90.5,.255,.152,.532,,,,.490,12.5,31.3,.203,,,,.482,12.7,73.7,.218,,,,Target Center,"731,673","17,846",Minnesota Timberwolves*,82,19805,.461,12.4,,,,,,,,.848,.236,.175,.151,.286,.152,,,,,,,,.476,.629,.420,.426,.409,.378,,,,,,,,.604,.793,,,,,,,,.037,235,,,,,,,,.172,669,,,,,,,,.211,.398,,,,,,,,9,0
GSW,Golden State Warriors,82,241.2,36.6,85.2,.429,3.9,12.1,.322,32.7,73.1,.447,20.6,28.6,.722,16.3,30.4,46.7,20.8,7.9,6.4,16.8,23.0,97.7,Golden State Warriors,82,19780,2998,6989,.429,320,994,.322,2678,5995,.447,1693,2344,.722,1334,2493,3827,1706,650,523,1378,1884,8009,Golden State Warriors,82,19780,38.5,89.7,.429,4.1,12.8,.322,34.4,77.0,.447,21.7,30.1,.722,17.1,32.0,49.1,21.9,8.3,6.7,17.7,24.2,102.8,Golden State Warriors,24.8,21,61,26,56,-5.40,0.61,-4.80,102.8,108.5,-5.7,94.5,.335,.142,.499,,,,.452,14.7,35.3,.242,,,,.488,12.9,69.4,.232,,,,The Arena in Oakland,"593,182","14,468",Golden State Warriors,82,19780,.429,10.6,,,,,,,,.858,.297,.235,.111,.215,.142,,,,,,,,.447,.640,.326,.372,.351,.322,,,,,,,,.532,.881,,,,,,,,.040,254,,,,,,,,.227,975,,,,,,,,.193,.359,,,,,,,,15,1
SEA,Seattle SuperSonics*,82,241.8,38.2,81.5,.469,6.0,15.8,.378,32.2,65.7,.490,15.4,20.4,.755,11.8,28.5,40.3,23.5,8.5,4.4,13.7,21.1,97.7,Seattle SuperSonics*,82,19830,3131,6681,.469,489,1292,.378,2642,5389,.490,1263,1672,.755,968,2333,3301,1926,698,364,1124,1732,8014,Seattle SuperSonics*,82,19830,42.6,90.8,.469,6.6,17.6,.378,35.9,73.3,.490,17.2,22.7,.755,13.2,31.7,44.9,26.2,9.5,4.9,15.3,23.5,108.9,Seattle SuperSonics*,26.9,45,37,50,32,3.02,0.22,3.24,108.9,105.6,+3.3,89.0,.250,.193,.540,,,,.505,13.2,29.4,.189,,,,.485,14.5,68.1,.206,,,,KeyArena at Seattle Center,"633,516","15,452",Seattle SuperSonics*,82,19830,.469,11.8,,,,,,,,.807,.280,.190,.121,.216,.193,,,,,,,,.490,.636,.387,.393,.446,.378,,,,,,,,.560,.912,,,,,,,,.047,277,,,,,,,,.209,841,,,,,,,,.261,.374,,,,,,,,8,0
MIL,Milwaukee Bucks,82,242.7,37.1,80.2,.462,7.2,19.3,.375,29.9,60.9,.490,16.1,21.5,.748,10.3,31.2,41.4,22.5,7.3,4.7,14.1,21.8,97.5,Milwaukee Bucks,82,19905,3041,6577,.462,593,1583,.375,2448,4994,.490,1321,1767,.748,841,2557,3398,1847,596,388,1157,1788,7996,Milwaukee Bucks,82,19905,40.6,87.9,.462,7.9,21.2,.375,32.7,66.7,.490,17.7,23.6,.748,11.2,34.2,45.4,24.7,8.0,5.2,15.5,23.9,106.9,Milwaukee Bucks,28.9,41,41,40,42,-0.22,-0.40,-0.62,106.9,107.1,-0.2,90.2,.269,.241,.544,,,,.507,13.6,25.6,.201,,,,.477,12.0,70.9,.217,,,,Bradley Center,"745,305","18,178",Milwaukee Bucks,82,19905,.462,13.1,,,,,,,,.759,.237,.126,.236,.160,.241,,,,,,,,.490,.571,.466,.466,.425,.375,,,,,,,,.550,.841,,,,,,,,.036,215,,,,,,,,.179,635,,,,,,,,.268,.399,,,,,,,,18,0
IND,Indiana Pacers*,82,242.7,35.8,80.2,.446,4.9,14.6,.339,30.9,65.7,.470,20.3,26.3,.772,11.3,31.3,42.7,23.0,8.0,5.3,15.2,22.9,96.8,Indiana Pacers*,82,19905,2935,6580,.446,405,1195,.339,2530,5385,.470,1663,2155,.772,930,2568,3498,1884,658,436,1249,1876,7938,Indiana Pacers*,82,19905,38.5,86.3,.446,5.3,15.7,.339,33.2,70.6,.470,21.8,28.3,.772,12.2,33.7,45.9,24.7,8.6,5.7,16.4,24.6,104.1,Indiana Pacers*,26.1,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,+0.3,91.9,.328,.182,.527,,,,.477,14.2,27.0,.253,,,,.469,13.2,71.0,.227,,,,Conseco Fieldhouse,"686,537","16,745",Indiana Pacers*,82,19905,.446,12.4,,,,,,,,.818,.236,.193,.168,.222,.182,,,,,,,,.470,.639,.408,.389,.405,.339,,,,,,,,.601,.896,,,,,,,,.052,311,,,,,,,,.178,655,,,,,,,,.288,.384,,,,,,,,11,0
SAS,San Antonio Spurs*,82,242.1,35.5,77.6,.458,5.3,14.8,.362,30.2,62.8,.480,20.3,27.4,.742,11.1,31.3,42.4,20.0,7.6,6.5,14.4,19.2,96.7,San Antonio Spurs*,82,19855,2913,6363,.458,438,1211,.362,2475,5152,.480,1668,2249,.742,907,2566,3473,1643,625,537,1180,1575,7932,San Antonio Spurs*,82,19855,39.1,85.4,.458,5.9,16.3,.362,33.2,69.2,.480,22.4,30.2,.742,12.2,34.5,46.6,22.1,8.4,7.2,15.8,21.1,106.5,San Antonio Spurs*,28.5,58,24,59,23,6.21,0.07,6.28,106.5,99.7,+6.8,90.0,.353,.190,.539,,,,.492,13.8,27.2,.262,,,,.453,13.7,71.9,.189,,,,Alamodome,"906,390","22,107",San Antonio Spurs*,82,19855,.458,11.2,,,,,,,,.810,.314,.166,.177,.153,.190,,,,,,,,.480,.643,.407,.369,.356,.362,,,,,,,,.507,.886,,,,,,,,.061,358,,,,,,,,.241,870,,,,,,,,.364,.440,,,,,,,,8,0
