Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
UTA,Utah Jazz*,82,240.9,40.7,83.3,.489,1.6,5.0,.314,39.1,78.2,.500,23.3,30.4,.766,12.7,30.0,42.7,26.5,9.1,4.2,15.5,24.0,106.2,Utah Jazz*,82,19755,3336,6828,.489,130,414,.314,3206,6414,.500,1907,2491,.766,1041,2463,3504,2177,746,344,1270,1965,8709,Utah Jazz*,82,19755,42.0,85.9,.489,1.6,5.2,.314,40.3,80.7,.500,24.0,31.3,.766,13.1,31.0,44.1,27.4,9.4,4.3,16.0,24.7,109.6,Utah Jazz*,29.3,47,35,47,35,2.17,-0.43,1.74,109.6,107.4,+2.2,96.5,.365,.061,.550,,,,.498,13.8,31.0,.279,,,,.487,13.9,68.7,.250,,,,Delta Center,"815,892","19,900"
ORL,Orlando Magic,82,242.4,39.7,81.8,.486,3.9,10.8,.357,35.9,71.0,.505,22.2,30.4,.730,12.7,31.3,44.0,23.8,6.6,5.7,17.4,23.5,105.5,Orlando Magic,82,19880,3257,6708,.486,317,889,.357,2940,5819,.505,1821,2495,.730,1040,2566,3606,1952,542,467,1429,1925,8652,Orlando Magic,82,19880,40.8,84.1,.486,4.0,11.1,.357,36.9,73.0,.505,22.8,31.3,.730,13.0,32.2,45.2,24.5,6.8,5.9,17.9,24.1,108.5,Orlando Magic,25.8,41,41,45,37,1.32,0.03,1.35,108.5,107.1,+1.4,96.3,.372,.133,.554,,,,.509,15.5,31.4,.271,,,,.473,11.9,68.8,.232,,,,Orlando Arena,"621,191","15,151"
SAS,San Antonio Spurs*,82,242.1,40.4,82.5,.490,2.9,8.4,.341,37.5,74.0,.507,21.9,28.6,.765,11.2,31.0,42.2,24.5,7.1,6.3,15.0,22.5,105.5,San Antonio Spurs*,82,19855,3311,6762,.490,236,692,.341,3075,6070,.507,1794,2346,.765,919,2542,3461,2012,582,514,1227,1844,8652,San Antonio Spurs*,82,19855,41.9,85.7,.490,3.0,8.8,.341,39.0,76.9,.507,22.7,29.7,.765,11.6,32.2,43.8,25.5,7.4,6.5,15.5,23.4,109.6,San Antonio Spurs*,27.5,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,+2.8,95.4,.347,.102,.555,,,,.507,13.6,27.8,.265,,,,.477,12.3,70.1,.221,,,,HemisFair Arena,"658,337","16,057"
CHI,Chicago Bulls*,82,241.8,42.4,87.9,.482,3.0,8.2,.365,39.4,79.7,.494,17.5,23.8,.733,15.7,27.8,43.6,26.0,9.5,5.0,13.5,22.0,105.2,Chicago Bulls*,82,19830,3475,7205,.482,244,669,.365,3231,6536,.494,1431,1952,.733,1290,2283,3573,2133,783,410,1103,1804,8625,Chicago Bulls*,82,19830,45.5,94.3,.482,3.2,8.8,.365,42.3,85.5,.494,18.7,25.5,.733,16.9,29.9,46.8,27.9,10.2,5.4,14.4,23.6,112.9,Chicago Bulls*,28.1,57,25,58,24,6.29,-0.10,6.19,112.9,106.1,+6.8,92.5,.271,.093,.535,,,,.499,12.0,36.3,.199,,,,.493,15.4,68.7,.239,,,,Chicago Stadium,"759,656","18,528"
DEN,Denver Nuggets,82,241.8,40.9,88.8,.460,1.7,5.5,.304,39.2,83.3,.471,21.8,28.8,.756,15.4,31.3,46.7,21.2,7.9,6.9,17.2,24.9,105.2,Denver Nuggets,82,19830,3352,7282,.460,138,454,.304,3214,6828,.471,1784,2360,.756,1266,2564,3830,1735,651,565,1413,2039,8626,Denver Nuggets,82,19830,40.6,88.3,.460,1.7,5.5,.304,39.0,82.8,.471,21.6,28.6,.756,15.4,31.1,46.4,21.0,7.9,6.9,17.1,24.7,104.6,Denver Nuggets,24.8,36,46,36,46,-1.74,-0.40,-2.14,104.6,106.3,-1.7,99.8,.324,.062,.518,,,,.470,14.5,33.6,.245,,,,.476,13.9,68.9,.263,,,,McNichols Sports Arena,"586,407","14,303"
PHI,Philadelphia 76ers,82,243.0,39.3,86.3,.456,4.0,11.5,.351,35.3,74.8,.472,21.7,27.5,.786,12.6,29.6,42.2,24.9,8.2,6.9,16.6,19.6,104.3,Philadelphia 76ers,82,19930,3225,7075,.456,330,941,.351,2895,6134,.472,1776,2259,.786,1031,2431,3462,2038,672,566,1362,1604,8556,Philadelphia 76ers,82,19930,39.4,86.5,.456,4.0,11.5,.351,35.4,75.0,.472,21.7,27.6,.786,12.6,29.7,42.3,24.9,8.2,6.9,16.7,19.6,104.6,Philadelphia 76ers,27.1,26,56,26,56,-5.77,0.51,-5.25,104.6,110.4,-5.8,98.5,.319,.133,.530,,,,.479,14.4,28.1,.251,,,,.504,13.3,65.9,.188,,,,The Spectrum,"515,284","12,568"
LAL,Los Angeles Lakers*,82,241.8,40.4,85.3,.473,2.3,7.6,.299,38.1,77.7,.490,21.2,28.1,.756,13.5,27.9,41.4,24.5,9.5,5.3,15.4,21.7,104.2,Los Angeles Lakers*,82,19830,3309,6994,.473,187,626,.299,3122,6368,.490,1741,2304,.756,1103,2288,3391,2013,782,431,1266,1778,8546,Los Angeles Lakers*,82,19830,41.6,88.0,.473,2.4,7.9,.299,39.3,80.1,.490,21.9,29.0,.756,13.9,28.8,42.7,25.3,9.8,5.4,15.9,22.4,107.6,Los Angeles Lakers*,28.0,39,43,38,44,-1.27,0.06,-1.20,107.6,108.9,-1.3,96.2,.329,.090,.534,,,,.486,13.7,31.4,.249,,,,.500,14.3,66.4,.215,,,,Great Western Forum,"633,655","15,455"
HOU,Houston Rockets*,82,241.2,40.0,82.2,.486,4.7,13.1,.361,35.3,69.2,.510,19.3,25.5,.758,12.0,30.9,42.9,25.8,8.3,6.6,15.8,20.7,104.0,Houston Rockets*,82,19780,3280,6744,.486,387,1073,.361,2893,5671,.510,1584,2090,.758,985,2532,3517,2115,682,543,1295,1699,8531,Houston Rockets*,82,19780,42.2,86.7,.486,5.0,13.8,.361,37.2,72.9,.510,20.4,26.9,.758,12.7,32.5,45.2,27.2,8.8,7.0,16.6,21.8,109.6,Houston Rockets*,27.4,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,+4.4,94.4,.310,.159,.557,,,,.515,14.5,30.0,.235,,,,.474,13.4,68.5,.201,,,,The Summit,"554,210","13,492"
BOS,Boston Celtics*,82,241.2,42.1,86.5,.487,1.3,4.7,.287,40.8,81.8,.498,18.1,23.3,.777,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7,Boston Celtics*,82,19780,3453,7093,.487,110,383,.287,3343,6710,.498,1486,1912,.777,1076,2436,3512,1999,647,458,1174,1862,8502,Boston Celtics*,82,19780,44.1,90.7,.487,1.4,4.9,.287,42.7,85.8,.498,19.0,24.4,.777,13.8,31.1,44.9,25.6,8.3,5.9,15.0,23.8,108.7,Boston Celtics*,28.6,48,34,43,39,0.89,0.04,0.93,108.7,107.8,+0.9,94.9,.270,.054,.536,,,,.495,12.9,31.2,.210,,,,.479,12.9,69.0,.251,,,,Boston Garden,"608,495","14,890"
MIA,Miami Heat,82,244.0,38.1,83.5,.456,4.1,11.5,.354,34.1,72.1,.473,23.3,30.2,.771,13.8,29.1,42.9,20.6,7.4,4.3,15.7,24.5,103.6,Miami Heat,82,20005,3127,6850,.456,333,940,.354,2794,5910,.473,1908,2476,.771,1134,2384,3518,1688,609,350,1287,2011,8495,Miami Heat,82,20005,39.7,86.9,.456,4.2,11.9,.354,35.4,75.0,.473,24.2,31.4,.771,14.4,30.2,44.6,21.4,7.7,4.4,16.3,25.5,107.7,Miami Heat,25.2,36,46,38,44,-1.15,0.21,-0.93,107.7,108.9,-1.2,94.6,.361,.137,.535,,,,.481,13.9,31.9,.279,,,,.495,14.2,69.8,.274,,,,Miami Arena,"614,915","14,998"
NJN,New Jersey Nets*,82,241.2,39.9,86.4,.462,1.9,6.0,.318,38.0,80.4,.473,21.1,27.5,.767,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8,New Jersey Nets*,82,19780,3272,7084,.462,155,488,.318,3117,6596,.473,1732,2258,.767,1291,2506,3797,1872,693,526,1355,1892,8431,New Jersey Nets*,82,19780,41.3,89.5,.462,2.0,6.2,.318,39.4,83.3,.473,21.9,28.5,.767,16.3,31.7,48.0,23.7,8.8,6.6,17.1,23.9,106.5,New Jersey Nets*,27.3,43,39,45,37,1.26,-0.05,1.20,106.5,105.2,+1.3,96.0,.319,.069,.522,,,,.473,14.4,35.5,.244,,,,.480,14.1,69.5,.240,,,,Brendan Byrne Arena,"620,416","15,132"
MIL,Milwaukee Bucks,82,240.6,39.9,84.4,.472,3.8,11.4,.333,36.0,73.0,.494,18.8,25.4,.742,12.8,25.8,38.6,25.4,10.5,4.8,16.6,24.1,102.3,Milwaukee Bucks,82,19730,3268,6924,.472,312,936,.333,2956,5988,.494,1544,2081,.742,1050,2113,3163,2084,863,393,1363,1978,8392,Milwaukee Bucks,82,19730,41.4,87.6,.472,3.9,11.8,.333,37.4,75.8,.494,19.5,26.3,.742,13.3,26.7,40.0,26.4,10.9,5.0,17.3,25.0,106.2,Milwaukee Bucks,26.9,28,54,31,51,-3.73,0.47,-3.26,106.2,110.1,-3.9,96.1,.301,.135,.535,,,,.495,14.8,30.5,.223,,,,.502,15.7,62.5,.266,,,,Bradley Center,"660,939","16,125"
WSB,Washington Bullets,82,241.5,40.3,86.2,.467,2.1,7.0,.301,38.1,79.1,.482,19.2,25.7,.748,12.6,28.3,40.8,25.7,8.2,4.4,16.1,21.9,101.9,Washington Bullets,82,19805,3302,7065,.467,174,578,.301,3128,6487,.482,1575,2107,.748,1031,2317,3348,2110,673,359,1323,1795,8353,Washington Bullets,82,19805,41.0,87.6,.467,2.2,7.2,.301,38.8,80.5,.482,19.5,26.1,.748,12.8,28.7,41.5,26.2,8.3,4.5,16.4,22.3,103.6,Washington Bullets,26.1,22,60,23,59,-7.04,0.55,-6.49,103.6,110.8,-7.2,97.7,.298,.082,.523,,,,.480,14.2,28.8,.223,,,,.510,13.6,67.1,.219,,,,Capital Centre,"558,966","13,772"
NYK,New York Knicks*,82,243.0,39.1,84.1,.465,2.4,7.4,.320,36.8,76.8,.479,20.9,28.2,.741,14.0,32.4,46.5,25.9,8.3,4.5,15.8,25.7,101.6,New York Knicks*,82,19930,3209,6898,.465,193,604,.320,3016,6294,.479,1717,2316,.741,1150,2660,3810,2125,680,372,1296,2111,8328,New York Knicks*,82,19930,40.9,87.9,.465,2.5,7.7,.320,38.4,80.2,.479,21.9,29.5,.741,14.7,33.9,48.6,27.1,8.7,4.7,16.5,26.9,106.1,New York Knicks*,28.3,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,+6.4,94.5,.336,.088,.526,,,,.479,14.1,33.1,.249,,,,.444,14.9,72.1,.294,,,,Madison Square Garden (IV),"804,840","19,630"
DET,Detroit Pistons,82,241.2,39.8,87.9,.453,3.6,11.1,.322,36.3,76.9,.472,17.4,23.9,.729,15.8,28.2,44.0,23.7,7.1,3.0,14.0,21.3,100.6,Detroit Pistons,82,19780,3267,7211,.453,292,908,.322,2975,6303,.472,1426,1957,.729,1293,2315,3608,1941,580,249,1152,1747,8252,Detroit Pistons,82,19780,42.5,93.8,.453,3.8,11.8,.322,38.7,82.0,.472,18.6,25.5,.729,16.8,30.1,46.9,25.3,7.5,3.2,15.0,22.7,107.4,Detroit Pistons,29.9,40,42,37,45,-1.39,0.29,-1.10,107.4,108.9,-1.5,93.2,.271,.126,.511,,,,.473,12.5,34.6,.198,,,,.500,13.5,67.8,.212,,,,The Palace of Auburn Hills,"889,614","21,698"
DAL,Dallas Mavericks,82,240.6,38.6,88.7,.435,3.5,10.2,.338,35.1,78.5,.448,18.7,26.5,.705,15.0,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3,Dallas Mavericks,82,19730,3164,7271,.435,283,837,.338,2881,6434,.448,1530,2171,.705,1234,2265,3499,1683,649,355,1459,2302,8141,Dallas Mavericks,82,19730,38.7,88.9,.435,3.5,10.2,.338,35.2,78.6,.448,18.7,26.5,.705,15.1,27.7,42.8,20.6,7.9,4.3,17.8,28.1,99.5,Dallas Mavericks,24.9,11,71,10,72,-15.20,0.52,-14.68,99.5,114.7,-15.2,99.5,.299,.115,.495,,,,.455,15.1,31.1,.210,,,,.519,13.5,68.1,.347,,,,Reunion Arena,"554,724","13,530"
MIN,Minnesota Timberwolves,82,242.1,37.1,79.6,.466,2.0,6.9,.292,35.1,72.7,.483,21.9,27.4,.798,11.5,26.9,38.3,24.4,7.9,5.5,17.3,24.7,98.1,Minnesota Timberwolves,82,19855,3043,6529,.466,166,569,.292,2877,5960,.483,1794,2247,.798,940,2204,3144,2001,649,455,1422,2028,8046,Minnesota Timberwolves,82,19855,39.2,84.1,.466,2.1,7.3,.292,37.1,76.8,.483,23.1,28.9,.798,12.1,28.4,40.5,25.8,8.4,5.9,18.3,26.1,103.6,Minnesota Timberwolves,25.8,19,63,21,61,-7.78,0.16,-7.62,103.6,111.8,-8.2,93.8,.344,.087,.535,,,,.479,15.9,28.7,.275,,,,.503,13.5,66.3,.269,,,,Target Center,"754,593","18,405"
