Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
DEN,Denver Nuggets,82,240.6,47.6,108.1,.440,3.7,12.9,.283,43.9,95.2,.461,21.0,27.6,.763,18.5,30.9,49.4,24.5,10.4,5.0,16.2,27.3,119.9,Denver Nuggets,82,19730,3901,8868,.440,300,1059,.283,3601,7809,.461,1726,2263,.763,1520,2530,4050,2005,856,406,1332,2235,9828,Denver Nuggets,82,19730,41.7,94.9,.440,3.2,11.3,.283,38.5,83.6,.461,18.5,24.2,.763,16.3,27.1,43.3,21.5,9.2,4.3,14.3,23.9,105.2,Denver Nuggets,26.5,20,62,19,63,-10.91,0.60,-10.31,105.2,114.7,-9.5,113.7,.255,.119,.498,,,,.457,11.9,33.1,.195,,,,.524,14.1,67.1,.299,,,,McNichols Sports Arena,"438,103","10,685"
GSW,Golden State Warriors*,82,241.5,43.5,89.6,.485,3.3,9.8,.337,40.2,79.8,.504,26.4,33.7,.783,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6,Golden State Warriors*,82,19805,3566,7346,.485,270,801,.337,3296,6545,.504,2162,2761,.783,1113,2306,3419,1954,803,378,1359,2207,9564,Golden State Warriors*,82,19805,41.7,85.9,.485,3.2,9.4,.337,38.6,76.6,.504,25.3,32.3,.783,13.0,27.0,40.0,22.9,9.4,4.4,15.9,25.8,111.9,Golden State Warriors*,26.5,44,38,45,37,1.63,0.09,1.72,111.9,110.3,+1.6,103.6,.376,.109,.559,,,,.504,13.7,31.0,.294,,,,.497,15.2,64.1,.289,,,,Oakland-Alameda County Coliseum Arena,"616,025","15,049"
POR,Portland Trail Blazers*,82,242.7,43.6,89.9,.485,4.2,11.0,.377,39.5,78.8,.501,23.3,31.0,.753,14.7,31.2,45.9,27.5,8.8,5.0,16.0,24.1,114.7,Portland Trail Blazers*,82,19905,3577,7369,.485,341,904,.377,3236,6465,.501,1912,2538,.753,1202,2561,3763,2254,724,410,1309,1975,9407,Portland Trail Blazers*,82,19905,42.9,88.4,.485,4.1,10.8,.377,38.8,77.5,.501,22.9,30.4,.753,14.4,30.7,45.1,27.0,8.7,4.9,15.7,23.7,112.8,Portland Trail Blazers*,27.9,63,19,62,20,8.68,-0.21,8.47,112.8,104.3,+8.5,100.5,.344,.123,.554,,,,.509,13.4,33.8,.259,,,,.473,14.4,70.4,.250,,,,Memorial Coliseum,"528,244","12,884"
PHO,Phoenix Suns*,82,240.6,43.6,87.8,.496,1.7,5.3,.319,41.9,82.5,.508,25.2,32.7,.770,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114.0,Phoenix Suns*,82,19730,3573,7199,.496,138,432,.319,3435,6767,.508,2064,2680,.770,1132,2598,3730,2209,687,535,1302,1850,9348,Phoenix Suns*,82,19730,43.0,86.7,.496,1.7,5.2,.319,41.4,81.5,.508,24.9,32.3,.770,13.6,31.3,44.9,26.6,8.3,6.4,15.7,22.3,112.6,Phoenix Suns*,26.9,55,27,57,25,6.55,-0.06,6.49,112.6,106.1,+6.5,101.0,.372,.060,.558,,,,.506,13.5,33.0,.287,,,,.474,13.1,68.5,.227,,,,Arizona Veterans Memorial Coliseum,"589,591","14,487"
IND,Indiana Pacers*,82,241.5,42.1,85.3,.493,3.0,9.1,.332,39.0,76.2,.513,24.5,30.2,.811,12.4,29.0,41.4,26.6,8.0,4.4,16.5,25.5,111.7,Indiana Pacers*,82,19805,3450,6994,.493,249,749,.332,3201,6245,.513,2010,2479,.811,1018,2376,3394,2181,658,357,1355,2088,9159,Indiana Pacers*,82,19805,42.1,85.3,.493,3.0,9.1,.332,39.0,76.2,.513,24.5,30.2,.811,12.4,29.0,41.4,26.6,8.0,4.4,16.5,25.5,111.7,Indiana Pacers*,26.4,41,41,40,42,-0.39,0.02,-0.37,111.7,112.1,-0.4,99.4,.354,.107,.566,,,,.511,14.4,30.6,.287,,,,.503,13.1,66.4,.254,,,,Market Square Arena,"465,650","11,546"
BOS,Boston Celtics*,82,241.5,45.1,88.0,.512,1.3,4.2,.315,43.7,83.8,.522,20.1,24.4,.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5,Boston Celtics*,82,19805,3695,7214,.512,109,346,.315,3586,6868,.522,1646,1997,.824,1088,2697,3785,2160,672,565,1320,1695,9145,Boston Celtics*,82,19805,45.5,88.8,.512,1.3,4.3,.315,44.1,84.5,.522,20.3,24.6,.824,13.4,33.2,46.6,26.6,8.3,7.0,16.2,20.9,112.6,Boston Celtics*,28.2,56,26,56,26,5.82,-0.60,5.22,112.6,106.7,+5.9,98.5,.277,.048,.565,,,,.520,14.0,33.0,.228,,,,.465,11.7,69.3,.217,,,,Boston Garden,"611,537","14,890"
CHI,Chicago Bulls*,82,240.9,44.3,86.9,.510,1.9,5.2,.366,42.4,81.7,.519,19.6,25.7,.760,14.0,28.6,42.6,27.0,10.0,5.3,14.4,21.4,110.0,Chicago Bulls*,82,19755,3632,7125,.510,155,424,.366,3477,6701,.519,1605,2111,.760,1148,2342,3490,2212,822,438,1184,1751,9024,Chicago Bulls*,82,19755,46.1,90.5,.510,2.0,5.4,.366,44.2,85.1,.519,20.4,26.8,.760,14.6,29.8,44.3,28.1,10.4,5.6,15.0,22.2,114.6,Chicago Bulls*,26.9,61,21,63,19,9.10,-0.53,8.57,114.6,105.2,+9.4,95.6,.296,.060,.560,,,,.521,12.8,34.7,.225,,,,.488,15.3,68.8,.226,,,,Chicago Stadium,"757,745","18,480"
ATL,Atlanta Hawks*,82,240.9,40.8,88.1,.464,3.3,10.2,.324,37.5,77.9,.482,24.8,31.0,.800,15.1,29.5,44.6,22.7,8.9,4.6,15.0,21.6,109.8,Atlanta Hawks*,82,19755,3349,7223,.464,271,836,.324,3078,6387,.482,2034,2544,.800,1235,2420,3655,1864,729,374,1231,1768,9003,Atlanta Hawks*,82,19755,41.3,89.0,.464,3.3,10.3,.324,37.9,78.7,.482,25.1,31.3,.800,15.2,29.8,45.0,23.0,9.0,4.6,15.2,21.8,110.9,Atlanta Hawks*,29.0,43,39,43,39,0.77,-0.05,0.72,110.9,110.1,+0.8,98.6,.352,.116,.540,,,,.482,12.9,33.1,.282,,,,.509,13.7,69.1,.220,,,,Omni Coliseum,"529,161","12,907"
SAS,San Antonio Spurs*,82,241.8,41.6,85.2,.488,1.0,3.6,.273,40.6,81.6,.497,23.0,30.0,.766,13.8,32.4,46.2,26.1,8.2,7.0,17.6,23.1,107.1,San Antonio Spurs*,82,19830,3409,6988,.488,81,297,.273,3328,6691,.497,1883,2459,.766,1131,2657,3788,2140,670,571,1445,1896,8782,San Antonio Spurs*,82,19830,41.9,85.8,.488,1.0,3.6,.273,40.9,82.2,.497,23.1,30.2,.766,13.9,32.6,46.5,26.3,8.2,7.0,17.7,23.3,107.8,San Antonio Spurs*,26.0,55,27,53,29,4.51,-0.21,4.30,107.8,103.3,+4.5,98.6,.352,.043,.544,,,,.494,15.2,33.3,.269,,,,.463,13.2,70.3,.228,,,,HemisFair Arena,"651,965","15,926"
HOU,Houston Rockets*,82,242.1,41.5,88.9,.467,3.9,12.1,.320,37.6,76.8,.490,19.9,26.8,.741,15.5,30.6,46.1,23.2,9.7,5.0,17.1,22.9,106.7,Houston Rockets*,82,19855,3403,7287,.467,316,989,.320,3087,6298,.490,1631,2200,.741,1275,2508,3783,1906,796,409,1402,1874,8753,Houston Rockets*,82,19855,41.8,89.4,.467,3.9,12.1,.320,37.9,77.3,.490,20.0,27.0,.741,15.6,30.8,46.4,23.4,9.8,5.0,17.2,23.0,107.4,Houston Rockets*,27.3,52,30,50,32,3.50,-0.23,3.27,107.4,103.9,+3.5,98.5,.302,.136,.530,,,,.489,14.5,34.4,.224,,,,.469,14.7,66.9,.220,,,,The Summit,"613,230","14,711"
